"course_code","course_title","department","credits","description"
"GBL_HLTH 328-0","Human Circulations and Human Values: Global Mobilities of People and Products","Global Health (GBL_HLTH)","1 Unit","Human beings and human products are on the move across the globe, shaped by inequities that drive poor health outcomes for many involved even as these movements should, ideally, provide benefits for most. Human migration, cadaver procuration, organ donation, cell extractions, surrogacy, and other topics will be examined in relation to concepts of equity, beneficence, human dignity and common good."
"GBL_HLTH 332-SA","Public Health in China","Global Health (GBL_HLTH)","1 Unit","Examination of China's public health system. Focus on role of government, emerging environmental problems, food safety, and prevalent communicable and non-communicable diseases. Restricted to students in Northwestern's China program."
"GBL_HLTH 333-SA","Traditional Chinese Medicine","Global Health (GBL_HLTH)","1 Unit","Introduces traditional Chinese medicine (TCM) principles and methods as they relate to Chinese culture and philosophy, including TCM diagnostics and therapies. Compares and discusses integration of TCM and Western medicine. Restricted to students in Northwestern's China program."
"GBL_HLTH 337-0","Hazard, Disaster and Society","Global Health (GBL_HLTH)","1 Unit","This course examines how socioeconomic and environmental factors work together to cause hazards and disasters in human society. In this course, we learn the main concepts about disasters, such as preparedness, vulnerability, resilience, response, mitigation, etc. We learn that a disaster does not have the same effect on everyone, and factors of social inequality such as race, ethnicity, class, and gender make people more vulnerable to the impacts of disasters.ENVR_POL 337-0andGBL_HLTH 337-0are taught together; students may not receive credit for both."
"GBL_HLTH 338-0","Environmental Justice","Global Health (GBL_HLTH)","1 Unit","This course examines how environmental problems reflect and exacerbate social inequality. In this course, we learn the definition of environmental (in)justice, the history of environmental justice and discuss examples of environmental justice. We will learn about environmental movements and local resistance to protect natural resources.ENVR_POL 338-0andGBL_HLTH 338-0are taught together; students may not receive credit for both."
"GBL_HLTH 339-0","Silent but Loud: Negotiating Health in a Cultural, Food, Poverty, Environ. Caste","Global Health (GBL_HLTH)","1 Unit","This course explores how (un)health as a language is connected to certain bodies. Students will analyze the origins of bio-measurements used to justify ""Othering"" (not fitting within the norms of a dominant social group) and learn to formulate counternarratives to dominant ideological language that silently forms stereotypes, controlling images, hypervisibility, and invisibility that echo loudly as contributing to health inequities.GBL_HLTH 339-0andENVR_POL 339-0are taught together; may not receive credit for both."
"GBL_HLTH 340-0","Mental Health and the Arts","Global Health (GBL_HLTH)","1 Unit","This course explores the role of the arts in shaping experiences of mental health and illness around the world. We will consider forms of storytelling across eras and cultures, tracking shifts in perspectives on normality and their consequences. What role can the arts play in healing? Where is the line between positive and exploitative representation of trauma and mental illness?"
"GBL_HLTH 357-0","Biocultural Perspectives on Water Insecurity","Global Health (GBL_HLTH)","1 Unit","Explore many ways that water impacts humans around the world through the lens of anthropology, religion, biology, environment, and politics. Why do individual’s experiences with water differ? How does water insecurity manifest? How do we measure it? How do we solve it?ANTHRO 357-0andGBL_HLTH 357-0are taught together; students may not receive credit for both."
"GBL_HLTH 390-0","Special Topics in Global Health","Global Health (GBL_HLTH)","1 Unit",""
"GBL_HLTH 390-SA","Special Topics in Global Health","Global Health (GBL_HLTH)","1 Unit","Advanced work in areas of developing interest and special significance. Can be repeated for credit with a different topic. Offered on campus and on Northwestern programs abroad. Recent courses include Ecology of Infant Feeding, Native American Health, and Public Health and Mental Health in Serbia."
"GBL_HLTH 399-0","Independent Study","Global Health (GBL_HLTH)","1 Unit","Advanced work under faculty supervision. May be taken twice for credit but does not count toward the core or elective requirements."
"GREEK 115-1","Accelerated Elementary Ancient and Biblical Greek","Greek (GREEK)","1 Unit","This is the first in an accelerated two-quarter series designed to teach students to read ancient Greek texts, from the biblical New Testament to Homeric poetry and Platonic philosophy. These two quarters will teach all the fundamentals of grammar and vocabulary and lead students directly into a course dedicated to reading the Greek New Testament, and classical Greek texts thereafter. Usually taught in the Winter."
"GREEK 115-2","Accelerated Elementary Ancient and Biblical Greek","Greek (GREEK)","1 Unit","This is the second in an accelerated two-quarter series designed to teach students to read ancient Greek texts, from the biblical New Testament to Homeric poetry and Platonic philosophy. These two quarters will teach all the fundamentals of grammar and vocabulary and lead students directly into a course dedicated to reading the Greek New Testament, and classical Greek texts thereafter. Usually taught in the Spring."
"GREEK 201-1","Introduction to Greek Literature","Greek (GREEK)","1 Unit","Review of basic grammar and vocabulary. Representative selections from Greek authors in their historical and cultural contexts."
"GREEK 201-2","Introduction to Greek Literature","Greek (GREEK)","1 Unit","Review of basic grammar and vocabulary. Representative selections from Greek authors in their historical and cultural contexts."
"GREEK 201-3","Introduction to Greek Literature","Greek (GREEK)","1 Unit","Review of basic grammar and vocabulary. Representative selections from Greek authors in their historical and cultural contexts."
"GREEK 301-0","Readings in Greek Literature","Greek (GREEK)","1 Unit",""
"GREEK 399-0","Independent Study","Greek (GREEK)","1 Unit","Individual program of study under the direction of a faculty member. For advanced students only. Permission of department required."
"HEBREW 111-1","Hebrew I","Hebrew (HEBREW)","1 Unit","This sequence offers students a systematic introduction to Hebrew language and culture. Emphasizes the four modalities-speaking, listening comprehension, reading, and writing."
"HEBREW 111-2","Hebrew I","Hebrew (HEBREW)","1 Unit","This sequence offers students a systematic introduction to Hebrew language and culture. Emphasizes the four modalities-speaking, listening comprehension, reading, and writing."
"HEBREW 111-3","Hebrew I","Hebrew (HEBREW)","1 Unit","This sequence offers students a systematic introduction to Hebrew language and culture. Emphasizes the four modalities-speaking, listening comprehension, reading, and writing."
"HEBREW 121-1","Hebrew II","Hebrew (HEBREW)","1 Unit","This sequence further develops speaking, listening comprehension, reading, and writing skills in Hebrew. Offers insights into Hebrew culture and history through written and audiovisual materials."
