"subject","course_code","course_name","description","credits"
"Accounting","ACC 202","Managerial Accounting","An introduction to managerial accounting concepts, and techniques used to measure, analyze, interpret, and communicate financial information to managers to better guide the activity of an organization. Prerequisite(s): ; . Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall, Spring, and Summer Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain how product and service costs are determined and used in planning and evaluating organizational performance. 2. explain how costs behave and demonstrate how cost behavior is used to project financial results and inform strategic decision-making. 3. create and interpret budgets for short-term operations and long-term capital investments. 4. determine and use the costs and benefits relevant to making short-term decisions through incremental analyses.","3 units"
"Accounting","ACC 325","Financial Investigations","Current techniques and perspectives including concepts on law and evidence, sources of information, accounting, banking and financial record-keeping, and interviewing.","3 units"
"Accounting","ACC 401","Financial Reporting I","Conceptual framework that underlies generally accepted accounting principles and its application to the basic financial statements and current assets.","3 units"
"Accounting","ACC 402","Financial Reporting II","Conceptual framework that underlies generally accepted accounting principles and its application to the long-term assets, current and long-term liabilities, and stockholders’ equity.","3 units"
"Accounting","ACC 403","Financial Reporting III","Conceptual framework that underlies generally accepted accounting principles and its application to investments, deferred taxes, leases, pensions and the statement of cash flows.","3 units"
"Accounting","ACC 404","Advanced and International Accounting","Accounting for groups of companies. Subsidiary affiliates, joint ventures, segments and partnerships. Stock exchange regulations and reporting. International accounting. Prerequisite(s): with a “C” or better. Grading Basis: GRADED Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. able to prepare consolidated financial statements. 2. research issues related to consolidations using FARS. 3. account for the formation and dissolution of partnerships.","3 units"
"Accounting","ACC 405","Cost Management and Control","Cost accounting and analysis for management control purposes. Topics including cost systems, responsibility accounting, CVP, decision making, cost behavior, variable costing, and budgeting.","3 units"
"Accounting","ACC 407","Governmental and Not-for-Profit Accounting","Accounting for governmental and not-for-profit enterprises, including municipalities, hospitals and universities. Specific topics include fund accounting, financial statement preparation and basic auditing issues.","3 units"
"Accounting","ACC 410","Federal Taxation","Analysis of the basic framework utilized in measuring and reporting taxable income of individuals and business entities.","3 units"
"Accounting","ACC 411","Advanced Federal Taxation","Introduction to the federal income taxation system applicable to measuring and reporting taxable income of limited liability business entities.","3 units"
"Accounting","ACC 415","Accounting for Management","Advanced management accounting topics including planning and budgeting for profit, decentralization and transfer pricing, joint costing, process costing, and performance measurement. Per university policy this course may be repeated only once for credit. Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. read, assess, and discuss original professional source information successfully. 2. integrate topics and relate them to managerial accounting. 3. demonstrate a solid level of understanding of how value may be provided to an organization, and how you may do it. 4. demonstrate improved verbal, written, and analytical skills. 5. discuss ideas and help each other build a more sound professional understanding of organizations and how they may succeed.","3 units"
"Accounting","ACC 460","Commercial Transactions Law","Introduction to the legal environment governing commercial transactions. Topics will include the law of contracts, sales, commercial paper, secured transactions, and debtor-creditor relationships.","3 units"
"Accounting","ACC 470","Audit Assurance Services","Foundations of auditing theory. Professional auditing in a risk analysis framework. Focus on application and skill development.","3 units"
"Accounting","ACC 475","Ethics and Professional Responsibility in Accounting","Topics that will be covered in this course include ethical theory and decision making, ethical behavior in accounting, rules and principles of the code of conduct and ethical decision making in various accounting topics. Students may attempt this course not more than twice. Prerequisite(s): or with a “C” or better. Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain the function of ethics and professional responsibilities in accounting. 2. demonstrate ethical reasoning by utilizing ethical decision making processes. 3. apply AICPA standards and IRS rules regarding ethical dilemmas faced by CPAs in practice.","3 units"
"Accounting","ACC 481","Accounting Internship","Supervised practical experience in accounting leading to experience at a professional level. Maximum units a student may earn: 6 Prerequisite(s): Junior standing or higher, a 3.00 GPA or higher, completion of one upper-division accounting course and must be declared into a business major or minor. Grading Basis: Satisfactory/Unsatisfactory Offered: Every Fall and Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. apply classroom learning, theory, and course content to internship experiences. 2. identify, assess, and develop personal and professional strengths. 3. describe and explain work responsibilities and duties. 4. develop professionally relevant competencies and relationships in a professional setting.","1 to 3 units"
