"code","level","title","credits","subject","description"
"ACCT1125","lowerDivisionUndergraduate","Supplemental Instruction to Financial Accounting",1,"Accounting","Collaborative workshop for students to provide additional problem solving necessary for students to master financial accounting."
"ACCT2110","lowerDivisionUndergraduate","Principles of Accounting I",3,"Accounting","An introduction to financial accounting concepts emphasizing the analysis of business transactions in accordance with generally accepted accounting principles (GAAP), the effect of these transactions on the financial statements, financial analysis, and the interrelationships of the financial statements."
"ACCT2110X","lowerDivisionUndergraduate","Principles of Accounting IA",3,"Accounting","An introduction to financial accounting concepts emphasizing the analysis of business transactions in accordance with generally accepted accounting principles (GAAP), the effect of these transactions on the financial statements, financial analysis, and the interrelationships of the financial statements."
"ACCT2110Y","lowerDivisionUndergraduate","Principles of Accounting IB",3,"Accounting","A continuation of 2110X emphasizing accounting principles and procedures for receivables, inventory, notes and interest, depreciation, equity transactions, cash flow and financial statement analysis.
"
"ACCT2120","lowerDivisionUndergraduate","Principles of Accounting II",3,"Accounting","An introduction to the use of accounting information in the management decision making processes of planning, implementing, and controlling business activities.  In addition, the course will discuss the accumulation and classification of costs as well as demonstrate the difference between costing systems.
"
"AFAS300","upperDivisionUndergraduate","Leading People and Effective Communication",3,"Air Force Aerospace Studies","Utilizes cadets field training experience to take a more in-depth look at leadership. Special emphasis is placed on enhancing communication skills, and why that is important as a leader."
"AFAS300L","upperDivisionUndergraduate","Leadership Laboratory",1,"Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the Air Force ROTC academic program.

Offered on a CR/NC basis only.
"
"AFAS301","upperDivisionUndergraduate","Leading People and Effective Communication",3,"Air Force Aerospace Studies","Utilizes cadets field training experience to take a more in-depth look at leadership. Special emphasis is placed on enhancing communication skills, and why that is important as a leader."
"AFAS301L","upperDivisionUndergraduate","Leadership Laboratory",1,"Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the Air Force ROTC academic program.

Offered on a CR/NC basis only. "
"AFAS325","upperDivisionUndergraduate","Air Force ROTC Directed Studies","{'min': 1, 'max': 3}","Air Force Aerospace Studies","This course provides the opportunity for individual directed studies of advanced subjects under supervision of designated AFROTC faculty.
Restriction: permission of department."
"AFAS329","upperDivisionUndergraduate","Active Duty Physical Training Preparation",1,"Air Force Aerospace Studies","Course prepares Field Training (FT) Preparation cadets for their roles as military leaders by teaching various ways to conduct military fitness training. Goal is to expose cadets to many training methods while instilling AF physical fitness standards. 
Offered on a CR/NC basis only. 
Restriction: permission of instructor."
"AFAS350","upperDivisionUndergraduate","Air Force ROTC Field Training",3,"Air Force Aerospace Studies","Required summer field training program, which is an integral and mandatory part of the AFROTC commissioning process. This course completes the GMC program of study and is only open to AFROTC Cadets.
Offered on a CR/NC basis only.
Restriction: permission of department."
"AFAS400","upperDivisionUndergraduate","National Security, Leadership Responsibilities and Commissioning Preparation",3,"Air Force Aerospace Studies","Overview of the complex social and political issues facing the military profession and gives the foundation to understand the role of military officers and how they are directly tied to our National Security Strategy.
"
"AFAS400L","upperDivisionUndergraduate","Leadership Laboratory",1,"Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the Air Force ROTC academic program.

Offered on a CR/NC basis only."
"AFAS401","upperDivisionUndergraduate","National Security, Leadership Responsibilities and Commissioning Preparation",3,"Air Force Aerospace Studies","Overview of the complex social and political issues facing the military profession and gives the foundation to understand the role of military officers and how they are directly tied to our National Security Strategy.
"
"AFAS401L","upperDivisionUndergraduate","Leadership Laboratory",1,"Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the Air Force ROTC academic program.

Offered on a CR/NC basis only."
"AFAS1120","lowerDivisionUndergraduate","Aerospace Studies 1","1","Air Force Aerospace Studies","Survey course designed to introduce students to the U.S. Air Force and U.S. Space Force and provides an overview of the basic characteristics, missions, and organization of the Air Force and Space Force."
"AFAS1121","lowerDivisionUndergraduate","Aerospace Studies 2","1","Air Force Aerospace Studies","Survey course designed to introduce students to the U.S. Air Force and U.S. Space Force and provides an overview of the basic characteristics, missions, and organization of the Air Force and Space Force."
"AFAS1192L","lowerDivisionUndergraduate","Leadership Laboratory 1","1","Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the AFROTC academic program."
"AFAS1292L","lowerDivisionUndergraduate","Leadership Laboratory 2","1","Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the AFROTC academic program."
"AFAS2192L","lowerDivisionUndergraduate","Leadership Laboratory 3","1","Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the AFROTC academic program."
"AFAS2250","lowerDivisionUndergraduate","Aerospace Studies 3","1","Air Force Aerospace Studies","Provides a fundamental understanding of both leadership and team building. The lessons and course flow are designed to prepare cadets for field training and leadership positions in the detachment."
"AFAS2251","lowerDivisionUndergraduate","Aerospace Studies 4","1","Air Force Aerospace Studies","Provides a fundamental understanding of both leadership and team building. The lessons and course flow are designed to prepare cadets for field training and leadership positions in the detachment."
"AFAS2292L","lowerDivisionUndergraduate","Leadership Laboratory 4","1","Air Force Aerospace Studies","Dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the AFROTC academic program."
"AFST303","upperDivisionUndergraduate","Black Liberation and Religion",3,"Africana Studies","Students will be introduced to the Black experience, which necessitates the redefinition of God and Jesus Christ in the lives of Black people as the struggle for transcendental and political freedom."
"AFST307","upperDivisionUndergraduate","African Diaspora in the Southwest",3,"Africana Studies","A survey of the lives of Blacks in the American West (1528-1918)."
"AFST315","upperDivisionUndergraduate","Race and the Law",3,"Africana Studies","Explores the historical and contemporary treatment of race in the United States by the courts and the legislature and the construction of race as a concept and position of identity through the law."
"AFST329","upperDivisionUndergraduate","Introduction to African Politics",3,"Africana Studies","An introductory course in the volatile politics in Africa. The various ideologies that underlie political movements and influence African governments will be explored."
"AFST340","upperDivisionUndergraduate","Race and Globalization",3,"Africana Studies","This course highlights the intersection and impact of race and globalization on people and communities worldwide and their resistance to the most oppressive consequences of economic, political, and cultural globalization."
"AFST360","upperDivisionUndergraduate","The Harlem Renaissance",3,"Africana Studies","This course introduces the art, literature, and music of the Harlem Renaissance and the development of Black identity. The course will also review the historic roots of the Black Arts Movement and Hip Hop Culture."
"AFST381","upperDivisionUndergraduate","African-American Literature II",3,"Africana Studies","This is the second phase of a three-part journey through the African-American experience in search of humanity and peace. The vehicle is post-slavery books written by and about African-American people. Issues raised and the characters in the books provide the occasion for in-depth discussion of inhumanity, protests, self definition, race relationships, liberalism, etc."
"AFST385","upperDivisionUndergraduate","The African World",3,"Africana Studies","An interdisciplinary introduction to the study of Africa; its political and economic geographies; its traditional and new societies; and its politics in global perspectives."
"AFST388","upperDivisionUndergraduate","Blacks in Latin America",3,"Africana Studies","A comprehensive analysis of the plight of Black people in Latin America as compared with their experiences in North America, from the 15th to 19th century."
"AFST391","upperDivisionUndergraduate","Problems","{'min': 1, 'max': 3}","Africana Studies","Individual research into an area proposed by the student and conducted under the direction of a faculty member."
"AFST395","upperDivisionUndergraduate","Education in Colonial Africa",3,"Africana Studies","A study of European education and its psychological, sociological and cultural impact on traditional African society. "
"AFST397","starOrDoubleStarCoursesNumbered_300To_499","Interdisciplinary Topics","{'min': 1, 'max': 3}","Africana Studies","Special topic courses in specialized areas of African-American Studies. African-American Literature; Sociopolitics: Africa; Politics of Southern Africa;  Black Books III, Education and African-American Education and Free Society. 

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"AFST398","upperDivisionUndergraduate","Africana Philosophy and Methods",3,"Africana Studies","This course draws upon significant philosophical ideas and methodological practices, which outline an Africana worldview."
"AFST453","upperDivisionUndergraduate","African American Art",3,"Africana Studies","This class provides an overview of African American artists and contextualizes their creativity within the wider framework of U.S. art. What, for example, are the benefits and pitfalls of assigning race to any creative practice?"
"AFST495","starOrDoubleStarCoursesNumbered_300To_499","Topics in Africana Studies","{'min': 1, 'max': 3}","Africana Studies","Explorations of a variety of advanced topics in Africana Studies.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"AFST498","upperDivisionUndergraduate","Research Seminar",3,"Africana Studies","This course examines several types of research and mixed-methods as tools for understanding the role of theory, research, methods, and practice across disciplines related to Africana Studies."
"AFST1110","lowerDivisionUndergraduate","Introduction to Africana Studies",3,"Africana Studies","An interdisciplinary course that introduces students to the histories, cultures, and experiences of global people of African descent."
"AFST1996","lowerDivisionUndergraduate","Topics","{'min': 1, 'max': 6}","Africana Studies","A course exploring a topic not covered by the standard curriculum but of interest to faculty and students in a particular semester."
"AFST2110","lowerDivisionUndergraduate","African American History",3,"Africana Studies","This course surveys the long and turbulent journey of African-Americans, the rich culture they have cultivated, and their persistent struggle for freedom from the perspective, interests, aspirations, possibilities and envisioned destinies of African descended peoples. From African antiquity to the 21st century, students will study: 1) The African background; 2) The Holocaust of Enslavement; 3) Black Resistance and Abolition; 4) Reconstruction; 5) The Jim Crow Era; 6) Civil Rights and Black Power, and; 7) The Post-Industrial/Post Civil Rights Era."
"AFST2996","lowerDivisionUndergraduate","Topics","{'min': 1, 'max': 6}","Africana Studies","A course exploring a topic not covered by the standard curriculum but of interest to faculty and students in a particular semester."
"ALBS325","starOrDoubleStarCoursesNumbered_300To_499","Financial Management in the Arts",3,"Arts Leadership & Business","The course aims to de-mystify the elements of basic financial management and familiarize students with the concepts and practices of sound financial management and decision-making for the arts and cultural industries.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"ALBS365","starOrDoubleStarCoursesNumbered_300To_499","Social Media for Arts Marketing",3,"Arts Leadership & Business","Emphasis on developing a Web presence and using social media tools for arts marketing and promotion. Real world projects and case discussions will assist in understanding social media marketing practices and strategies.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"ALBS375","upperDivisionUndergraduate","Producing for Film and Digital Media",3,"Arts Leadership & Business","Students will learn roles of the motion picture producer, acquiring the skills to produce a film or digital media project. Includes choosing a viable project and optioning, developing and preparing for pre-production, production, and post-production."
"ALBS410","starOrDoubleStarCoursesNumbered_300To_499","Arts Entrepreneurship",3,"Arts Leadership & Business","This course explores a variety of topics about arts entrepreneurship, including strategies for determining a path, the evolving definition of ""making it"", and our own thinking about the relationship between art and business.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"ALBS450","upperDivisionUndergraduate","Business Planning for the Arts",3,"Arts Leadership & Business","Course provides emerging arts professionals with the knowledge base and strategies to develop stronger arts businesses. The course will culminate with students developing an arts business plan.
"
"ALBS451","starOrDoubleStarCoursesNumbered_300To_499","Non-Profit Arts Administration",3,"Arts Leadership & Business","The course is designed to prepare students to be successful arts administrators as they apply management principles in an arts environment. Students will develop capacity building strategies and their own professional practice in the arts.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"ALBS470","starOrDoubleStarCoursesNumbered_300To_499","Advanced Topics in Arts Leadership and Business",3,"Arts Leadership & Business","Arts management practices rotates areas of study that considers current professional practices in allied fields. Practices include, but are not limited to: public arts commissioning, arts funding development, or creative placemaking.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"ALBS495","starOrDoubleStarCoursesNumbered_300To_499","Arts Leadership and Business Internship",3,"Arts Leadership & Business","Students are required to complete concurrent online training and 150 internship hours onsite under a mentor's supervision. 

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"ALBS2110","lowerDivisionUndergraduate","The Business of Being an Artist",3,"Arts Leadership & Business","Survey of arts management terms and concepts with an emphasis on the creative workforce and economy, business of art, nonprofit management, and arts career development strategies. Students develop a career plan that informs their academic directions."
"ALBS2120","lowerDivisionUndergraduate","Making the Promotional Video",3,"Arts Leadership & Business","Fundamentals of promotional video making and providing technical and aesthetic proficiencies used in video communications for public relations and marketing. Includes exposure to industry practices and the expertise of public relations and marketing professionals."
"AMST303","upperDivisionUndergraduate","Law, Violence, and Empire",3,"American Studies","Introduction to the role of law and legal institutions in politics and society."
"AMST309","upperDivisionUndergraduate","Topics in Social Movements",3,"American Studies","An interdisciplinary approach to the analysis of social movements, focusing on cultural and social formations of these movements.  Topics include: folklore of social movements; labor struggles; peace movements; land conflicts.

A graduate version of this course may be offered as AMST 509. "
"AMST310","upperDivisionUndergraduate","Topics in Cultural Studies",3,"American Studies","Varying topics undergraduate course. An in-depth study of one subject in the field of interdisciplinary culture studies. Topics may include material culture, folklore, consumerism, public culture, critical theory, cultural identity and language and representation.

"
"AMST315","upperDivisionUndergraduate","Radical Religions and American Transformations",3,"American Studies","This course examines how religion has informed radical visions for a more equal, free, inclusive and fair society, and motivated people to different types of radical action, intended to make those visions reality."
"AMST320","upperDivisionUndergraduate","Topics in Environmental and Social Justice",3,"American Studies","The content of this course varies by semester. Topics may include: environmental justice, social movements, law and justice, race and nature, state violence, environmental social theory."
"AMST321","upperDivisionUndergraduate","Science, Nature and Anxiety in the Zombie Films of George Romero",3,"American Studies","This course will examine the social commentary of George Romero's zombie films. We will consider how Romero's zombies serve as a vehicle to examine social anxieties regarding science, technology, nature, race, class and consumerism."
"AMST330","upperDivisionUndergraduate","Topics in Feminist, Queer and Transgender Studies",3,"American Studies","Varying subjects deriving from the contemporary cultural studies focus on matters of gender. Topics include: feminist theory; gender and nature; the factor of gender in disciplinary and interdisciplinary studies."
"AMST331","upperDivisionUndergraduate","Politics of Sex",3,"American Studies","Scandal, intrigue, drama: the politics of sex are all around us. This course examines the controversies associated with ""sex"" in US politics, history, and popular culture."
"AMST340","upperDivisionUndergraduate","Topics in Popular Visual Culture and Critique",3,"American Studies","Content varies by semester. Topics include: popular music, popular culture of the 1960s; sex and gender in popular culture; chicano/a vernacular culture; black popular culture; popular environmentalism."
"AMST341","upperDivisionUndergraduate","Topics in Film",3,"American Studies","Varying subjects, based in theoretical and/or historical approaches. Topics include: sex and gender in popular film; films of the nuclear age; African-American film; ethnicity in American cinema; film theory."
"AMST350","upperDivisionUndergraduate","Topics in Race, Class, Ethnicity",3,"American Studies","Offers specialized topics on an alternating basis dealing with race, class and ethnicity in the formation of American life and society. Subject areas include immigration, class formation, conquest, colonization, public policy and civil rights.
"
"AMST352","upperDivisionUndergraduate","The U.S. War on Terror",3,"American Studies","This course examines the history, politics, and cultural production of the U.S. War on Terror within the contexts of US
imperialisms and US Orientalist discourses."
"AMST357","upperDivisionUndergraduate","Topics in African-American Studies",3,"American Studies","Offers topics addressing African-American social, cultural, political and intellectual life. Topics include: black social movements, African-American intellectual history, black cultural studies, slavery in the Americas."
"AMST360","upperDivisionUndergraduate","Topics in SW Studies",3,"American Studies","Offers topics dealing with the social, cultural and technological developments among the people of the Southwest. Topics include folk art and material culture; rural, urban and border communities; traditional healing; travel and tourism; Hispano/Chicanos after 1848.
"
"AMST361","upperDivisionUndergraduate","Religion in New Mexico",3,"American Studies","This course examines New Mexican religion from the seventeenth century onward, considering how life here shapes religious practice, and how religion factors in how visitors imagine and represent inhabitants."
"AMST370","upperDivisionUndergraduate","Topics in Critical Indigenous Studies",3,"American Studies","Topical survey of theoretical approaches, research methodologies and subject areas within the interdisciplinary field of Native American Studies.
"
"AMST371","upperDivisionUndergraduate","Indigenous Film
Indigenous Film",3,"American Studies","This course introduces students to the world of Indigenous films, beginning with representations of Indians and moving to the work of Indigenous filmmakers who challenge stereotypes and create Indigenous-centered films."
"AMST380","upperDivisionUndergraduate","Topics in Latinx Studies",3,"American Studies","This interdisciplinary topics course examines the fastest growing population in the U.S. and includes Latino intellectual history, political and economic relations, recovery projects, music, film and media representations and environment, community and post-colonial studies.
"
"AMST385","upperDivisionUndergraduate","The Problem of America: Theories and Methods",3,"American Studies","This course explores various theoretical approaches to the problem of America. Focusing on race, indigeneity, gender, sexuality, region, disability, and more, this course gives students the tools they need to create their own intellectual projects."
"AMST400","upperDivisionUndergraduate","Topics: Community-Based Activisms in American Studies",3,"American Studies","This course focuses on community-based activisms from an American Studies perspective. Content and focus areas vary by semester."
"AMST485","upperDivisionUndergraduate","Senior Seminar in American Studies",3,"American Studies","An analysis of the value of synthesis in liberal scholarship. Focus will be on cooperative interdisciplinary research."
"AMST497","upperDivisionUndergraduate","Individual Study","{'min': 1, 'max': 3}","American Studies","Faculty-supervised individual study in an area of special interest not readily available through conventional course offerings."
"AMST498","starOrDoubleStarCoursesNumbered_300To_499","Internship","{'min': 1, 'max': 6}","American Studies","Involves internships in off-campus learning experiences related to the study of American and regional culture and character, such as work in local communities and with relevant institutions.

This a starred (*) level course and may be taken for graduate credit by students enrolled in a graduate program. A graduate student enrolled in a starred course numbered below 500 may be required to complete extra work."
"AMST499","upperDivisionUndergraduate","Honors Thesis",3,"American Studies","Development and writing of senior honors thesis under supervision of Faculty Advisor.
"
"AMST500","graduateExclThesisDissertations","American Culture Study Seminar",3,"American Studies","Examines the basic texts and methods in the field of American studies through discussion and critical/analytical writing assignments. Required for all American Studies graduate students; restricted to graduate students in the department."
"AMST501","graduateExclThesisDissertations","Theories and Methods in American Studies",3,"American Studies","Introducing students to a range of American Studies theories and methods, this spring seminar is the second in the required sequence of the American Studies core graduate curriculum and builds on the American Studies proseminar. 
"
"AMST502","graduateExclThesisDissertations","Research Methods Practicum",3,"American Studies","This seminar reviews: 1) archival and library research; 2) data collection and fieldwork (plus subsequent analysis and presentation of data); 3) processes of hypotheses and theory building; and 4) development of a research proposal.
"
"AMST509","graduateExclThesisDissertations","Topics in Social Movements",3,"American Studies","An interdisciplinary approach to the analysis of social movements, focusing on cultural and social formations of these movements. Topics include: folklore of social movements; labor struggles; peace movements; land conflicts.
"
"AMST510","graduateExclThesisDissertations","Topics in Cultural Studies",3,"American Studies","An in-depth study of one subject in the field of interdisciplinary culture studies. Topics may include material culture, folklore, consumerism, public culture, critical theory, cultural identity and postcolonial studies.
"
"AMST515","graduateExclThesisDissertations","Secularism and U.S. Empire",3,"American Studies","This course recognizes the role of religion in the processes and relationships of U.S. imperialism. We'll focus on the similarly important role of secularism in shaping ideologies, practices, and experiences of empire."
"AMST516","graduateExclThesisDissertations","Religion, Race, Revolution",3,"American Studies","In this seminar we will interrogate ways in which religion has formed white supremacy and colonialism in the context of the United States, as well as globally, and we will consider religious institutions, identities, theologies, and practices as locations of resistance to and revolution against racist and colonialist structures."
"AMST519","graduateExclThesisDissertations","Topics in Cultural History",3,"American Studies","Graduate seminars; content varies. Topics include: democracy, culture and history; American landscapes; history and narrative."
"AMST520","graduateExclThesisDissertations","Topics in Environmental and Social Justice",3,"American Studies","Graduate study of subjects in Environmental and Social Justice. Content varies by semester and topics may include: science/technology studies, environmental justice, political economy of nature, environmental social movements, race and nature, law and violence."
"AMST530","graduateExclThesisDissertations","Topics in Feminist, Queer and Transgender Studies",3,"American Studies","Varying subjects deriving from the contemporary cultural studies focus on matters of gender. Topics include: feminist theory; gender and nature; the factor of gender in disciplinary and interdisciplinary studies."
"AMST540","graduateExclThesisDissertations","Topics in Popular Visual Culture and Critique",3,"American Studies","Content varies by semester. Topics include: popular music, popular culture of the 1960s; sex and gender in popular culture; chicano/a vernacular culture; black popular culture; popular environmentalism.
"
"AMST541","graduateExclThesisDissertations","The Politics of Visual Culture",3,"American Studies","This course will investigate the role of visual experience in everyday life. The assigned works represent a variety of interdisciplinary approaches to American visual culture, including photography, film, television, material culture, and public art."
"AMST550","graduateExclThesisDissertations","Topics in Critical Race Studies",3,"American Studies","Offers specialized topics on an alternating basis dealing with race, class and ethnicity in the formation of American life and society. Subject areas include immigration, class formation, conquest, colonization, public policy, and civil rights.

"
"AMST554","graduateExclThesisDissertations","Migration, Immigration, and Asylum",3,"American Studies","This seminar focuses on issues of migration and immigration to the United States from the mid-20th century to the present, with a focus on transnational migrants and transnational communities."
"AMST560","graduateExclThesisDissertations","Topics in Southwest Studies",3,"American Studies","Offers topics dealing with the social, cultural and technological developments among the people of the Southwest. Topics include folk art and material culture; rural, urban and border communities; traditional healing; travel and tourism; Hispano/Chicanos after 1848.
"
"AMST570","graduateExclThesisDissertations","Topics in Critical Indigenous Studies",3,"American Studies","Seminar offering topical survey of theoretical approaches, research methodologies and subject areas within the interdisciplinary field of Native American Studies.

"
"AMST580","graduateExclThesisDissertations","Topics in Latinx Studies",3,"American Studies","This interdisciplinary topics course examines the fastest growing population in the U.S. and includes Latino intellectual history, political and economic relations, recovery projects, music, film and media representations and environment, community and post-colonial studies.
"
"AMST597","graduateExclThesisDissertations","Individual Study-Master's Degree","{'min': 1, 'max': 3}","American Studies","Faculty-supervised individual study in an area of special interest not readily available through conventional course offerings.."
"AMST599","thesis_599","Master's Thesis","{'min': 1, 'max': 6}","American Studies","Faculty-supervised investigative study that results in the development and writing of a master’s thesis.
Offered on a CR/NC basis only."
"AMST697","graduateExclThesisDissertations","Individual Study","{'min': 1, 'max': 3}","American Studies","Faculty-supervised individual study in an area of special interest not readily available through conventional course offerings.
For Ph.D. candidates only."
"AMST699","dissertation_699","Dissertation","{'min': 3, 'max': 12}","American Studies","Faculty-supervised investigative study that results in the development and writing of a doctoral dissertation.
Offered on a CR/NC basis only."
"AMST1110","lowerDivisionUndergraduate","Introduction to Environmental and Social Justice",3,"American Studies","An introduction to the socially and politically constructed values directing Americans’ attitudes toward nature, science and technology and to the impacts of those attitudes on built and natural environments regionally, nationally and globally."
"AMST1120","lowerDivisionUndergraduate","Introduction to Gender, Sexuality and U.S. Empire",3,"American Studies","While Gender Studies is truly a vast field of inquiry, there is great symmetry in the ways in which feminist scholars have been engaged with questions as to how disciplinary apparatuses and discourses shape and construct ""gender."" This course will begin with the process of peeking into this exciting scholarship, focusing on the ""intersectional ties"" of identity-that is, how gender has been produced in and through other categories of identity, such as race, class, sexuality, and nation. While there are numerous ways to structure such a course, this course will maneuver through the field of Gender Studies with an eye toward feminisms, race, and U.S. Empire through processes of incarceration, colonialism, and war). In this course, we will explore how the ""intersectional ties"" of identities have been constructed within a range of institutions, discourses, and processes, such as law, medicine, popular culture, nationalism, colonialism, and empire. Throughout, we will pay close attention to how discourses normalize certain types of identities, practices, and behaviors, and mark others as deviant or unnatural. And, of course, we will look for strategies to contest these productions. This will necessarily place us within key debates in feminist studies of power, agency, activism, and justice at the individual, community, national, and transnational levels, and allow us to end the course by interrogating the role of Gender Studies in regard to current U.S. occupation in the Middle East and Native America. This course will provide a strong foundation for you to pursue studies in feminist, queer, critical race, and postcolonial theories."
"AMST1130","lowerDivisionUndergraduate","Introduction to Politics in Popular Culture",3,"American Studies","This course considers a range of theoretical approaches to the study of popular culture, including cultural studies and feminist theory as well as key concepts and key debates in the study of popular culture. It explores the ways popular culture is implicated in the formation of social determinants such as ethnicity, race, gender, class, and sexuality and conversely, how these social determinants are implicated in the formation of popular culture. The course also considers the ways in which popular culture serves as a site of ongoing political struggle. The aim of the course is to provide students with a critical vocabulary to make sense of broader significance and relevance of popular culture--why
popular culture matters. To accomplish this, we will investigate a number of popular expressive forms including magazines, fandom, digital music, and hip hop. May be repeated for credit with permission from AMST undergraduate advisor."
"AMST1140","lowerDivisionUndergraduate","Introduction to Critical Race and Indigenous Studies",3,"American Studies","This course offers an introduction to the field of American Studies through an interdisciplinary examination of race, class and ethnicity in the United States and in a global context. Using a schedule of keywords, we will engage a range of central themes and concerns. We will examine histories of injustice, and resistance to injustice. Readings and assignments encourage students to notice the privilege and oppression at the core of U.S. society. The class will challenge the widely accepted assumption that we as a nation have moved beyond race and racism. Through readings, films, online sources, and our assignments, this course aims to increase our knowledge of inequality in our society, and the impact of those inequities on various societies and individuals."
"AMST1150","lowerDivisionUndergraduate","Introduction to Southwest Studies",3,"American Studies","This course introduces the complex histories, social issues, and cultural experiences of peoples of the southwestern United States. Course materials and discussions also demonstrate the possibilities of interdisciplinary study of regional American culture. It is multicultural in content and multidisciplinary in methodology. We will examine cross-cultural relationships among the peoples of the Southwest within the framework of their expressions and experiences in art, culture, religion; social and political economy."
"AMST1996","lowerDivisionUndergraduate","Topics","{'min': 1, 'max': 6}","American Studies",".A course exploring a topic not covered by the standard curriculum but of interest to faculty and students in a particular semester."
"AMST2996","lowerDivisionUndergraduate","Topics","{'min': 1, 'max': 6}","American Studies","A course exploring a topic not covered by the standard curriculum but of interest to faculty and students in a particular semester."
"ANES500","graduateExclThesisDissertations","Introduction to Clinical Anesthesia","4","Anesthesiologist Assistant","This course introduces students to the operating room, emphasizing the fundamental procedures and techniques used in administering an anesthetic. The course prepares and educates students to work within the Anesthesia Care Team (ACT) as an Anesthesiologist Assistant (AA).  There will be an introduction to the process of induction, maintenance, and emergence from anesthesia. Beyond didactic lectures and coursework, students will gain hands on experience through clinical immersion weeks. Coursework will parallel to laboratory and simulation-based courses by introducing the student to the operating room and the various elements of providing a safe anesthetic."
"ANES501","graduateExclThesisDissertations","Medical Terminology","1","Anesthesiologist Assistant","This online asynchronous course will teach students to understand medical terminology as it pertains to each body system, including an overview of how the different organ systems function, information about various medical disorders, and information about diagnostic and treatment procedures. Using graphics and study tips students will not only learn definitions and root terms, but also their application in the medical world. Students will be provided with fun and unusual facts to help remember the medical terminology in unique ways. There will be opportunities to see how medical terminology is used in the real world through case study assignments. The knowledge from this course will prepare students for a career as an anesthesiologist assistant through providing a framework to the medical terminology that is used daily. "
"ANES502","graduateExclThesisDissertations","General Anatomy & Physiology","3","Anesthesiologist Assistant","This course covers basic human anatomy and physiology from an integrative perspective. Material will focus on the cellular and tissue levels and their integration into the systems of the body. Students will gain knowledge through lectures, hands on models, and interactive software. "
"ANES503","graduateExclThesisDissertations","Introduction to Anesthesia Delivery Systems","2","Anesthesiologist Assistant","Introduction to anesthesia delivery systems is grounded in the physical principles involved in the delivery of anesthesia. Coursework in the class will provide knowledge and skills relevant to the mechanical, electrical, and pneumatic components of anesthesia monitoring, delivery systems, and their safety mechanisms. This course will equip students with the knowledge and skills to prevent and troubleshoot critical incidents in anesthesia delivery. Student learning will be obtained through readings, media assignments, lectures, and hands-on activities. "
"ANES504","graduateExclThesisDissertations","Principles of Airways","2","Anesthesiologist Assistant","This course will provide foundational knowledge and skills required to perform patient airway assessment, airway management, and artificial ventilation.  Facilitation of learning in this course will be through readings, skill videos, lectures, in class discussions, small group exercises, course assignment, and skills exercises."
"ANES505","graduateExclThesisDissertations","Pharmacology for Anesthesia I","3","Anesthesiologist Assistant","Pharmacology for Anesthesia I introduces students to the study of pharmacology with clinical anesthesia applications. This course focuses on the pharmacokinetics and pharmacodynamics of major drug classifications used in the practice of anesthesia, including inhaled anesthetics, opioids, barbiturates, benzodiazepines, anticholinesterases, anticholinergics, neuromuscular blockers, and adrenergic agonists and antagonists.  Students will be given an overview of drug actions, interactions, metabolism, methods of administration, dosages, side effects, precautions, and contraindications. "
