"code","level","title","credits","subject","description"
"ASTR526","graduateExclThesisDissertations","Optics and Instrumentation",3,"Astronomy","Principles of optics and quantum physics applied to modern astronomical instrumentation (over a wide range of electromagnetic wavelengths), data acquisition and processing. "
"ASTR536","graduateExclThesisDissertations","Advanced Astrophysics I",3,"Astronomy","Astrophysical problems illustrating E&M and classical/statistical mechanics: expansion of the universe; dark matter; big-bang nucleosynthesis; stellar interiors; neutron stars; supernovae. May be repeated when topics are different. 
"
"ASTR537","graduateExclThesisDissertations","Advanced Astrophysics II",3,"Astronomy","Astrophysical problems as illustrations of quantum mechanics: atoms; molecules; spectral lines; ionized regions surrounding stars; centers of active galaxies; Lyman-alpha forest. May be repeated when topics are different."
"ASTR538","graduateExclThesisDissertations","Concepts of Astrophysics II",3,"Astronomy","Applications of advanced astrophysical concepts to the interstellar medium, star formation, the Milky Way, external galaxies, and cosmology. 
"
"ASTR539","graduateExclThesisDissertations","Radio Astronomy",3,"Astronomy","Single dish and aperture synthesis radio observations; emission processes at radio wavelengths: synchrotron radiation, thermal bremsstrahlung. 
"
"ASTR1115","lowerDivisionUndergraduate","Introduction to Astronomy",3,"Astronomy","This course surveys observations, theories, and methods of modern astronomy. The course is predominantly for non-science majors, aiming to provide a conceptual understanding of the universe and the basic physics that governs it. Due to the broad coverage of this course, the specific topics and concepts treated may vary. Commonly presented subjects include the general movements of the sky and history of astronomy, followed by an introduction to basic physics concepts like Newton's and Kepler's laws of motion. The course may also provide modern details and facts about celestial bodies in our solar system, as well as differentiation between them: Terrestrial and Jovian planets, exoplanets, the practical meaning of ""dwarf planets"", asteroids, comets, and Kuiper Belt and Trans-Neptunian Objects. Beyond this we may study stars and galaxies, star clusters, nebulae, black holes, clusters of galaxies and dark matter. Finally, we may study cosmology, the structure and history of the universe."
"ASTR1115L","lowerDivisionUndergraduate","Introduction to Astronomy Lab",1,"Astronomy","Includes hands-on exercises that work to reinforce concepts covered in the lecture, and may include additional components that introduce students to the night sky. Two hours lab.

"
"ASTR1996","lowerDivisionUndergraduate","Topics","{'min': 1, 'max': 6}","Astronomy","A course exploring a topic not covered by the standard curriculum but of interest to faculty and students in a particular semester.
"
"ASTR2110","lowerDivisionUndergraduate","General Astronomy I",3,"Astronomy","This is an introductory course covering the basics of the night sky and the Solar System.
"
"ASTR2110L","lowerDivisionUndergraduate","General  Astronomy I Laboratory",1,"Astronomy","Students learn how to carry out astronomical observations using actual telescopes. Students learn the basics of the celestial sphere, telescope design and characteristics planning observations, astronomical data reduction, how to make measurements from astronomical data, interpreting results, and writing reports. The topics of the lab are aligned with 2110. The level of math is trigonometry and pre-calculus. Three hours lab. 
"
