course_code,course_title,course_description,course_credits,department
Actg 199,Special Studies,,Credits1-12,Actg - Accounting
Actg 281,Accounting Mechanics: Debits and Credit,,Credits1,Actg - Accounting
Actg 299,Special Studies,,Credits1-12,Actg - Accounting
Actg 310,Professional Accounting Seminar,,Credits2,Actg - Accounting
Actg 335,Accounting Information Systems and Analytic Fundamentals,,Credits4,Actg - Accounting
Actg 360,Management Accounting,,Credits2,Actg - Accounting
Actg 381,Financial Accounting and Reporting I,,Credits4,Actg - Accounting
Actg 382,Financial Accounting and Reporting II,,Credits4,Actg - Accounting
Actg 383,Financial Accounting and Reporting III,,Credits4,Actg - Accounting
Actg 395,Taxation,,Credits4,Actg - Accounting
Actg 399,Special Studies,,Credits1-12,Actg - Accounting
Actg 401,Research,,Credits1-12,Actg - Accounting
Actg 402,Independent Study,,Credits1-12,Actg - Accounting
Actg 403,Thesis,,Credits1-12,Actg - Accounting
Actg 404,Internship,,Credits1-12,Actg - Accounting
Actg 405,Reading and Conference,,Credits1-12,Actg - Accounting
Actg 406,Special Projects,,Credits1-12,Actg - Accounting
Actg 407,Seminar,,Credits1-6,Actg - Accounting
Actg 408,Workshop,,Credits1-12,Actg - Accounting
Actg 409,Practicum,,Credits1-8,Actg - Accounting
Actg 410,Selected Topics,,Credits1-12,Actg - Accounting
Actg 416,"IT, Cybersecurity and Compliance",,Credits4,Actg - Accounting
Actg 422,Advanced Taxation,,Credits4,Actg - Accounting
Actg 430,Governmental Accounting,,Credits2,Actg - Accounting
Actg 431,Not-For-Profit Accounting,,Credits2,Actg - Accounting
Actg 445,Forensic Accounting,,Credits4,Actg - Accounting
Actg 460,Advanced Managerial Accounting,,Credits4,Actg - Accounting
Actg 485,Business Law,,Credits4,Actg - Accounting
Actg 490,Advanced Financial Accounting,,Credits4,Actg - Accounting
Actg 492,Auditing Concepts and Practices,,Credits4,Actg - Accounting
Actg 493,Advanced Auditing,,Credits4,Actg - Accounting
Actg 495,Integrated Accounting Issues,,Credits4,Actg - Accounting
Actg 501,Research,,Credits1-9,Actg - Accounting
Actg 502,Independent Study,,Credits1-9,Actg - Accounting
Actg 503,Thesis,,Credits1-9,Actg - Accounting
Actg 504,Internship,,Credits1-9,Actg - Accounting
Actg 505,Reading and Conference,,Credits1-9,Actg - Accounting
Actg 509,Special Projects,,Credits1-6,Actg - Accounting
Actg 507,Seminar,,Credits1-12,Actg - Accounting
Actg 507S,Seminar,,Credits1-8,Actg - Accounting
Actg 508,Workshop,,Credits1-9,Actg - Accounting
Actg 509,Practicum,,Credits1-9,Actg - Accounting
Actg 510,Selected Topics,,Credits1-9,Actg - Accounting
Actg 511,Financial Reporting,,Credits4,Actg - Accounting
Actg 513,Managerial Accounting and Control,,Credits4,Actg - Accounting
Actg 525,Tax Research Documentation and Procedure,,Credits4,Actg - Accounting
Actg 526,Accounting Methods and Periods,,Credits4,Actg - Accounting
Actg 527,Corporate Taxation I,,Credits4,Actg - Accounting
Actg 528,Corporate Taxation II,,Credits4,Actg - Accounting
Actg 530,Taxation of Property Transactions,,Credits2,Actg - Accounting
Actg 531,Partnership Taxation,,Credits4,Actg - Accounting
Actg 532,S Corporations Taxation,,Credits2,Actg - Accounting
Actg 533,Financial Accounting for Income Taxes,,Credits4,Actg - Accounting
Actg 535,State and Local Taxation,,Credits4,Actg - Accounting
Actg 536,International Taxation,,Credits4,Actg - Accounting
Actg 537,Tax Accounting Capstone Consulting Project,,Credits4,Actg - Accounting
Actg 539,"Trust, Estate & Gift Taxation",,Credits4,Actg - Accounting
Actg 540,Practicum / Internship,,Credits4,Actg - Accounting
Actg 542,Tax Factors in Business Decisions,,Credits4,Actg - Accounting
Actg 544,Professional Practices Seminar,,Credits1,Actg - Accounting
Actg 545,Forensic Accounting,,Credits4,Actg - Accounting
Actg 545S,Forensic Accounting,,Credits4,Actg - Accounting
Actg 550,Advanced Financial Reporting,,Credits4,Actg - Accounting
Actg 551,Accounting Information Systems,,Credits4,Actg - Accounting
Actg 552,Strategic Cost Management,,Credits4,Actg - Accounting
Actg 553,Financial Statement Analysis,,Credits4,Actg - Accounting
Actg 560,Professional Ethics and the Public Interest,,Credits2,Actg - Accounting
Actg 565,Current Topics in Global Financial Accounting,,Credits4,Actg - Accounting
Actg 585,Business Law,,Credits4,Actg - Accounting
Actg 585S,Business Law,,Credits4,Actg - Accounting
Actg 592,Auditing Concepts and Practices,,Credits4,Actg - Accounting
Actg 592S,Auditing Concepts and Practices,,Credits4,Actg - Accounting
Actg 593,Advanced Auditing,,Credits4,Actg - Accounting
Actg 593S,Advanced Auditing,,Credits4,Actg - Accounting
Actg 601,Research,,Credits1-12,Actg - Accounting
Actg 607,Seminar,,Credits1-12,Actg - Accounting
Anth 101,Introduction to Biological Anthropology,,Credits4,Anth - Anthropology
Anth 102,Introduction to Archaeology,,Credits4,Anth - Anthropology
Anth 103,Introduction to Social/Cultural Anthropology,,Credits4,Anth - Anthropology
Anth 199,Special Studies,,Credits1-12,Anth - Anthropology
Anth 299,Special Studies,,Credits1-12,Anth - Anthropology
Anth 300U,The Modern World in Anthropological Perspective,,Credits4,Anth - Anthropology
Anth 301,The Politics of Ethnographic Writing,,Credits4,Anth - Anthropology
Anth 304,Identity and Society,,Credits4,Anth - Anthropology
Anth 305,Culture and Power,,Credits4,Anth - Anthropology
Anth 310U,Chinese Culture and Society,,Credits4,Anth - Anthropology
Anth 311U,Peoples and Cultures of Latin America,,Credits4,Anth - Anthropology
Anth 312U,Southeast Asian Societies and Cultures,,Credits4,Anth - Anthropology
Anth 313U,Native American-Settler Relations,,Credits4,Anth - Anthropology
Anth 314U,Native Americans,,Credits4,Anth - Anthropology
Anth 315U,American Culture,,Credits4,Anth - Anthropology
Anth 317U,South Asia,,Credits4,Anth - Anthropology
Anth 318U,Asian American Experience,,Credits4,Anth - Anthropology
Anth 319U,Traditional Cultures of Africa,,Credits4,Anth - Anthropology
Anth 320,Indigenous Peoples of the Pacific Northwest Coast,,Credits4,Anth - Anthropology
Anth 325U,"Culture, Health, and Healing",,Credits4,Anth - Anthropology
Anth 330U,Anthropology of Folklore,,Credits4,Anth - Anthropology
Anth 333U,Anthropology of Food,,Credits4,Anth - Anthropology
Anth 340U,"Design, Politics and Society",,Credits4,Anth - Anthropology
Anth 345,Practicing Anthropology,,Credits4,Anth - Anthropology
Anth 350,Archaeological Method and Theory,,Credits4,Anth - Anthropology
Anth 350L,Archaeological Method and Theory Laboratory,,Credits1,Anth - Anthropology
Anth 355U,Colonial and Postcolonial Historical Archaeology,,Credits4,Anth - Anthropology
Anth 357U,Archaeology in Popular Culture,,Credits4,Anth - Anthropology
Anth 361U,The Archaeology of Europe,,Credits4,Anth - Anthropology
Anth 362U,African Prehistory,,Credits4,Anth - Anthropology
Anth 363U,Egyptian Archaeology: From Earliest Peoples to the Pyramid Age,,Credits4,Anth - Anthropology
Anth 364U,The Archaeology of the Pacific Northwest,,Credits4,Anth - Anthropology
Anth 365U,The Archaeology of North America,,Credits4,Anth - Anthropology
Anth 366U,The Archaeology of Mesoamerica,,Credits4,Anth - Anthropology
Anth 368U,The Archaeology of Oceania,,Credits4,Anth - Anthropology
Anth 370,Paleoanthropology,,Credits5,Anth - Anthropology
Anth 370L,Paleoanthropology Laboratory,,Credits0,Anth - Anthropology
Anth 372,Human Variation,,Credits4,Anth - Anthropology
Anth 373,Primate Ecology and Behavior,,Credits4,Anth - Anthropology
Anth 376U,The Neandertals,,Credits4,Anth - Anthropology
Anth 379U,Practicing Forensic Science,,Credits4,Anth - Anthropology
Anth 399,Special Studies,,Credits1-12,Anth - Anthropology
Anth 401,Research,,Credits1-12,Anth - Anthropology
Anth 402,Independent Study,,Credits1-12,Anth - Anthropology
Anth 403,Thesis,,Credits1-12,Anth - Anthropology
Anth 404,Cooperative Education/internship,,Credits1-12,Anth - Anthropology
Anth 405,Reading and Conference,,Credits1-6,Anth - Anthropology
Anth 406,Projects,,Credits1-12,Anth - Anthropology
Anth 407,Seminar,,Credits1-12,Anth - Anthropology
Anth 408,Workshop,,Credits1-12,Anth - Anthropology
Anth 409,Practicum,,Credits1-12,Anth - Anthropology
Anth 410,Selected Topics,,Credits1-12,Anth - Anthropology
Anth 412,Ethnographic Methods,,Credits4,Anth - Anthropology
Anth 414,Culture and Ecology,,Credits4,Anth - Anthropology
Anth 415,Applied Anthropology,,Credits4,Anth - Anthropology
Anth 416,Urban Anthropology,,Credits4,Anth - Anthropology
Anth 417,Advanced Topics in Native American Studies,,Credits4,Anth - Anthropology
Anth 418,Environmental Anthropology,,Credits4,Anth - Anthropology
Anth 425,Topics in Medical Anthropology,,Credits4,Anth - Anthropology
Anth 426,Transnationalism and Migration,,Credits4,Anth - Anthropology
Anth 431,Topics in Latin American in Ethnography,,Credits4,Anth - Anthropology
Anth 432,"Gender, Sex, and Sexuality in Anthropological Perspective",,Credits4,Anth - Anthropology
Anth 435,Visual Anthropology,,Credits4,Anth - Anthropology
Anth 440,Design Anthropology,,Credits4,Anth - Anthropology
Anth 452,Archaeological Lab Methods,,Credits4,Anth - Anthropology
Anth 453,Archaeological Field Methods,,Credits4,Anth - Anthropology
Anth 454,Archaeological Field School,,Credits6,Anth - Anthropology
Anth 455,Analysis of Faunal Remains,,Credits5,Anth - Anthropology
Anth 456,Cultural and Heritage Resources Management,,Credits4,Anth - Anthropology
Anth 457,The Archaeology of Hunter-Gatherers,,Credits4,Anth - Anthropology
Anth 458,The Archaeology of Disaster,,Credits4,Anth - Anthropology
Anth 460,Public and Community Archaeology,,Credits4,Anth - Anthropology
Anth 461,Advanced Topics in Archaeology,,Credits4,Anth - Anthropology
Anth 471,Advanced Topics in Paleoanthropology,,Credits4,Anth - Anthropology
Anth 472,The Roots of Human Biology,,Credits4,Anth - Anthropology
Anth 473,Primatology,,Credits4,Anth - Anthropology
Anth 477,Primatology Field Methods,,Credits4,Anth - Anthropology
Anth 478,Human Osteology,,Credits4,Anth - Anthropology
Anth 479,Forensic Anthropology,,Credits4,Anth - Anthropology
Anth 490,The Anthropology of Violence,,Credits4,Anth - Anthropology
Anth 491,"Culture, Vulnerability and Disaster Resilience",,Credits4,Anth - Anthropology
Anth 501,Research,,Credits1-9,Anth - Anthropology
Anth 502,Independent Study,,Credits1-9,Anth - Anthropology
Anth 503,Thesis,,Credits1-9,Anth - Anthropology
Anth 504,Cooperative Education/internship,,Credits1-9,Anth - Anthropology
Anth 505,Reading and Conference,,Credits1-9,Anth - Anthropology
Anth 506,Special Projects,,Credits1-9,Anth - Anthropology
Anth 507,Seminar,,Credits1-12,Anth - Anthropology
Anth 509,Practicum,,Credits1-9,Anth - Anthropology
Anth 510,Selected Topics,,Credits1-12,Anth - Anthropology
Anth 511,Core Seminar in Social and Cultural Anthropology,,Credits4,Anth - Anthropology
Anth 512,Ethnographic Methods,,Credits4,Anth - Anthropology
Anth 514,Culture and Ecology,,Credits4,Anth - Anthropology
Anth 515,Applied Anthropology,,Credits4,Anth - Anthropology
Anth 516,Urban Anthropology,,Credits4,Anth - Anthropology
Anth 517,Advanced Topics in Native American Studies,,Credits4,Anth - Anthropology
Anth 518,Environmental Anthropology,,Credits4,Anth - Anthropology
Anth 525,Topics in Medical Anthropology,,Credits4,Anth - Anthropology
Anth 526,Transnationalism and Migration,,Credits4,Anth - Anthropology
Anth 531,Topics in Latin American in Ethnography,,Credits4,Anth - Anthropology
Anth 532,"Gender, Sex, and Sexuality in Anthropological Perspectives",,Credits4,Anth - Anthropology
Anth 535,Visual Anthropology,,Credits4,Anth - Anthropology
Anth 540,Design Anthropology,,Credits4,Anth - Anthropology
Anth 550,Core Seminar in Archaeology,,Credits4,Anth - Anthropology
Anth 552,Archaeological Lab Methods,,Credits4,Anth - Anthropology
Anth 553,Archaeological Field Methods,,Credits4,Anth - Anthropology
Anth 554,Archaeological Field School,,Credits6,Anth - Anthropology
Anth 555,Analysis of Faunal Remains,,Credits5,Anth - Anthropology
Anth 556,Cultural and Heritage Resource Management,,Credits4,Anth - Anthropology
Anth 557,The Archaeology of Hunter-Gatherers,,Credits4,Anth - Anthropology
Anth 558,The Archaeology of Disaster,,Credits4,Anth - Anthropology
Anth 560,Public and Community Archaeology,,Credits4,Anth - Anthropology
Anth 561,Advanced Topics in Archaeology,,Credits4,Anth - Anthropology
Anth 570,Core Seminar in Physical Anthropology,,Credits4,Anth - Anthropology
Anth 571,Advanced Topics in Paleoanthropology,,Credits4,Anth - Anthropology
Anth 572,The Roots of Human Biology,,Credits4,Anth - Anthropology
Anth 573,Primatology,,Credits4,Anth - Anthropology
Anth 577,Primatology Field Methods,,Credits4,Anth - Anthropology
Anth 578,Human Osteology,,Credits4,Anth - Anthropology
Anth 579,Forensic Anthropology,,Credits4,Anth - Anthropology
Anth 590,The Anthropology of Violence,,Credits4,Anth - Anthropology
Anth 591,"Culture, Vulnerability and Disaster Resilience",,Credits4,Anth - Anthropology
Ar 101,First-Year Standard Arabic Term 1,,Credits4,Ar - Arabic
Ar 102,First-Year Standard Arabic Term 2,,Credits4,Ar - Arabic
Ar 103,First-Year Standard Arabic Term 3,,Credits4,Ar - Arabic
Ar 199,Special Studies,,Credits1-12,Ar - Arabic
Ar 201,Second-Year Standard Arabic Term 1,,Credits4,Ar - Arabic
Ar 202,First-Year Standard Arabic Term 2,,Credits4,Ar - Arabic
Ar 203,First-Year Standard Arabic Term 3,,Credits4,Ar - Arabic
Ar 299,Special Studies,,Credits1-12,Ar - Arabic
Ar 301,Third-Year Standard Arabic Term 1,,Credits4,Ar - Arabic
Ar 302,Third-Year Standard Arabic Term 2,,Credits4,Ar - Arabic
Ar 303,Third-Year Standard Arabic Term 3,,Credits4,Ar - Arabic
Ar 304,Common Spoken Arabic Term 1,,Credits4,Ar - Arabic
Ar 305,Common Spoken Arabic Term 2,,Credits4,Ar - Arabic
Ar 306,Common Spoken Arabic Term 3,,Credits4,Ar - Arabic
Ar 311,Intermediate Media Arabic,,Credits4,Ar - Arabic
Ar 330,Topics in Arab Culture and Civilization,,Credits4,Ar - Arabic
Ar 331,Arabic Calligraphy: Reading and Writing,,Credits4,Ar - Arabic
Ar 360,Arab Cinema,,Credits4,Ar - Arabic
Ar 399,Special Studies,,Credits1-6,Ar - Arabic
Ar 401,Research,,Credits1-12,Ar - Arabic
Ar 402,Independent Study,,Credits1-12,Ar - Arabic
Ar 403,Thesis,,Credits1-12,Ar - Arabic
Ar 404,Cooperative Education/Internship,,Credits1-12,Ar - Arabic
Ar 405,Reading and Conference,,Credits1-12,Ar - Arabic
Ar 406,Projects,,Credits1-12,Ar - Arabic
Ar 407,Seminar,,Credits1-12,Ar - Arabic
Ar 408,Workshop,,Credits1-12,Ar - Arabic
Ar 409,Practicum,,Credits1-12,Ar - Arabic
Ar 410,Selected Topics,,Credits1-12,Ar - Arabic
Ar 411,Advanced Arabic,,Credits4,Ar - Arabic
Ar 413,Advanced Modern Standard Arabic: Short Story and Novel,,Credits4,Ar - Arabic
Ar 414,Advanced Arabic Grammar,,Credits4,Ar - Arabic
Ar 419,Folk Proverbs of the Arabs,,Credits4,Ar - Arabic
Ar 420,Folk Tales of the Arabs,,Credits4,Ar - Arabic
Ar 421,Extemporized-sung Poetry and Folk Songs of the Arabs,,Credits4,Ar - Arabic
Ar 423,Modern Arabic Poetry,,Credits4,Ar - Arabic
Ar 424,Classical Arabic Poetry,,Credits4,Ar - Arabic
Ar 427,Classical Arabic Prose,,Credits4,Ar - Arabic
Ar 441U,Major Arabic Works in Translation,,Credits4,Ar - Arabic
Ar 490,History of the Arabic Language,,Credits4,Ar - Arabic
Ar 510,Selected Topics,,Credits1-12,Ar - Arabic
Ar 511,Advanced Arabic,,Credits4,Ar - Arabic
Ar 513,Advanced Modern Standard Arabic: Short Story and Novel,,Credits4,Ar - Arabic
Ar 514,Advanced Arabic Grammar,,Credits4,Ar - Arabic
Ar 519,Folk Proverbs of the Arabs,,Credits4,Ar - Arabic
Ar 520,Folk Tales of the Arabs,,Credits4,Ar - Arabic
Ar 521,Extemporized-sung Poetry and Folk Songs of the Arabs,,Credits4,Ar - Arabic
Ar 523,Modern Arabic Poetry,,Credits4,Ar - Arabic
Ar 524,Classical Arabic Poetry,,Credits4,Ar - Arabic
Ar 527,Classical Arabic Prose,,Credits4,Ar - Arabic
Ar 590,History of the Arabic Language,,Credits4,Ar - Arabic
Arch 100,Introduction to Architecture,,Credits4,Arch - Architecture
Arch 101,Introduction to Environmental Design,,Credits4,Arch - Architecture
Arch 102,Introduction to Landscape Architecture,,Credits4,Arch - Architecture
Arch 120,Visual Communication 1,,Credits4,Arch - Architecture
Arch 121,Visual Communication 2,,Credits4,Arch - Architecture
Arch 198,Metal Shop Skills Workshop,,Credits1,Arch - Architecture
Arch 199,Special Studies,,Credits0-12,Arch - Architecture
Arch 202,Project Management II,,Credits6,Arch - Architecture
Arch 225,Digital Graphics,,Credits4,Arch - Architecture
Arch 230,Architecture and Cultural History I,,Credits4,Arch - Architecture
Arch 231,Architecture and Cultural History II,,Credits4,Arch - Architecture
Arch 232,Architecture and Cultural History III,,Credits4,Arch - Architecture
Arch 280,Design Fundamentals Studio 1,,Credits6,Arch - Architecture
Arch 281,Design Fundamentals Studio 2,,Credits6,Arch - Architecture
Arch 283,Architecture Summer Immersion Program,,Credits6,Arch - Architecture
Arch 299,Special Studies,,Credits1-6,Arch - Architecture
Arch 360,Building Tectonics 1,,Credits4,Arch - Architecture
Arch 361,Building Tectonics 2,,Credits4,Arch - Architecture
Arch 362,Building Tectonics 3,,Credits4,Arch - Architecture
Arch 367U,Fundamentals of Environmental Design,,Credits4,Arch - Architecture
Arch 380,Architectural Design Studio 1,,Credits6,Arch - Architecture
Arch 381,Architectural Design Studio 2,,Credits6,Arch - Architecture
Arch 382,Architectural Design Studio 3,,Credits6,Arch - Architecture
Arch 384,Architectural Design Focus Studio I,,Credits3,Arch - Architecture
Arch 385,Architectural Design Focus Studio II,,Credits3,Arch - Architecture
Arch 399,Special Studies,,Credits0-12,Arch - Architecture
Arch 401,Research,,Credits0-12,Arch - Architecture
Arch 402,Independent Study,,Credits1-12,Arch - Architecture
Arch 403,Thesis,,Credits1-12,Arch - Architecture
Arch 404,Cooperative Education/Internship,,Credits0-12,Arch - Architecture
Arch 405,Reading or Studio and Conference,,Credits0-12,Arch - Architecture
Arch 406,Special Projects,,Credits1-12,Arch - Architecture
Arch 407,Seminar,,Credits0-12,Arch - Architecture
Arch 408,Workshop,,Credits0-12,Arch - Architecture
Arch 409,Thesis,,Credits1-12,Arch - Architecture
Arch 410,Selected Topics,,Credits0-12,Arch - Architecture
Arch 412,Design/Build 1,,Credits4,Arch - Architecture
Arch 413,Design/Build 2,,Credits4,Arch - Architecture
Arch 421,Urban Design Methods,,Credits4,Arch - Architecture
Arch 423,Advanced Architectural Graphics and Media,,Credits4,Arch - Architecture
Arch 425,Computational Design & Digital Making I,,Credits4,Arch - Architecture
Arch 426,Computational Design & Digital Making II,,Credits4,Arch - Architecture
Arch 430,Architectural Theory,,Credits4,Arch - Architecture
Arch 431,Studies in Contemporary Urban Design,,Credits4,Arch - Architecture
Arch 432,History and Theory of Urban Design,,Credits4,Arch - Architecture
Arch 433,Contemporary Issues Seminar,,Credits4,Arch - Architecture
Arch 434,Topics in Architectural History and Theory,,Credits4,Arch - Architecture
Arch 435,Topics in Modernism,,Credits4,Arch - Architecture
Arch 440,Professional Practice,,Credits4,Arch - Architecture
Arch 441,Practicum and Internship,,Credits4,Arch - Architecture
Arch 442,Building Economics,,Credits4,Arch - Architecture
Arch 460,Concepts in Building Technology,,Credits4,Arch - Architecture
Arch 462,Advanced Architectural Materials,,Credits4,Arch - Architecture
Arch 467,Building Structures,,Credits4,Arch - Architecture
Arch 480,Architectural Design Studio 4,,Credits6,Arch - Architecture
Arch 481,Architectural Design Studio 5,,Credits6,Arch - Architecture
Arch 482,Architectural Design Studio 6,,Credits6,Arch - Architecture
Arch 501,Research,,Credits1-9,Arch - Architecture
Arch 502,Independent Study,,Credits1-9,Arch - Architecture
Arch 504,Cooperative Education/Internship,,Credits1-9,Arch - Architecture
Arch 505,Reading or Studio and Conference,,Credits1-9,Arch - Architecture
Arch 506,Problems/Projects,,Credits1-9,Arch - Architecture
Arch 507,Seminar,,Credits0-12,Arch - Architecture
Arch 508,Workshop,,Credits1-9,Arch - Architecture
Arch 509,Practicum,,Credits1-9,Arch - Architecture
Arch 510,Selected Topics,,Credits0-12,Arch - Architecture
Arch 511,Pro-Thesis Seminar,,Credits4,Arch - Architecture
Arch 512,Design/Build 1,,Credits4,Arch - Architecture
Arch 513,Design/Build 2,,Credits4,Arch - Architecture
Arch 521,Urban Design Methods,,Credits4,Arch - Architecture
Arch 522,Architectural Graphics and Media,,Credits4,Arch - Architecture
Arch 523,Advanced Architectural Graphics and Media,,Credits4,Arch - Architecture
Arch 525,Computational Design & Digital Making I,,Credits4,Arch - Architecture
Arch 526,Computational Design & Digital Making II,,Credits4,Arch - Architecture
Arch 530,Contemporary Architectural Theory,,Credits4,Arch - Architecture
Arch 531,Studies in Contemporary Urban Design,,Credits4,Arch - Architecture
Arch 532,History and Theory of Urban Design,,Credits4,Arch - Architecture
Arch 533,Contemporary Issues Seminar,,Credits4,Arch - Architecture
Arch 534,Topics in Architectural History and Theory,,Credits4,Arch - Architecture
Arch 535,Public Interest Design in Practice 1,,Credits4,Arch - Architecture
Arch 536,Architectural History and Theory I,,Credits4,Arch - Architecture
Arch 537,Architectural History and Theory II,,Credits4,Arch - Architecture
Arch 538,Architectural History and Theory III,,Credits4,Arch - Architecture
Arch 539,Architectural History and Theory IV,,Credits4,Arch - Architecture
Arch 540,Professional Practice,,Credits4,Arch - Architecture
Arch 541,Practicum and Internship,,Credits4,Arch - Architecture
Arch 542,Building Economics,,Credits4,Arch - Architecture
Arch 543,Topics in Professional Practice,,Credits4,Arch - Architecture
Arch 560,Advanced Architectural Technology,,Credits4,Arch - Architecture
Arch 561,Detail Design,,Credits4,Arch - Architecture
Arch 562,Advanced Architectural Materials,,Credits4,Arch - Architecture
Arch 563,Building Science Research Topics,,Credits4,Arch - Architecture
Arch 564,Architectural Technology III,,Credits4,Arch - Architecture
Arch 567,Architectural Structures,,Credits4,Arch - Architecture
Arch 568,Architectural Technology I,,Credits4,Arch - Architecture
Arch 569,Architectural Technology II,,Credits4,Arch - Architecture
Arch 570,Architectural Design Transition Studio I,,Credits6,Arch - Architecture
Arch 571,Architectural Design Transition Studio II,,Credits6,Arch - Architecture
Arch 572,Architectural Design Transition Studio III,,Credits6,Arch - Architecture
Arch 573,Architectural Design Transition Studio IV,,Credits6,Arch - Architecture
Arch 580,Architectural Design Studio 7,,Credits6,Arch - Architecture
Arch 581,Architectural Design Studio 8,,Credits6,Arch - Architecture
Arch 582,Architectural Design Studio 9,,Credits6,Arch - Architecture
Arch 584,Design Development Studio,,Credits6,Arch - Architecture
Arch 585,Design Thesis,,Credits6,Arch - Architecture
Arch 586,Integrated Systems,,Credits6,Arch - Architecture
ArH 106,Introduction to Visual Literacy,,Credits2,ArH - Art History
ArH 110,Visual Literacy,,Credits4,ArH - Art History
ArH 199,Special Studies,,Credits0-12,ArH - Art History
ArH 204,Art History: The Ancient World,,Credits4,ArH - Art History
ArH 205,Art History: The Medieval World,,Credits4,ArH - Art History
ArH 206,Art History: The Modern World,,Credits4,ArH - Art History
ArH 291,History of Animation,,Credits4,ArH - Art History
ArH 299,Special Studies,,Credits1-12,ArH - Art History
ArH 311U,Survey of South and Southeast Asian Art,,Credits4,ArH - Art History
ArH 312U,Survey of Chinese Art,,Credits4,ArH - Art History
ArH 313U,Survey of Japanese Art,,Credits4,ArH - Art History
ArH 315U,Chinese Buddhist Art,,Credits4,ArH - Art History
ArH 316U,Japanese Buddhist Art,,Credits4,ArH - Art History
ArH 317U,Chinese Painting,,Credits4,ArH - Art History
ArH 318U,Japanese Painting,,Credits4,ArH - Art History
ArH 319U,Modern Japanese Painting,,Credits4,ArH - Art History
ArH 321U,Survey of Korean Art,,Credits4,ArH - Art History
ArH 329,Islamic Art: Major Themes and Periods:,,Credits4,ArH - Art History
ArH 333U,Latin American Women Artists,,Credits4,ArH - Art History
ArH 337U,Nature into Art,,Credits4,ArH - Art History
ArH 340,Survey of African-American Art,,Credits4,ArH - Art History
ArH 341,The Black Arts Movement,,Credits4,ArH - Art History
ArH 343,Post-Black Arts Movement,,Credits4,ArH - Art History
ArH 351U,Ancient Near Eastern and Egyptian Art,,Credits4,ArH - Art History
ArH 352U,Ancient Greek Art and Architecture,,Credits4,ArH - Art History
ArH 353U,Ancient Roman and Etruscan Art and Architecture,,Credits4,ArH - Art History
ArH 355U,Medieval Monsters,,Credits4,ArH - Art History
ArH 356U,Early Medieval Art and Architecture,,Credits4,ArH - Art History
ArH 357U,Byzantine Art and Architecture,,Credits4,ArH - Art History
ArH 358U,Representing Medicine and Magic in Medieval Art,,Credits4,ArH - Art History
ArH 359U,Gothic Art and Architecture,,Credits4,ArH - Art History
ArH 360U,The Art of War: Representing the Crusades,,Credits4,ArH - Art History
ArH 361U,Northern Renaissance Art,,Credits4,ArH - Art History
ArH 371U,Italian Renaissance Art,,Credits4,ArH - Art History
ArH 372U,Italian Renaissance Art,,Credits4,ArH - Art History
ArH 373U,Italian Renaissance Art,,Credits4,ArH - Art History
ArH 376U,Italian Baroque Art,,Credits4,ArH - Art History
ArH 377U,Dutch and Flemish Baroque Art,,Credits4,ArH - Art History
ArH 378U,Spanish Baroque Art,,Credits4,ArH - Art History
ArH 379U,Latin American Baroque Art,,Credits4,ArH - Art History
ArH 381U,19th Century Art,,Credits4,ArH - Art History
ArH 382U,19th Century Art,,Credits4,ArH - Art History
ArH 383,Western Art in the 20th Century,,Credits4,ArH - Art History
ArH 384,Western Art in the 20th Century,,Credits4,ArH - Art History
ArH 385,Western Art in the 20th Century,,Credits4,ArH - Art History
ArH 386,American Art and Architecture 17th through 19th Centuries,,Credits4,ArH - Art History
ArH 387,American Art and Architecture 17th through 19th Centuries,,Credits4,ArH - Art History
ArH 392,History and Contemporary Issues in Photography,,Credits4,ArH - Art History
ArH 398,Contemporary Art,,Credits4,ArH - Art History
ArH 399,Special Studies,,Credits0-12,ArH - Art History
ArH 401,Research,,Credits0-12,ArH - Art History
ArH 402,Independent Study,,Credits1-12,ArH - Art History
ArH 403,Thesis,,Credits1-12,ArH - Art History
ArH 404,Cooperative Education/Internship,,Credits0-12,ArH - Art History
ArH 405,Reading and Conference,,Credits0-12,ArH - Art History
ArH 406,Projects,,Credits1-12,ArH - Art History
ArH 407,Seminar,,Credits1-12,ArH - Art History
ArH 408,Workshop,,Credits1-12,ArH - Art History
ArH 409,Practicum,,Credits1-12,ArH - Art History
ArH 410,Selected Topics,,Credits0-12,ArH - Art History
ArH 415U,Issues in Asian Art,,Credits4,ArH - Art History
ArH 426U,African Art,,Credits4,ArH - Art History
ArH 431U,Women in the Visual Arts,,Credits4,ArH - Art History
ArH 432U,Issues in Gender and Art,,Credits4,ArH - Art History
ArH 449,Art History Methods,,Credits4,ArH - Art History
ArH 450,Great Periods and Themes in Art and Architecture,,Credits4,ArH - Art History
ArH 474,Art and the Early Modern City,,Credits4,ArH - Art History
ArH 499,Contemporary Art II,,Credits4,ArH - Art History
ArH 501,Research,,Credits1-9,ArH - Art History
ArH 502,Independent Study,,Credits1-9,ArH - Art History
ArH 503,Thesis,,Credits1-9,ArH - Art History
ArH 504,Cooperative Education/Internship,,Credits1-9,ArH - Art History
ArH 505,Reading and Conference,,Credits1-9,ArH - Art History
ArH 506,Projects,,Credits1-9,ArH - Art History
ArH 507,Seminar,,Credits0-12,ArH - Art History
ArH 508,Workshop,,Credits1-9,ArH - Art History
ArH ArH,Practicum,,Credits1-9,ArH - Art History
