"course_code","course_title","department","credits","level"
"AAST 597","Independent Study","AAST - African-American Studies","(1-3 Credit Hours)","Graduate"
"AAST 100S","Introduction to African American Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 105H","Interpreting the African Past","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 201","Introduction to Historical Methods","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 308","Research Design","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 310","Human Rights and Social Change in Africa","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 316","Politics of Africa","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 320","Introduction to Research Methods","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 323","Sociology of Minority Families","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 361","African-American History to 1865","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 368","Internship","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 381","Africa in the 20th Century","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 395","Topics in African American Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 396","Topics in African American Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 410","Africana Intellectual Thought and Economic Development","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 412","Politics of the Civil Rights Movement","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 420W","African American Political and Social Thought","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 426","Minority Group Relations","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 451","Race, Ethnicity, Crime and Justice","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 452","Diversity in Criminal Justice Organizations","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 460","Psychology of African Americans","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 488","Introduction to Critical Race and Media Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 490","Senior Seminar","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 495","Topics in African American Studies","AAST - African-American Studies","(3 Credit Hours)","Undergraduate"
"AAST 497/597","Independent Study","AAST - African-American Studies","(1-3 Credit Hours)","Undergraduate"
"ACCT 505","Accounting and Auditing in the Public/Nonprofit Sector","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 511","Financial Auditing","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 521","Taxation","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 522","Tax Research","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 540","Introduction to Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 550","International and Advanced Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 623","Accounting Analytics and Operational Reviews","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 624","Information Technology Assurance Services","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 625","Fraud Examination and Forensic Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 626","Financial and Global Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 627","Operational Cost Control","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 630","Business Valuations using Financial Statement Analysis","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 640","Professional Ethics and Legal Issues In Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 645","Accounting for Decision Making","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 650","Tax Strategies for Business Decisions","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 651","Taxation of Corporations I","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 652","Taxation of Partners and Partnerships","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 653","Taxation of Estates and Gifts","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 654","Income Taxation of Estates, Trusts & Beneficiaries","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 655","Taxation of Corporations II","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 656","Taxation of Deferred Compensation","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 657","State and Local Taxation","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 658","Tax Aspects of International Business","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 660","Taxation of Property Transactions","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 661","Taxation of the Small Business Corporation","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 662","Tax Procedure and Practice","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 667","Cooperative Education","ACCT - Accounting","(1-3 Credit Hours)","Graduate"
"ACCT 668","Accounting Internship","ACCT - Accounting","(1-3 Credit Hours)","Graduate"
"ACCT 695","Selected Topics in Accounting","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 697","Independent Study in Taxation","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 727","Strategic Cost Management","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 730","Financial Management Decision Making","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 747","Seminar in Controllership","ACCT - Accounting","(3 Credit Hours)","Graduate"
"ACCT 998","Master's Graduate Credit","ACCT - Accounting","(1 Credit Hour)","Graduate"
"ACCT 999","Doctoral Graduate Credit","ACCT - Accounting","(1 Credit Hour)","Graduate"
"ACCT 201","Principles of Financial Accounting","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 202","Principles of Managerial Accounting","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 226","Honors: Principles of Financial Accounting","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 227","Honors: Principles of Managerial Accounting","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 300","Accounting for Entrepreneurs","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 301","Intermediate Accounting I","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 302","Intermediate Accounting II","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 305","Essentials of Financial Accounting I","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 306","Essentials of Financial Accounting II","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 307","Essentials of Financial Accounting III","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 311","Managerial Accounting","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 367","Cooperative Education","ACCT - Accounting","(1-6 Credit Hours)","Undergraduate"
"ACCT 368","Student Internship","ACCT - Accounting","(1-3 Credit Hours)","Undergraduate"
"ACCT 369","Practicum","ACCT - Accounting","(1-3 Credit Hours)","Undergraduate"
"ACCT 405/505","Accounting and Auditing in the Public/Nonprofit Sector","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 411/511","Financial Auditing","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 421/521","Taxation","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 422/522","Tax Research","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 425","Taxation of Individuals","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 426","Taxation of Business Entities","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 440/540","Introduction to Accounting","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 450/550","International and Advanced Accounting","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 460","Accounting Information Systems","ACCT - Accounting","(3 Credit Hours)","Undergraduate"
"ACCT 495","Selected Topics in Accounting","ACCT - Accounting","(1-3 Credit Hours)","Undergraduate"
"AI 510","Artificial Intelligence (AI) Methods and Models","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 521","Generative AI in Cybersecurity","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 546","Artificial Intelligence (AI) Ethics and Policy","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 566","Principles and Practices of Cyber Defense","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 581","Trustworthy Health Analytics","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 583","Artificial Intelligence Applications in Health","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 595","Topics in Artificial Intelligence (AI)","AI - Artificial Intelligence","(1-3 Credit Hours)","Graduate"
"AI 610","Strategic Artificial Intelligence (AI) Leadership","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 611","AI Product Management & Operations","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 620","Foundations of Artificial Intelligence (AI) in Education and Learning Technologies","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 621","Applications of Artificial Intelligence (AI) in Education and Learning Technologies","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 669","Artificial Intelligence (AI) Practicum","AI - Artificial Intelligence","(3 Credit Hours)","Graduate"
"AI 301","Artificial Intelligence (AI) Literacy: Concepts and Implications","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 302","Artificial Intelligence (AI) Literacy: Applications and Responsible Use","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 315","Artificial Intelligence in Content Creation","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 319","Artificial Intelligence (AI) in Digital Marketing Management","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 410/510","Artificial Intelligence (AI) Methods and Models","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 421/521","Generative AI in Cybersecurity","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 446/546","Artificial Intelligence (AI) Ethics and Policy","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 466/566","Principles and Practices of Cyber Defense","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 481/581","Trustworthy Health Analytics","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 483/583","Artificial Intelligence Applications in Health","AI - Artificial Intelligence","(3 Credit Hours)","Undergraduate"
"AI 495/595","Topics in Artificial Intelligence (AI)","AI - Artificial Intelligence","(1-3 Credit Hours)","Undergraduate"
"AL 595","Topics in Humanities","AL - Arts and Letters","(1-3 Credit Hours)","Graduate"
"AL 596","Topics in Social Studies","AL - Arts and Letters","(3 Credit Hours)","Graduate"
"AL 597","Tutorial Work in Arts and Letters Topics","AL - Arts and Letters","(3 Credit Hours)","Graduate"
"AL 695","Topics","AL - Arts and Letters","(1-3 Credit Hours)","Graduate"
"AL 795","Topics","AL - Arts and Letters","(1-3 Credit Hours)","Graduate"
"AL 797","Tutorial Work in Arts and Letters Topics","AL - Arts and Letters","(1-3 Credit Hours)","Graduate"
"AL 895","Topics","AL - Arts and Letters","(1-3 Credit Hours)","Graduate"
"AL 897","Tutorial Work in Arts and Letters Topics","AL - Arts and Letters","(1-3 Credit Hours)","Graduate"
"AL 100","Introduction to Arts and Letters: Scholarship in the Disciplines","AL - Arts and Letters","(1 Credit Hour)","Undergraduate"
"AL 195","Topics","AL - Arts and Letters","(3 Credit Hours)","Undergraduate"
"AL 196","Topics","AL - Arts and Letters","(3 Credit Hours)","Undergraduate"
"AL 295","Topics","AL - Arts and Letters","(3 Credit Hours)","Undergraduate"
"AL 296","Topics","AL - Arts and Letters","(3 Credit Hours)","Undergraduate"
"AL 367","Internship in Peer Advising","AL - Arts and Letters","(1-3 Credit Hours)","Undergraduate"
"AL 395","Topics in Humanities","AL - Arts and Letters","(3 Credit Hours)","Undergraduate"
"AL 396","Topics in Social Studies","AL - Arts and Letters","(3 Credit Hours)","Undergraduate"
"AL 495/595","Topics in Humanities","AL - Arts and Letters","(1-3 Credit Hours)","Undergraduate"
"AL 496/596","Topics in Social Studies","AL - Arts and Letters","(3 Credit Hours)","Undergraduate"
"AL 497/597","Tutorial Work in Arts and Letters Topics","AL - Arts and Letters","(3 Credit Hours)","Undergraduate"
"AMST 300","Perspectives in American Studies","AMST - American Studies","(3 Credit Hours)","Undergraduate"
"AMST 495","Topics","AMST - American Studies","(1-3 Credit Hours)","Undergraduate"
"ANTR 697","Tutorial Work in Special Topics in Anthropology","ANTR - Anthropology","(3 Credit Hours)","Graduate"
"ANTR 698","Tutorial Work in Special Topics in Anthropology","ANTR - Anthropology","(3 Credit Hours)","Graduate"
"ANTR 110S","Introduction to Anthropology","ANTR - Anthropology","(3 Credit Hours)","Undergraduate"
"ANTR 303","Biological Anthropology","ANTR - Anthropology","(3 Credit Hours)","Undergraduate"
"ANTR 304","Digging Up the Past","ANTR - Anthropology","(3 Credit Hours)","Undergraduate"
"ANTR 305","North American Archaeology","ANTR - Anthropology","(3 Credit Hours)","Undergraduate"
"ANTR 395","Topics in Anthropology","ANTR - Anthropology","(1-3 Credit Hours)","Undergraduate"
"ANTR 495","Topics in Anthropology","ANTR - Anthropology","(1-3 Credit Hours)","Undergraduate"
"ANTR 497","Tutorial Work in Special Topics in Anthropology","ANTR - Anthropology","(3 Credit Hours)","Undergraduate"
"ARAB 111F","Beginning Arabic","ARAB - Arabic","(6 Credit Hours)","Undergraduate"
"ARAB 195","Topics","ARAB - Arabic","(1-6 Credit Hours)","Undergraduate"
"ARAB 212","Intermediate Arabic","ARAB - Arabic","(6 Credit Hours)","Undergraduate"
"ARAB 295","Topics","ARAB - Arabic","(1-6 Credit Hours)","Undergraduate"
"ARAB 311","Advanced Arabic Language and Culture I","ARAB - Arabic","(3 Credit Hours)","Undergraduate"
"ARAB 312","Advanced Arabic Language and Culture II","ARAB - Arabic","(3 Credit Hours)","Undergraduate"
"ARAB 395","Topics in Arabic","ARAB - Arabic","(1-6 Credit Hours)","Undergraduate"
"ARAB 495","Topics in Arabic","ARAB - Arabic","(1-6 Credit Hours)","Undergraduate"
"ARTE 301","Foundations of Art Education","ARTE - Art Education","(3 Credit Hours)","Undergraduate"
"ARTE 305","Elementary Art Education Methods and Classroom Management","ARTE - Art Education","(3 Credit Hours)","Undergraduate"
"ARTE 306","Secondary Art Education Methods and Classroom Management","ARTE - Art Education","(3 Credit Hours)","Undergraduate"
"ARTE 411","Curriculum and Instruction in Art Education","ARTE - Art Education","(3 Credit Hours)","Undergraduate"
"ARTE 480","Capstone in Art Education","ARTE - Art Education","(3 Credit Hours)","Undergraduate"
"ARTE 485","Museum and Cultural Institutions Internship","ARTE - Art Education","(6 Credit Hours)","Undergraduate"
"ARTH 508","Hieronymus Bosch","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 510","Michelangelo","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 511","Caravaggio","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 516","Myths of Venice","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 517","Renaissance and Baroque Women","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 520","Pompeii","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 534","Romantic Architecture","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 535","Modern Architecture","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 541","Realism in Modern and Contemporary Art","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 542","Painting Now","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 550","Public Art","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 595","Topics in Art History","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 596","Topics in Art History","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 597","Tutorial Work in Art History","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 598","Tutorial Work in Art History","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 668","Internship","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 695","Topics in Art History","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 697","Tutorial in Art History","ARTH - Art History","(3 Credit Hours)","Graduate"
"ARTH 121A","Introduction to the Visual Arts","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 127A","Honors: Introduction to the Visual Arts","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 150","Global Survey of Art History","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 195","Topics","ARTH - Art History","(1-3 Credit Hours)","Undergraduate"
"ARTH 203","Ancient Art","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 204","Pseudoarchaeologies and Conspirational Thinking in Art","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 210","Early Modern Art in Europe","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 230","Survey of Modern and Contemporary Art","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 295","Topics","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 305","Egyptian Art","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 310","Women in the Visual Arts","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 314","15th and 16th Century Art in Northern Europe","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 315","Early Renaissance Art in Italy","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 316","High Renaissance Art in Italy","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 317","Mannerism and Late Renaissance Art in Italy","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 318","Baroque Art in Italy and Spain","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 319","Baroque Art in Northern Europe","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 320W","History of Graphic Design","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 321","History of Decorative Arts","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 322","American Art and Architecture, 1600 to the Present","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 323","Nineteenth-Century European Art","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 327","History of Photography","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 328","Art of Gardens","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 339","Surrealism and other Utopias","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 340","Abstract Expressionism and its Discontents","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 350W","Art Criticism","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 351W","Research Methods in Art History","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 360","Asian Art","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 365","Problems in Postmodernism","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 368","Internship","ARTH - Art History","(1-3 Credit Hours)","Undergraduate"
"ARTH 369","Practicum","ARTH - Art History","(1-3 Credit Hours)","Undergraduate"
"ARTH 377","Extracurricular Studies","ARTH - Art History","(1-6 Credit Hours)","Undergraduate"
"ARTH 378","Extracurricular Studies","ARTH - Art History","(1-6 Credit Hours)","Undergraduate"
"ARTH 395","Topics in Art History","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 396","Topics in Art History","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 408/508","Hieronymus Bosch","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 410/510","Michelangelo","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 411/511","Caravaggio","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 416/516","Myths of Venice","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 417/517","Renaissance and Baroque Women","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 420/520","Pompeii","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 434/534","Romantic Architecture","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 435W/535","Modern Architecture","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 441/541","Realism in Modern and Contemporary Art","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 442/542","Painting Now","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 450/550","Public Art","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 480","Senior Thesis","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 481","Capstone","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 495/595","Topics in Art History","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 496/596","Topics in Art History","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 497/597","Tutorial Work in Art History","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTH 498/598","Tutorial Work in Art History","ARTH - Art History","(3 Credit Hours)","Undergraduate"
"ARTS 512","Photo Seminar 1","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 513","Photo Seminar 2","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 531","Drawing Studio","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 532","Figure Drawing Anatomy","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 533","Figure Drawing/ Composition","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 542","Painting and Drawing Studio","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 550","Printmaking Studio","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 555","Letterpress Printmaking","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 561","Sculpture Studio","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 563","Advanced Ceramics","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 569","Assemblage","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 572","Art Therapy","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 573","The Book","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 581","Crafts III: Fibers","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 591","Advanced Jewelry and Metalsmithing","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 593","Jewelry and Metalsmithing Studio","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 595","Topics in Studio Art","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 597","Tutorial Work in Special Studio Topics","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 668","Internship","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 695","Graduate Seminar:  Special Topics in Contemporary Art","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 697","Independent Study","ARTS - Art, Studio","(3-6 Credit Hours)","Graduate"
"ARTS 698","Graduate Studio","ARTS - Art, Studio","(3-6 Credit Hours)","Graduate"
"ARTS 700","Directed Field Experience","ARTS - Art, Studio","(3-6 Credit Hours)","Graduate"
"ARTS 701","Thesis Exhibition","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 702","Documentation","ARTS - Art, Studio","(3 Credit Hours)","Graduate"
"ARTS 797","Graduate Studio","ARTS - Art, Studio","(3-6 Credit Hours)","Graduate"
"ARTS 798","Graduate Studio","ARTS - Art, Studio","(3-6 Credit Hours)","Graduate"
"ARTS 999","Doctoral Graduate Credit","ARTS - Art, Studio","(1 Credit Hour)","Graduate"
"ARTS 122A","Visual Communication","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 126A","Honors: Art as Experience","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 202","Two-Dimensional Design and Color Theory","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 203","Three-Dimensional Design","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 204","Foundational Concepts in Studio Art","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 211","Introduction to Digital Photography","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 221","Introduction  to Glass: Survey","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 231","Drawing I: Fundamentals of Drawing","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 241","Painting I","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 254","Printmaking: The Relief Print","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 257","Print I: Intaglio and Relief","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 258","Print I: Screenprint and Lithography","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 259","Print I: Letterpress and Book Arts","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 261","Introduction to Sculpture","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 263","Introduction to Ceramics","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 279","Digital Basics","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 291","Introduction to Jewelry and Metalsmithing","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 300","Introduction to Computer Graphics","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 311","Photography 2","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 312","Lighting for Photography","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 313","Darkroom Photography","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 321","Intermediate Glass: Hot and Flame","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 331","Drawing II","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 341","Painting II","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 343","Techniques in Abstraction","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 350","Advanced Printmaking","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 351","Print II: The Hybrid Print","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 352","Print II: Medium Intensive","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 361","Advanced Sculpture","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 362","Ceramics Studio","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 363","Intermediate Ceramics","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 368","Internship","ARTS - Art, Studio","(1-3 Credit Hours)","Undergraduate"
"ARTS 369","Practicum","ARTS - Art, Studio","(1-3 Credit Hours)","Undergraduate"
"ARTS 377","Extracurricular Studies","ARTS - Art, Studio","(1-6 Credit Hours)","Undergraduate"
"ARTS 378","Extracurricular Studies","ARTS - Art, Studio","(1-6 Credit Hours)","Undergraduate"
"ARTS 381","Weaving and Fibers: Intermediate","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 391","Intermediate Jewelry","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
"ARTS 392","Blacksmithing","ARTS - Art, Studio","(3 Credit Hours)","Undergraduate"
