"subject","course_code","course_name","description","credits"
"","ACCT 6200","Advanced Auditing and Assurance Services","An examination of the nature of assurance services with an emphasis on evaluating the quality of information. Contemporary auditing techniques are explored with a focus on the entity’s control systems.  Course covers advanced issues which arise in audit practice including audit reporting issues, fraud detection and reporting, attestation engagements, special reporting issues, compilation and review engagements, scope of services issues, and other new issues which have a significant impact in audit practice.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to use auditing concepts and variables to make audit planning, testing, and evaluation decisions.Students will be able to apply auditing and assurance concepts to real-world case studies.Students will be able to apply statistical sampling concepts to auditing tests of controls, transactions, and balances.Students will be able to demonstrate basic proficiency with an auditing software package that is widely used in practice.Students will be able to demonstrate their ability to collaborate in teams to solve problems.Students will be able to examine issues currently facing the profession (e.g., regulation, new standards, fair value, legal liability, independence, competition, new services).Students will be able to examine characteristics of good professional judgment as well as common threats to good judgment.Students will be able to assess the ethical implications of dilemmas faced by accounting professionals.","3"
"","ACCT 6250","Forensic Accounting and Fraud Examination","This course is designed to help students apply their accounting, auditing, information systems and communication skills and build the forensic and examination skills needed to detect financial fraud, perform litigation support services and prepare a case for criminal proceedings or civil litigation. These skills are highly valued in the rapidly growing field of forensic accounting.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to identify the role of forensic accountants and the professional and legal environment in which they operate.Students will be able to apply techniques used in calculation of economic damages as it relates to litigation support services.Students will be able to demonstrate knowledge of approaches and tools used for fraud detection and investigation, including a basic literacy of computer forensics and data analysis.Students will be able to explain the details of important recent financial statement frauds, their causes, how they were perpetrated and how they could have been prevented.Students will be able to identify common occupational fraud schemes surrounding asset misappropriation and identify appropriate investigative analyses to uncover them.Student will be able to identify the issues surrounding corruption and money laundering, as well as demonstrate knowledge of applicable laws, techniques for detection, and penalties related to these topics.Students will be able to develop interviewing, report writing and expert testimony skills.Students will be able to build critical thinking skills through the analysis of assigned cases.Students will be able to demonstrate an integrated knowledge of accounting, auditing, information systems, tax, communication and forensic accounting skills through a case analysis, preparation of an expert report and oral presentation of findings.","3"
"","ACCT 6300","Financial Accounting Theory and Research","An examination of the foundations and applications of accounting theory as it relates to financial accounting and reporting. The course draws upon existing research which provides evidence about the applicability of accounting theory to the financial reporting process for business enterprises which prepares financial statements in accordance with generally accepted accounting principles.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to demonstrate an understanding of issues in financial accounting related to Generally Accepted Accounting Principles (GAAP).Students will be able to demonstrate an understanding of the international issues in financial accounting when comparing U.S. GAAP to standards in other countries.Students will be able to analyze and interpret professional accounting literature to prepare financial statements according to GAAP.","3"
"","ACCT 6400","Income Tax Research, Planning and Special Topics","Students learn how to research complex tax issues and engage in complex tax planning. The focus of the course is the application of these skills to current tax issues facing accounting practitioners.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to identify contemporary tax research and the tax planning environment.Students will be able to conduct high-quality tax research to answer complex tax and financial questions.Students will be able to apply microeconomics-based tax planning concepts and modeling to determine a taxpayer’s optimal tax and financial decisions.","3"
"","ACCT 6500","Professional Ethics and Communication for Accountants","This course is designed to help students in their ethical obligations and decision making to meet their responsibilities under the professions’ code of conduct.  These skills should help students ensure that their work meets the highest standards of integrity, independence and objectivity while understanding the challenges of ethical decision making by providing an examination of various ethical theories; identifying and resolving ethical dilemmas; the potential civil and criminal liability of accountants under both statutes and common law; civil and criminal liability in accounting practice; ethical issues and cases in accounting practice; issues and cases involving the Code of Professional Conduct.  In addition, this course provides students theory and practice in oral and written communication involving practicing accountants.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to recognize and apply fraud-related concepts in accounting and financial reportingStudents will be able to recognize and apply ethical concepts in accounting and financial reportingStudents will be able to define and describe the ethical responsibilities of an Accounting Professional under the AICPA Code of Professional ConductStudents will be able to define and describe the obligation to protect the public interest through philosophical and cognitive processes that encourages professionals to examine their own ethical intentions and reflect on their decisions.","3"
"","ACCT 6700","Analytics for Accounting Decision-Making","This course is designed to help students develop and apply analytics concepts and critical thinking skills needed to use analytics for decision-making in the accounting profession. Data analytics and critical thinking skills are highly valued in the accounting profession. Upon completion of this course, students will understand the role of analytics in the accounting profession and demonstrate critical thinking when using analytics for accounting decision-making. Students will also be able to apply knowledge of data preparation, analytic techniques, visualization techniques, and basic skills in tools to extract data from accounting information systems and other sources and transform the data into useable information for accounting decision-making.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to summarize the data analytics process and identify ways in which accountants are using data and analytics.Students will be able to describe concepts and principles for data preparation, analytic techniques, and visualization that are relevant for accounting decision-making.Students will be able to critically evaluate data from accounting information systems and other sources used to solve accounting problems and identify risks that impact the quality of accounting decision-making.Students will be able to apply appropriate data preparation techniques, analytic techniques, technology tools and visualization principles to data to inform decision-making in accounting.Students will be able to effectively communicate results of data analytics in an accounting setting to relevant stakeholders.","3"
"","ACCT 6800","Contemporary Topics in Accounting","This course is an application of the theory underlying financial accounting and reporting and the interrelationships between the different accounting sub-disciplines.  Cases and problems are utilized to illustrate contemporary issues related to standard setting and financial statement measurement and reporting topics.  Significant and rapid changes in accounting rules affect the financial reporting and analysis that management uses to make business decisions. This course explores contemporary accounting topics that accounting professionals face in the workplace and how the accompanying requirements change the way companies and their business partners use, report, analyze, and interpret financial data. Actual subjects covered vary as conditions change.  This course serves as the Capstone Experience for our program.  Specifically, this course provides a review of the material covered throughout the program and an opportunity to assess a student’s overall learning in the program.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to demonstrate an understanding of contemporary issues in accounting.Students will be able to analyze and interpret professional accounting literature using professional research skills to solve complex accounting issues.Students will be able to analyze the financial accounting concept statements and determine their relevance to current accounting issues.","3"
"","ACCT 6900","Special Topics in Accounting","Selected topics of current interest in accounting area.   Requisites: Permission required   Repeat/Retake Information: May be repeated for a maximum of 6.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Selected topics of current interest in accounting area.","1 - 3"
"","ACCT 6930","Independent Study","Research in selected fields of accounting under direction of faculty member.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 6.0 hours.  Lecture/Lab Hours: 3.0 independent study  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes:  Research in selected fields of accounting under direction of faculty member.","1 - 3"
"","AGC 5100","Critical Reading and Analysis","This course assists graduate students in managing their academic reading load in their field of study. The course focuses on developing and improving efficient reading habits and techniques; improving reading rate and comprehension; increasing vocabulary size; recognizing and developing information structure; and sharpening critical thinking skills. Students practice identifying the rhetorical structures and styles of texts, learning to recognize lexical, grammatical, and organizational signals, in order to better predict the content and styles of various texts. The course incorporates readings from various genres and readings from the students’ own disciplines. Also included in the course are finding and evaluating sources for a topic efficiently; summarizing and paraphrasing source materials effectively; and using various individualized reading strategies to improve reading rate and comprehension.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 15.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to apply the concepts of summarizing and paraphrasing in both verbal and written forms.Students will be able to use discipline-specific vocabulary in their written or spoken work.Students will be able to evaluate texts critically.Students will be able to skim texts effectively to identify main ideas.Students will be able to scan texts efficiently to locate specific information.Students will be able to recognize and use conventional academic rhetorical styles.","3"
"","AGC 5120","Graduate Reading and Writing","This course assists international graduate students as they work toward becoming independent and skilled readers and writers in their disciplines. Course writing assignments focus on students’ specific disciplines and include summaries, response papers, and essays. Also addressed in the course are strategies for avoiding plagiarism and citing sources accurately, developing academic vocabulary to express ideas precisely and concisely, and using academic grammar effectively. Using texts from students’ fields of study, reading skills are also included. Whenever possible, students work on assignments they have for discipline-related courses, and individualized attention is provided to maximize learning.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 6.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to write a variety of academic genres.Students will be able to paraphrase, summarize, and use direct quotations effectively, according to a citation style guide.Students will be able to demonstrate their understanding of the placement and purpose of supporting information.Students will be able to write in an academically appropriate style and self-edit for grammatical accuracy.","3"
"","AGC 5140","Academic Writing in Graduate Studies","This course develops the skills graduate students need to become successful writers in their academic and post-academic careers. Course topics include writing a critique, annotated bibliography, literature review, and research paper. The course covers strategies for organizing and developing thoughts, writing concisely in an academic style, proofreading, avoiding plagiarism, and citing sources effectively, according to a discipline-specific citation style. Whenever possible, students work on assignments they have for discipline-related courses, and individualized attention is provided to maximize learning.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 6.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to write appropriately for a discipline-specific audience in terms of style.Students will be able to effectively organize their academic writing, specifically critiques, literature reviews, and research papers.Students will be able to paraphrase, summarize, and use direct quotations effectively, according to a discipline-specific citation style.Students will be able to use effective editing and proofreading strategies.","3"
"","AGC 5160","Writing for Research and Publication","This course guides students through the process of writing up primary research following the guidelines/practices of their field. The intended audience is students writing up their research or research plan, such as writing a proposal, final research project, thesis, dissertation, or article for publication. Organizing and writing up the literature review, methods, results, and discussion sections are covered. Also addressed are avoiding plagiarism, following a discipline-specific citation style, and using a discipline-specific writing style. Individualized attention is provided to maximize learning.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 15.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to write research genres, such as a research prospectus, thesis/dissertation, or article, with the focus on the rhetorical structure, grammatical, and lexical patterns appropriate to the task, purpose, and discipline.Students will be able to use sources effectively to build an argument, including accurately following discipline-specific citation practices.Students will be able to use effective editing and proofreading strategies.","3"
"","AGC 5180","Professional Writing in Public Administration","This workshop provides writing assistance for students in the Online Executive Masters of Public Administration Program in the Voinovich School of Leadership and Public Affairs. Course topics include finding, evaluating, and organizing content; building and supporting an argument; writing in a professional style appropriate for public administration; and using sources effectively, following APA style. Writing assignments are tailored to meet the requirements of MPA coursework. The course consists of three modules, with one on-site visit per module and the remaining work to be completed via the online course management system. Student interaction occurs during on-site visits as well as via the online portion of the course.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 1.0 seminar  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to organize their writing appropriately with respect to purpose and according to the guidelines within Public Administration.Students will be able to write appropriately for their audience in terms of style, tone, and vocabulary.Students will be able to write book reviews, professional memos, and literature reviews related to concurrent academic coursework.Students will be able to use effective editing and proofreading strategies.","1"
"","AGC 5200","English Pronunciation","This course assists international graduate students in improving their pronunciation of American English for overall intelligibility and comprehension. Course topics include specific vowel and consonant sounds, intonation, rhythm, fluency, and word stress. The course also helps students improve their listening comprehension and practice using correct grammatical structures. Whenever possible, students work with material from their disciplines, and there is considerable individualized instruction. Awareness of American culture and conversation conventions is also discussed and practiced.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 6.0 hours.  Lecture/Lab Hours: 3.0 tutorial  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to use individual English vowel and consonant sounds effectively.Students will be able to speak fluently using English intonation, rhythm, and word stress patterns appropriately.Students will be able to use various listening comprehension strategies to understand different types of speakers.Students will be able to use their awareness of American culture to facilitate discussions.","3"
