"course_code","course_title","credits","description"
"MUS 126","MUS 126","1 CRS",""
"MUS 127","MUS 127","1 CRS",""
"MUS 128","MUS 128","3 CRS",""
"MUS 129","MUS 129","3 CRS",""
"MUS 130","MUS 130","1 CRS",""
"MUS 131","MUS 131","1 CRS",""
"MUS 132","MUS 132","3 CRS",""
"MUS 135","MUS 135","1 CRS",""
"MUS 136","MUS 136","1 CRS",""
"MUS 137","MUS 137","3 CRS",""
"MUS 138","MUS 138","3 CRS",""
"MUS 140","MUS 140","1 CRS",""
"MUS 150","MUS 150","1 CRS",""
"MUS 160","MUS 160","1 CRS",""
"MUS 161","MUS 161","1 CRS",""
"MUS 165","MUS 165","1 CRS",""
"MUS 166","MUS 166","1 CRS",""
"MUS 167","MUS 167","1 CRS",""
"MUS 168","MUS 168","1 CRS",""
"MUS 170","MUS 170","1 CRS",""
"MUS 180","MUS 180","1 CRS",""
"MUS 181","MUS 181","1 CRS",""
"MUS 190","MUS 190","1 CRS",""
"MUS 207","MUS 207","1 CRS",""
"MUS 212","MUS 212","2 CRS",""
"MUS 217","MUS 217","3 CRS",""
"MUS 218","MUS 218","2 CRS",""
"MUS 219","MUS 219","1 CRS",""
"MUS 220","MUS 220","2 CRS",""
"MUS 222","MUS 222","3 CRS",""
"MUS 223","MUS 223","3 CRS",""
"MUS 225","MUS 225","3 CRS",""
"MUS 230","MUS 230","2 CRS",""
"MUS 235","MUS 235","1 CRS",""
"MUS 237","MUS 237","3 CRS",""
"MUS 238","MUS 238","3 CRS",""
"MUS 240, MUS 250","MUS 240, MUS 250","1 CRS",""
"MUS 265","MUS 265","1 CRS",""
"MUS 266","MUS 266","1 CRS",""
"MUS 267","MUS 267","1 CRS",""
"MUS 268","MUS 268","1 CRS",""
"MUS 301","MUS 301","1 CRS",""
"MUS 302","MUS 302","1 CRS",""
"MUS 303","MUS 303","1 CRS",""
"MUS 304","MUS 304","1 CRS",""
"MUS 305","MUS 305","1 CRS",""
"MUS 306","MUS 306","1 CRS",""
"MUS 307","MUS 307","1 CRS",""
"MUS 308","MUS 308","1 CRS",""
"MUS 311","MUS 311","3 CRS",""
"MUS 312","MUS 312","2 CRS",""
"MUS 313, MUS 413","MUS 313, MUS 413","1 CRS",""
"MUS 317","MUS 317","3 CRS",""
"MUS 318","MUS 318","2 CRS",""
"MUS 319","MUS 319","1 CRS",""
"MUS 351","MUS 351","2 CRS",""
"MUS 352","MUS 352","2 CRS",""
"MUS 412","MUS 412","2 CRS",""
"MUS 418","MUS 418","2 CRS",""
"MUS 419","MUS 419","1 CRS",""
"MUS 501","MUS 501","1 CRS",""
"MUS 502","MUS 502","1 CRS",""
"MUS 503","MUS 503","1 CRS",""
"MUS 504","MUS 504","1 CRS",""
"MUS 510","MUS 510","1 CRS",""
"MUS 520","MUS 520","1 CRS",""
"MUS 530","MUS 530","1 CRS",""
"MUS 540","MUS 540","1 CRS",""
"MUS 601","MUS 601","1 CRS",""
"MUS 602","MUS 602","1 CRS",""
"MUS 603","MUS 603","1 CRS",""
"MUS 604","MUS 604","1 CRS",""
"MUS 611-648","MUS 611-648","1 CRS",""
"MUS 635","MUS 635","1 CRS",""
"MUS 651","MUS 651","2 CRS",""
"MUS 652","MUS 652","2 CRS",""
"MUS 653","MUS 653","2 CRS",""
"MUS 654","MUS 654","2 CRS",""
"MUS 656","MUS 656","2 CRS",""
"MUS 657","MUS 657","2 CRS",""
"MUS 658","MUS 658","2 CRS",""
"MUS 659","MUS 659","2 CRS",""
"MUS 661","MUS 661","2 CRS",""
"MUS 662","MUS 662","2 CRS",""
"MUS 663","MUS 663","2 CRS",""
"MUS 664","MUS 664","2 CRS",""
"MUS 666","MUS 666","2 CRS",""
"MUS 667","MUS 667","2 CRS",""
"MUS 668","MUS 668","2 CRS",""
"MUS 669","MUS 669","2 CRS",""
"MUS 671","MUS 671","2 CRS",""
"MUS 672","MUS 672","2 CRS",""
"MUS 673","MUS 673","2 CRS",""
"MUS 674","MUS 674","2 CRS",""
"MUS 676","MUS 676","2 CRS",""
"MUS 677","MUS 677","2 CRS",""
"MUS 678","MUS 678","2 CRS",""
"MUS 679","MUS 679","2 CRS",""
"MUS 681","MUS 681","3 CRS",""
"MUS 682","MUS 682","3 CRS",""
"MUS 683","MUS 683","3 CRS",""
"MUS 684","MUS 684","3 CRS",""
"MUS 686","MUS 686","2 CRS",""
"MUS 687","MUS 687","2 CRS",""
"MUS 688","MUS 688","2 CRS",""
"MUS 689","MUS 689","2 CRS",""
"MUS 701","MUS 701","1 CRS",""
"MUS 702","MUS 702","1 CRS",""
"MUS 703","MUS 703","1 CRS",""
"MUS 704","MUS 704","1 CRS",""
"MUS 705","MUS 705","1 CRS",""
"MUS 706","MUS 706","1 CRS",""
"MUS 707","MUS 707","1 CRS",""
"MUS 708","MUS 708","1 CRS",""
"MUS 801","MUS 801","1 CRS",""
"MUS 802","MUS 802","1 CRS",""
"MUS 803","MUS 803","1 CRS",""
"MUS 804","MUS 804","1 CRS",""
"MUS 881","MUS 881","3 CRS",""
"NUR 112","NUR 112","8 CRS",""
"NUR 211","NUR 211","8 CRS",""
"NUR 313","NUR 313","8 CRS",""
"NUR 411","NUR 411","8 CRS",""
"NUR 415","NUR 415","2 CRS",""
"LPN 101","LPN 101","4 CRS",""
"LPN 102","LPN 102","4 CRS",""
"LPN 103","LPN 103","2 CRS",""
"LPN 104","LPN 104","3 CRS",""
"LPN 201","LPN 201","4 CRS",""
"LPN 202","LPN 202","2 CRS",""
"LPN 203","LPN 203","4 CRS",""
"LPN 204","LPN 204","2 CRS",""
"LPN 301","LPN 301","3 CRS",""
"LPN 302","LPN 302","2 CRS",""
"AST 106","AST 106","3 CRS",""
"AST 108","AST 108","3 CRS",""
"AST 109","AST 109","3 CRS",""
"AST 110","AST 110","4 CRS",""
"AST 111","AST 111","4 CRS",""
"BIO 108","BIO 108","3 CRS",""
"BIO 109","BIO 109","3 CRS",""
"BIO 110","BIO 110","4 CRS",""
"BIO 111","BIO 111","4 CRS",""
"BIO 210","BIO 210","4 CRS",""
"BIO 220","BIO 220","4 CRS",""
"BIO 230","BIO 230","4 CRS",""
"BIO 240","BIO 240","4 CRS",""
"BIO 260","BIO 260","4 CRS",""
"BIO 270","BIO 270","4 CRS",""
"BIO 420","BIO 420","4 CRS",""
"BIO 425","BIO 425","4 CRS",""
"BIO 426","BIO 426","4 CRS",""
"BTE 201","BTE 201","5 CRS",""
"CHE 108","CHE 108","3 CRS",""
"CHE 109","CHE 109","3 CRS",""
"CHE 110","CHE 110","4 CRS",""
"CHE 118","CHE 118","4 CRS",""
"CHE 120","CHE 120","4 CRS",""
"CHE 121","CHE 121","4 CRS",""
"CHE 122","CHE 122","4 CRS",""
"CHE 125","CHE 125","4 CRS",""
"CHE 201","CHE 201","4 CRS",""
"CHE 202","CHE 202","4 CRS",""
"CHE 205","CHE 205","4 CRS",""
"CHE 230","CHE 230","5 CRS",""
"CHE 240","CHE 240","5 CRS",""
"ESC 111","ESC 111","1 CRS",""
"ESC 113","ESC 113","2 CRS",""
"ESC 130","ESC 130","2 CRS",""
"ESC 131","ESC 131","2 CRS",""
"ESC 200","ESC 200","4 CRS",""
"ESC 201","ESC 201","3 CRS",""
"ESC 202","ESC 202","3 CRS",""
"ESC 211","ESC 211","3 CRS",""
"ESC 221","ESC 221","4 CRS",""
"ESC 223","ESC 223","3 CRS",""
"ENV 250","ENV 250","4 CRS",""
"GLY 210","GLY 210","4 CRS",""
"PHY 108","PHY 108","3 CRS",""
"PHY 109","PHY 109","3 CRS",""
"PHY 110","PHY 110","4 CRS",""
"PHY 210","PHY 210","4 CRS",""
"PHY 215","PHY 215","4 CRS",""
"PHY 220","PHY 220","4 CRS",""
"PHY 225","PHY 225","4 CRS",""
"PHY 240","PHY 240","3 CRS",""
"PHY 400","PHY 400","4 CRS",""
"SCI 111","SCI 111","3 CRS",""
"SCI 120","SCI 120","4 CRS",""
"SCI 121","SCI 121","4 CRS",""
"SCI 140","SCI 140","4 CRS",""
"SCI 150","SCI 150","3 CRS",""
"SCI 151","SCI 151","3 CRS",""
"SCI 410","SCI 410","3 CRS",""
"SCI 430","SCI 430","4 CRS",""
"SCI 510","SCI 510","3 CRS",""
"SCI 530","SCI 530","3 CRS",""
"ANT 100","ANT 100","3 CRS",""
"ANT 111","ANT 111","3 CRS",""
"ANT 115","ANT 115","3 CRS",""
"ANT 125","ANT 125","3 CRS",""
"ANT 127","ANT 127","3 CRS",""
"ANT 128","ANT 128","3 CRS",""
"ANT 200","ANT 200","3 CRS",""
"ANT 210","ANT 210","3 CRS",""
"ANT 310","ANT 310","3 CRS",""
"ECO 100","ECO 100","3 CRS",""
"ECO 111","ECO 111","3 CRS",""
"ECO 112","ECO 112","3 CRS",""
"ECO 113","ECO 113","3 CRS",""
"ECO 151","ECO 151","3 CRS",""
"ECO 201","ECO 201","3 CRS",""
"ECO 202","ECO 202","3 CRS",""
"ECO 215","ECO 215","3 CRS",""
"ECO 221","ECO 221","3 CRS",""
"ECO 223","ECO 223","3 CRS",""
"ECO 225","ECO 225","3 CRS",""
"ECO 226","ECO 226","3 CRS",""
"ECO 229","ECO 229","3 CRS",""
"ECO 230","ECO 230","3 CRS",""
"ECO 235","ECO 235","3 CRS",""
"ECO 236","ECO 236","3 CRS",""
"ECO 240","ECO 240","3 CRS",""
"ECO 245","ECO 245","3 CRS",""
"ECO 250","ECO 250","3 CRS",""
"GWS 100","GWS 100","3 CRS",""
"GWS 300","GWS 300","3 CRS",""
"GEO 100","GEO 100","3 CRS",""
"GEO 226","GEO 226","3 CRS",""
"GEO 241","GEO 241","3 CRS",""
"HIS 101","HIS 101","3 CRS",""
"HIS 102","HIS 102","3 CRS",""
"HIS 111","HIS 111","3 CRS",""
"HIS 114","HIS 114","3 CRS",""
"HIS 115","HIS 115","3 CRS",""
"HIS 116","HIS 116","3 CRS",""
"HIS 120","HIS 120","3 CRS",""
"HIS 121","HIS 121","3 CRS",""
"HIS 122","HIS 122","3 CRS",""
"HIS 123","HIS 123","3 CRS",""
"HIS 124","HIS 124","3 CRS",""
"HIS 125","HIS 125","3 CRS",""
"HIS 126","HIS 126","3 CRS",""
"HIS 127","HIS 127","3 CRS",""
"HIS 128","HIS 128","3 CRS",""
"HIS 129","HIS 129","3 CRS",""
"HIS 130","HIS 130","3 CRS",""
"HIS 131","HIS 131","3 CRS",""
"HIS 225","HIS 225","3 CRS",""
"HIS 226","HIS 226","3 CRS",""
"HIS 275","HIS 275","3 CRS",""
"HUM 101","HUM 101","3 CRS",""
"HUM 201","HUM 201","3 CRS",""
"HUM 211","HUM 211","3 CRS",""
"HUM 212","HUM 212","3 CRS",""
"HUM 213","HUM 213","3 CRS",""
"HUM 301","HUM 301","3 CRS",""
"HUM 401","HUM 401","3 CRS",""
"HUM 411","HUM 411","3 CRS",""
"PHI 100","PHI 100","3 CRS",""
"PHI 105","PHI 105","3 CRS",""
"PHI 110","PHI 110","3 CRS",""
"PHI 111","PHI 111","3 CRS",""
"PHI 115","PHI 115","3 CRS",""
"PHI 120","PHI 120","3 CRS",""
"PHI 125","PHI 125","3 CRS",""
"PHI 126","PHI 126","3 CRS",""
"PHI 140","PHI 140","3 CRS",""
"PHI 200","PHI 200","3 CRS",""
"PHI 210","PHI 210","3 CRS",""
"PHI 215","PHI 215","3 CRS",""
"PHI 220","PHI 220","3 CRS",""
"POL 100","POL 100","3 CRS",""
"POL 110","POL 110","3 CRS",""
"POL 111","POL 111","3 CRS",""
"POL 120","POL 120","3 CRS",""
"POL 151","POL 151","3 CRS",""
"POL 152","POL 152","3 CRS",""
"POL 153","POL 153","3 CRS",""
"POL 210","POL 210","3 CRS",""
"POL 220","POL 220","3 CRS",""
"POL 230","POL 230","3 CRS",""
"POL 240","POL 240","3 CRS",""
"POL 260","POL 260","3 CRS",""
"POL 270","POL 270","3 CRS",""
"POL 476","POL 476","3 CRS",""
"PSY 100","PSY 100","3 CRS",""
"PSY 200","PSY 200","3 CRS",""
"PSY 210","PSY 210","3 CRS",""
"PSY 220","PSY 220","3 CRS",""
"PSY 225","PSY 225","3 CRS",""
"PSY 230","PSY 230","3 CRS",""
"PSY 240","PSY 240","3 CRS",""
"PSY 245","PSY 245","3 CRS",""
"PSY 250","PSY 250","3 CRS",""
"PSY 255","PSY 255","3 CRS",""
"PSY 260","PSY 260","3 CRS",""
"PSY 265","PSY 265","4 CRS",""
"PSY 271","PSY 271","3 CRS",""
"PSY 280","PSY 280","3 CRS",""
"PSY 290","PSY 290","3 CRS",""
"PSY 295","PSY 295","3 CRS",""
"SSC 150","SSC 150","3 CRS",""
"SSC 253","SSC 253","3 CRS",""
"SSC 475","SSC 475","3 CRS",""
"SOC 100","SOC 100","3 CRS",""
"SOC 110","SOC 110","3 CRS",""
"SOC 111","SOC 111","3 CRS",""
"SOC 125","SOC 125","3 CRS",""
"SOC 129","SOC 129","3 CRS",""
"SOC 150","SOC 150","3 CRS",""
"SOC 152","SOC 152","3 CRS",""
"SOC 154","SOC 154","3 CRS",""
"SOC 161","SOC 161","3 CRS",""
"SOC 200","SOC 200","3 CRS",""
"SOC 210","SOC 210","3 CRS",""
"SOC 220","SOC 220","3 CRS",""
"SOC 230","SOC 230","3 CRS",""
"SOC 234","SOC 234","3 CRS",""
"SOC 240","SOC 240","3 CRS",""
"SOC 250","SOC 250","3 CRS",""
"SOC 256","SOC 256","3 CRS",""
"SOC 260","SOC 260","3 CRS",""
"SOC 350","SOC 350","4 CRS",""
"URB 100","URB 100","3 CRS",""
"URB 300","URB 300","3 CRS",""
"COM 100","COM 100","3 CRS",""
"COM 150","COM 150","3 CRS",""
"COM 240","COM 240","3 CRS",""
"COM 245","COM 245","3 CRS",""
"COM 250","COM 250","3 CRS",""
"COM 255","COM 255","3 CRS",""
"COM 260","COM 260","3 CRS",""
"COM 265","COM 265","3 CRS",""
"COM 270","COM 270","3 CRS",""
"COM 361","COM 361","3 CRS",""
"SPE 100","SPE 100","3 CRS",""
"SPE 102","SPE 102","3 CRS",""
"SPE 103","SPE 103","3 CRS",""
"SPE 152","SPE 152","3 CRS",""
"SPE 210","SPE 210","3 CRS",""
"SPE 220","SPE 220","3 CRS",""
"SPE 245","SPE 245","",""
"THE 100","THE 100","3 CRS",""
"THE 110","THE 110","3 CRS",""
"THE 115","THE 115","1 CRS",""
"THE 121","THE 121","3 CRS",""
"THE 125","THE 125","1 CRS",""
"THE 126","THE 126","1 CRS",""
"THE 127","THE 127","1 CRS",""
"THE 128","THE 128","1 CRS",""
"THE 140","THE 140","3 CRS",""
"THE 141","THE 141","3 CRS",""
"THE 210","THE 210","3 CRS",""
"THE 220","THE 220","3 CRS",""
"THE 222","THE 222","3 CRS",""
"THE 258","THE 258","3 CRS",""
"THE 280","THE 280","3 CRS",""
"THE 300","THE 300","3 CRS",""
"THE 305","THE 305","3 CRS",""
"THE 310","THE 310","3 CRS",""
"THE 315","THE 315","3 CRS",""
"THE 324","THE 324","3 CRS",""
"THE 328","THE 328","3 CRS",""
"EDB 202","EDB 202","3 CRS",""
"ECE 110","ECE 110","3 CRS",""
"ECE 209","ECE 209","4 CRS",""
"ECE 210","ECE 210","3 CRS",""
"ECE 211","ECE 211","4 CRS",""
"ECE 308","ECE 308","4 CRS",""
"ECE 309","ECE 309","3 CRS",""
"ECE 311","ECE 311","4 CRS",""
"ECE 312","ECE 312","3 CRS",""
"ECE 409","ECE 409","5 CRS",""
"ECE 410","ECE 410","3 CRS",""
"ECE 411","ECE 411","5 CRS",""
"EDU 201","EDU 201","3 CRS",""
"EDU 202","EDU 202","3 CRS",""
"EDU 203","EDU 203","3 CRS",""
"EDU 204","EDU 204","2 CRS",""
"EDU 205","EDU 205","3 CRS",""
"EDU 206","EDU 206","3 CRS",""
"EDU 207","EDU 207","3 CRS",""
"EDU 208","EDU 208","3 CRS",""
"EDS 201","EDS 201","3 CRS",""
"EDS 202","EDS 202","3 CRS",""
