"course_code","course_title","credits","description"
"HTT 350","HTT 350","3 CRS",""
"CIS 100","CIS 100","3 CRS",""
"CIS 115","CIS 115","3 CRS",""
"CIS 120","CIS 120","2 CRS",""
"CIS 140","CIS 140","2 CRS",""
"CIS 155","CIS 155","4 CRS",""
"CIS 160","CIS 160","2 CRS",""
"CIS 165","CIS 165","3 CRS",""
"CIS 180","CIS 180","3 CRS",""
"CIS 200","CIS 200","3 CRS",""
"CIS 207","CIS 207","4 CRS",""
"CIS 220","CIS 220","3 CRS",""
"CIS 235","CIS 235","4 CRS",""
"CIS 255","CIS 255","3 CRS",""
"CIS 272","CIS 272","3 CRS",""
"CIS 280","CIS 280","3 CRS",""
"CIS 285","CIS 285","3 CRS",""
"CIS 316","CIS 316","3 CRS",""
"CIS 317","CIS 317","4 CRS",""
"CIS 325","CIS 325","3 CRS",""
"CIS 335","CIS 335","3 CRS",""
"CIS 345","CIS 345","3 CRS",""
"CIS 359","CIS 359","3 CRS",""
"CIS 362","CIS 362","3 CRS",""
"CIS 364","CIS 364","3 CRS",""
"CIS 365","CIS 365","4 CRS",""
"CIS 370","CIS 370","3 CRS",""
"CIS 385","CIS 385","3 CRS",""
"CIS 390","CIS 390","3 CRS",""
"CIS 395","CIS 395","3 CRS",""
"CIS 420","CIS 420","3 CRS",""
"CIS 440","CIS 440","3 CRS",""
"CIS 445","CIS 445","3 CRS",""
"CIS 455","CIS 455","3 CRS",""
"CIS 459","CIS 459","3 CRS",""
"CIS 465","CIS 465","3 CRS",""
"CIS 475","CIS 475","4 CRS",""
"CIS 480","CIS 480","3 CRS",""
"CIS 485","CIS 485","3 CRS",""
"CIS 490","CIS 490","3 CRS",""
"CIS 495","CIS 495","3 CRS",""
"CSC 101","CSC 101","3 CRS",""
"CSC 102","CSC 102","3 CRS",""
"CSC 103","CSC 103","3 CRS",""
"CSC 110","CSC 110","4 CRS",""
"CSC 111","CSC 111","4 CRS",""
"CSC 203","CSC 203","3 CRS",""
"CSC 210","CSC 210","3 CRS",""
"CSC 211","CSC 211","3 CRS",""
"CSC 215","CSC 215","3 CRS",""
"CSC 230","CSC 230","3 CRS",""
"CSC 231","CSC 231","4 CRS",""
"CSC 310","CSC 310","3 CRS",""
"CSC 330","CSC 330","3 CRS",""
"CSC 331","CSC 331","3 CRS",""
"CSC 350","CSC 350","3 CRS",""
"CSC 410","CSC 410","3 CRS",""
"CSC 430","CSC 430","3 CRS",""
"CSC 450","CSC 450","3 CRS",""
"CSC 470","CSC 470","4 CRS",""
"GIS 101","GIS 101","3 CRS",""
"GIS 201","GIS 201","4 CRS",""
"GIS 261","GIS 261","3 CRS",""
"GIS 325","GIS 325","2 CRS",""
"GIS 361","GIS 361","3 CRS",""
"CRJ 101","CRJ 101","3 CRS",""
"CRJ 102","CRJ 102","3 CRS",""
"CRJ 200","CRJ 200","3 CRS",""
"CRJ 201","CRJ 201","3 CRS",""
"CRJ 202","CRJ 202","3 CRS",""
"CRJ 203","CRJ 203","3 CRS",""
"CRJ 204","CRJ 204","3 CRS",""
"CRJ 300","CRJ 300","3 CRS",""
"CRJ 301","CRJ 301","3 CRS",""
"CYS 100","CYS 100","3 CRS",""
"ENG 100.5","ENG 100.5","3 CRS",""
"ENG 100.7","ENG 100.7","3 CRS",""
"ENG 101","ENG 101","3 CRS",""
"ENG 116","ENG 116","3 CRS",""
"ENG 121","ENG 121","6 CRS",""
"ENG 201","ENG 201","3 CRS",""
"ENG 250","ENG 250","3 CRS",""
"ENG 300","ENG 300","3 CRS",""
"ENG 303","ENG 303","3 CRS",""
"ENG 304","ENG 304","3 CRS",""
"ENG 311","ENG 311","3 CRS",""
"ENG 314","ENG 314","3 CRS",""
"ENG 315","ENG 315","3 CRS",""
"ENG 316","ENG 316","3 CRS",""
"ENG 317","ENG 317","3 CRS",""
"ENG 318","ENG 318","3 CRS",""
"ENG 320","ENG 320","3 CRS",""
"ENG 321","ENG 321","3 CRS",""
"ENG 322","ENG 322","3 CRS",""
"ENG 329","ENG 329","3 CRS",""
"ENG 330","ENG 330","3 CRS",""
