"subject","course_code","course_name","description","credits"
"Accounting","ACCT 3050","Financial Accounting and Reporting II","Measurement and reporting standards for tangible and intangible operating assets, investments, liabilities, contingencies, stockholders’ equity, and special problems of revenue recognition. Required for accounting major.   Requisites: C or better in ACCT 3040   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Continue development of the skills to identify, measure, and communicate financial implications of economic transactions.Develop analytical skills and build technical competencies.Develop computer competencies needed for completion of financial reports and supporting schedules.Develop critical thinking skills.Develop ethical sensitivity and enhance the appreciation of the importance of integrity in corporate governance.Develop life-long research skills and an appreciation for continuous learning.Develop teamwork and interpersonal skills.Develop written and oral communication skills.","3"
"Accounting","ACCT 3100","Managerial Accounting","Emphasis on manufacturing and service organizations. Topics include activity-based costing/activity-based management, analysis of cost variances, and complex capital budgeting issues. Required for accounting major.   Requisites: ACCT 1020   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Allocate costs using the direct and the step-down methods.Ascertain whether a given costing system will likely over-cost or under-cost a particular product.Calculate applied overhead in a multi-pool system.Generate standard costing variances for Raw Materials, Direct Labor, and Variable Overhead.Perform a net present value analysis, including the impact of inflation and taxes, for a complex investment decision.Recognize some situations in which ABC Costing is superior to a traditional single overhead pool costing system.","3"
"Accounting","ACCT 3200","Forensic Accounting","This course provides an introduction to the rapidly growing field of forensic accounting and addresses the causes and consequences of white collar crime and explores implications within the financial reporting system. The course emphasizes the role of internal controls in forensic accounting and fraud prevention and provides an understanding of the role of forensic accountants in examining financial records.  This course also provides the basic skills and tools required in fraud examination and recognition of the basic types of fraud schemes.   Requisites: ACCT 1010   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will be able to summarize the role of forensic accountants and differentiate forensic accounting from auditing.Students will be able to describe the role of internal controls and accounting information systems in the financial reporting environment and how it relates to forensic accounting and fraud prevention.Students will be able to demonstrate knowledge of basic approaches and tools used for fraud detection and investigation.Students will be able to explain the details of important recent financial statement frauds, their causes, their consequences, how they were perpetrated and how they could have been prevented.Students will be able to recognize common occupational fraud schemes surrounding asset misappropriation.Students will be able to describe the issues surrounding corruption and money laundering.Students will be able to build critical thinking skills through the analysis of assigned cases.","3"
"Accounting","ACCT 3400","Introduction to Federal Income Tax Planning","Overview of the impact of federal income taxes on conducting business transactions.  Required for accounting major.   Requisites: ACCT 1020 is REQUIRED and ACCT 3040 is HIGHLY recommended   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Accumulate a core knowledge of how the law taxes business income, owners, and business.Develop an economic framework for thinking critically about how taxes affect business decisions.Recognize and address tax/business planning issues and opportunities.Understand the relationships between cash flows, financial accounting numbers, and tax numbers.Use the internet and other resources to research tax issues, and write clearly and concisely about them.","3"
"Accounting","ACCT 3450","Accounting Systems and Internal Control","Computer technology as it relates to design, implementation, and operation of accounting information systems. A major portion of the course is devoted to internal control procedures.   Requisites: ACCT 3040   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Evaluating and designing internal controls for accounting systems.Information flows in accounting systems.System documentation methods.","3"
"Accounting","ACCT 3660","Oil and Gas Accounting","This is a course designed to present the fundamentals of accounting for oil and gas exploration and production to accounting majors and other interested students.   Requisites: ACCT 1010   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will be able to describe and summarize the oil and gas industry.Students will be able to explain oil and gas exploration activities, including the geology of petroleum.Students will be able to describe and summarize basic oil and gas law.Students will be able to record oil and gas activities in journal entries.Students will be able to identify and explain successful accounting efforts in the oil and gas exploration industry.Students will be able to apply full cost accounting in the oil and gas exploration industry.Students will be able to explain income tax rules and tax planning in the oil and gas exploration industry.","3"
"Accounting","ACCT 3770","Entrepreneurial Accounting","This course takes accounting concepts and materials from introductory accounting and develops them in ways specifically intended to develop key financial capabilities in aspiring entrepreneurs. The focus is on the fundamental aspects of planning and control necessary for the accounting component of a business plan. These include cash management, comprehensive budgets, and forecasted financial statements. Topics in taxation are introduced such that the student can both better handle typical day to day operations and also better identify those urgent issues requiring outside experts.   Requisites: ACCT 1010 and 1020   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Conduct Basic Financial Analysis of CompetitorsIdentify Tax Issues Relevant to Entrepreneurial SuccessPrepare Break-Even AnalysisPrepare Forecasted Financial StatementsPrepare Master Budget","3"
"Accounting","ACCT 3910","Internship","Internship experience that provides opportunities to learn by participating in day-to-day accounting activities of a business concern for at least three consecutive weeks (120 hours needed to earn 1 credit hour). Intended for experiences following the sophomore year. No more than three credit hours can be earned for any one internship contract.   Requisites: Permission required and 2.5 GPA   OHIO BRICKS: Bridge: Learning and Doing  Repeat/Retake Information: May be repeated for a maximum of 3.0 hours.  Lecture/Lab Hours: 40.0 internship  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes: Accounting Internship","1 - 3"
"Accounting","ACCT 4200","Assurance Services and Internal Controls","A financial auditing course focused on risk assessment and evidence accumulation as a basis for the independent auditor’s opinion on the fair presentation of the financial statements.  Examines internal controls of various business cycles needed to ensure reliable financial reporting.   Requisites: ACCT 3040   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Ability to research contemporary auditing issues to learn about practice issues and problems confronting the profession as well as obtaining answers to questions of interest.Appreciation of the importance of ethics to the value of auditor services and maintenance of public confidence.Critical thinking skills involving risk assessment and materiality judgments with regard to evidence accumulation as a basis for an opinion on financial statements.Development of oral and written communication skills through research papers and presentations.Enhancement of teamwork skills and student learning from peers through group assignments.Familiarization with the Internal Control Framework of the Committee of Sponsoring Organizations (COSO).Practitioner exposure through interaction with invited speakers from public accounting, private industry, and/or state and local government.Understanding of internal controls relating to ensuring reliable financial reporting in various business cycles.","3"
"Accounting","ACCT 4400","Single-entity Accounting and Tax Planning","Compensation planning and multi-jurisdictional tax planning issues and additional advanced tax planning topics in corporate and partnership formation, distributions, liquidations, and restructuring.   Requisites: ACCT 3400 and (Jr or Sr)   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Tax planning knowledge & skills objective:  You will calculate the effect of federal income taxation on the cash flows from complex transactions, and (consequently) appreciate how taxation can affect operating, investing, and financing decisions.Tax research skills objective:  Although you are not tax research experts (yet), you will gain additional experience finding, reading, understanding, evaluating, and communicating primary and secondary authority for tax positions.Tax rules knowledge objective:  You will develop a deeper understanding of the complications that arise when owners and entities transact with each other,you will identify relevant tax issues when such transactions occur, and analyze tax implications.","3"
