course_code,course_name,subject
AAAS 100,Pathways into AAAS,AAAS - African American and African Studies
AAAS 200,"Black Feminisms: Past, Present, and Futures",AAAS - African American and African Studies
AAAS 201,"Black Sexualities Studies: Past, Present, and Futures",AAAS - African American and African Studies
AAAS 202,"Black Genders Studies: Past, Present, and Futures",AAAS - African American and African Studies
AAAS 300,Communities in Action,AAAS - African American and African Studies
AAAS 301,"Creative Expression, Culture, and Performance",AAAS - African American and African Studies
AAAS 302,"Black Institutions, Sustainability, and Statecraft",AAAS - African American and African Studies
AAAS 303,Black Girlhood Studies,AAAS - African American and African Studies
AAAS 304,Afrofuturism,AAAS - African American and African Studies
AAAS 305,Black People and Land,AAAS - African American and African Studies
AAAS 306,Black Language and Literacy,AAAS - African American and African Studies
AAAS 307,Creative Expression as Craft,AAAS - African American and African Studies
AAAS 308,Black Spirituality and Religion,AAAS - African American and African Studies
AAAS 309,Centering Wellness,AAAS - African American and African Studies
AAAS 390,Special Topics in Black Studies,AAAS - African American and African Studies
AAAS 401,Social Media and New Journalism,AAAS - African American and African Studies
AAAS 402,Producing Culture,AAAS - African American and African Studies
AAAS 403,Institutions and Oppression,AAAS - African American and African Studies
AAAS 404,Black Ecologies and Environmental Justice,AAAS - African American and African Studies
AAAS 405,Black Entrepreneurship and Hustle,AAAS - African American and African Studies
AAAS 406,Pedagogies of Protest,AAAS - African American and African Studies
AAAS 490,Independent Study in African American and African Studies,AAAS - African American and African Studies
AAAS 495,Writing For Our Lives (W),AAAS - African American and African Studies
AAAS 821,"Collaboration, Research and Methodologies",AAAS - African American and African Studies
AAAS 830,Introduction to African American Studies,AAAS - African American and African Studies
AAAS 841,Seminar in Black Feminist Studies,AAAS - African American and African Studies
AAAS 861,Seminar in Black Sexualities Studies,AAAS - African American and African Studies
AAAS 871,Seminar in Black Genders Studies,AAAS - African American and African Studies
AAAS 890,Independent Study in African American and African Studies,AAAS - African American and African Studies
AAAS 891,Special Topics in African American and African Studies,AAAS - African American and African Studies
AAAS 892,Master’s Thesis Planning,AAAS - African American and African Studies
AAAS 893A,Pedagogical Project,AAAS - African American and African Studies
AAAS 894,Master’s Project Planning,AAAS - African American and African Studies
AAAS 898,Master’s Capstone Project,AAAS - African American and African Studies
AAAS 899,Master's Thesis Research,AAAS - African American and African Studies
AAAS 999,Doctoral Dissertation Research,AAAS - African American and African Studies
AAE 220,English Grammar and Composition for Non-Native Speakers of English,AAE - Advanced Academic English
AAE 221,English Composition for Non-Native Speakers of English,AAE - Advanced Academic English
AAE 222,Listening and Speaking for Academic Purposes for Non-Native Speakers of English,AAE - Advanced Academic English
AAE 223,Reading for Academic Purposes for Non-Native Speakers of English,AAE - Advanced Academic English
AAE 291,Special Topics in Academic English,AAE - Advanced Academic English
AAE 451,Effective Oral Communication for International Teaching Assistants,AAE - Advanced Academic English
AAE 452,Language of the American Classroom for International Teaching Assistants,AAE - Advanced Academic English
AAE 453,Support for In-service International Teaching Assistants,AAE - Advanced Academic English
AAE 491,Advanced Special Topics in Academic English,AAE - Advanced Academic English
ACC 201,Principles of Financial Accounting,ACC - Accounting
ACC 202,Principles of Management Accounting,ACC - Accounting
ACC 230,Survey of Accounting Concepts,ACC - Accounting
ACC 250,Preparing for an Accounting Career,ACC - Accounting
ACC 293,Cooperative Education for Business Students,ACC - Accounting
ACC 300,Intermediate Financial Accounting I,ACC - Accounting
ACC 301,Intermediate Financial Accounting II,ACC - Accounting
ACC 305,Intermediate Accounting for Finance Majors,ACC - Accounting
ACC 308,Governmental and Not-for-Profit Accounting,ACC - Accounting
ACC 321,Accounting Information Systems,ACC - Accounting
ACC 331,Federal Income Tax Accounting,ACC - Accounting
ACC 341,Accounting for Management Decision Making,ACC - Accounting
ACC 393,Introduction to International Business,ACC - Accounting
ACC 411,Auditing,ACC - Accounting
ACC 490,Independent Study,ACC - Accounting
ACC 491,Special Topics in Accounting and Information Systems,ACC - Accounting
ACC 493,Internship,ACC - Accounting
ACC 807,Using Financial Statement Data for Decision-Making - An Analytics Approach,ACC - Accounting
ACC 808,Analyzing Financial Reporting Decisions,ACC - Accounting
ACC 814,Advanced Auditing,ACC - Accounting
ACC 821,Enterprise Database Systems,ACC - Accounting
ACC 822,Information Systems Project Management,ACC - Accounting
ACC 823,Advanced Enterprise Database Systems,ACC - Accounting
ACC 824,Information Systems Security and Assurance,ACC - Accounting
ACC 825,Object-Oriented Business Information Systems,ACC - Accounting
ACC 826,Enterprise Information Systems,ACC - Accounting
ACC 827,Accounting Analytics,ACC - Accounting
ACC 830,Tax Research,ACC - Accounting
ACC 833,Federal Income Taxation of Corporations and Shareholders,ACC - Accounting
ACC 836,U. S. Taxation of Multinational Transactions,ACC - Accounting
ACC 841,Corporate Sustainability Strategy Development and Implementation,ACC - Accounting
ACC 843,Value Chain Accounting and Analytics,ACC - Accounting
ACC 845,"Environmental, Social and Governance (ESG) Measurement and Disclosure",ACC - Accounting
ACC 850,Accounting and Tax Implications of Mergers and Acquisitions,ACC - Accounting
ACC 855,Transaction Services,ACC - Accounting
ACC 870,Principles of Financial and Managerial Accounting,ACC - Accounting
ACC 871,Accounting Database Systems,ACC - Accounting
ACC 872,Financial Reporting and Data Analysis,ACC - Accounting
ACC 873,Principles of Federal Income Tax Accounting,ACC - Accounting
ACC 874,Performance Measurement and Control Systems,ACC - Accounting
ACC 875,Auditing - Assurance and Data Analysis,ACC - Accounting
ACC 890,Independent Study,ACC - Accounting
ACC 891,Special Topics in Accounting and Information Systems,ACC - Accounting
ACC 914,Research Topics in Accounting,ACC - Accounting
ACC 950,Doctoral Seminar in Accounting Research,ACC - Accounting
ACC 999,Doctoral Dissertation Research,ACC - Accounting
ACM 271,Introduction to Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 461,"Financial Management and Planning of Arts, Cultural and Museum Management",ACM - Arts and Cultural Management
ACM 462,"Marketing and Public Relations in Arts, Cultural, and Museum Management",ACM - Arts and Cultural Management
ACM 463,Event Production and Planning for Arts and Culture,ACM - Arts and Cultural Management
ACM 464,Education and Outreach for Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 465,"Leadership and Innovation for Arts, Cultural and Museum Management",ACM - Arts and Cultural Management
ACM 466,Facilities and Operations for Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 467,"Development and Fundraising for Arts, Cultural Management, and Museums",ACM - Arts and Cultural Management
ACM 469,Advocating for Arts and Cultural Organizations,ACM - Arts and Cultural Management
ACM 471,Arts and Cultural Management Seminar,ACM - Arts and Cultural Management
ACM 480,Arts and Cultural Experience,ACM - Arts and Cultural Management
ACM 490,Independent Study,ACM - Arts and Cultural Management
ACM 491,Special Topics in Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 496,Arts and Cultural Management Internship,ACM - Arts and Cultural Management
ACM 801,"Introduction to Arts, Cultural Management, and Museum Studies",ACM - Arts and Cultural Management
ACM 861,"Strategic Planning, Human Capital and Financial Management for Arts, Cultural and Museum Management",ACM - Arts and Cultural Management
ACM 862,"Public Communications in Arts, Cultural and Museum Management",ACM - Arts and Cultural Management
ACM 863,Event Management and Design for Arts and Culture,ACM - Arts and Cultural Management
ACM 864,School and Community Education in Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 865,"Leadership Development for Arts, Cultural and Museum Management",ACM - Arts and Cultural Management
ACM 866,Operations and Facilities Management in Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 867,"Development and Fundraising Theory and Practice for Arts, Cultural and Museum Management",ACM - Arts and Cultural Management
ACM 868,"Non-Profit Law for Arts, Cultural, and Museum Management",ACM - Arts and Cultural Management
ACM 869,"Policy and Advocacy for Arts, Cultural and Museum Management",ACM - Arts and Cultural Management
ACM 872,Practicum in Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 880,Arts and Cultural Management Experience,ACM - Arts and Cultural Management
ACM 890,Independent Study,ACM - Arts and Cultural Management
ACM 891,Special Topics in Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 892,"Arts, Cultural Management and Museum Studies Seminar",ACM - Arts and Cultural Management
ACM 896,Internship in Arts and Cultural Management,ACM - Arts and Cultural Management
ACM 899,Master's Thesis Research,ACM - Arts and Cultural Management
ADV 200,The World of Advertising,ADV - Advertising
ADV 205,Foundations of Advertising,ADV - Advertising
ADV 210,Concept Development,ADV - Advertising
ADV 222,Introduction to Copywriting,ADV - Advertising
ADV 224,Introduction to Creative Media,ADV - Advertising
ADV 225,Basic Skills for Advertising Careers,ADV - Advertising
ADV 245,Multimedia Commercial Production,ADV - Advertising
ADV 322,360-degree Copywriting,ADV - Advertising
ADV 326,Advanced Creative: Media I,ADV - Advertising
ADV 330,Advertising Management Strategy,ADV - Advertising
ADV 334,International Advertising,ADV - Advertising
ADV 342,Account Planning and Research,ADV - Advertising
ADV 350,Advertising Media Planning and Strategy,ADV - Advertising
ADV 352,Media Sales,ADV - Advertising
ADV 354,Interactive Advertising Design,ADV - Advertising
ADV 360,Advanced Sales Communication,ADV - Advertising
ADV 375,Consumer Behavior,ADV - Advertising
ADV 386,Campaign Competition,ADV - Advertising
ADV 401,Neuromarketing and Consumer Decisions,ADV - Advertising
ADV 402,Public Relations Topics in Advertising,ADV - Advertising
ADV 413,Issues in Contemporary Advertising,ADV - Advertising
ADV 422,Advanced Copywriting: Creating Experiences,ADV - Advertising
ADV 428,Advanced Creative: Media II,ADV - Advertising
ADV 430,Social Marketing: Strategy and Practice,ADV - Advertising
ADV 431,Social Media Listening,ADV - Advertising
ADV 432,Advertising Innovations,ADV - Advertising
ADV 433,Social Media Video Strategy,ADV - Advertising
ADV 442,Digital Analytics,ADV - Advertising
ADV 445,Programmatic Advertising,ADV - Advertising
ADV 450,Portfolio Presentation,ADV - Advertising
ADV 456,Interactive Advertising,ADV - Advertising
ADV 475,Advertising and Society,ADV - Advertising
ADV 480,Advanced Digital Analytics,ADV - Advertising
ADV 481,Retail Strategy Analysis,ADV - Advertising
ADV 482,Project Management for Advertising and Public Relations,ADV - Advertising
ADV 486,Integrated Campaigns (W),ADV - Advertising
ADV 490,Independent Study,ADV - Advertising
ADV 492,Special Topics in Advertising,ADV - Advertising
ADV 493,Advertising Internship,ADV - Advertising
ADV 494,Practicum in Research/Creative Works and Instruction,ADV - Advertising
ADV 800,Advertising and Public Relations Theory,ADV - Advertising
ADV 801,Theories of Digital Media 1,ADV - Advertising
ADV 802,Theories of Digital Media 2,ADV - Advertising
ADV 803,Introduction to Quantitative Research Methods,ADV - Advertising
ADV 815,Ethical Practice in Advertising and Public Relations,ADV - Advertising
ADV 816,Fundraising and Philanthropy in Nonprofit Organizations,ADV - Advertising
ADV 823,Consumer Behavior Theories,ADV - Advertising
ADV 825,Advertising and Public Relations Strategies,ADV - Advertising
ADV 827,Digital Advertising and Public Relations Practices,ADV - Advertising
ADV 830,Seminar in Social Marketing,ADV - Advertising
ADV 835,Multimedia Content Creation for Advertising and Public Relations,ADV - Advertising
ADV 837,Digital Creativity and Entrepreneurship,ADV - Advertising
ADV 840,Advertising and Public Relations for Social Impact,ADV - Advertising
ADV 843,Strategic Brand Communication,ADV - Advertising
ADV 845,"Advertising and Public Relations for Health, Science, and the Environment",ADV - Advertising
ADV 890,Independent Study,ADV - Advertising
ADV 891,Special Topics in Digital Advertising,ADV - Advertising
ADV 892,Special Topics,ADV - Advertising
ADV 893,Practicum,ADV - Advertising
ADV 899,Master's Thesis Research,ADV - Advertising
ADV 916,Qualitative Research Methods,ADV - Advertising
ADV 921,Theories of Media and Information,ADV - Advertising
ADV 960,Media and Technology,ADV - Advertising
ADV 975,Introductory Methods,ADV - Advertising
ADV 985,Advanced Quantitative Analysis for Media,ADV - Advertising
ADV 990,Independent Study,ADV - Advertising
ADV 991,Ways of Knowing,ADV - Advertising
ADV 992,Doctoral Seminar,ADV - Advertising
ADV 993,Research Practicum in Information and Media,ADV - Advertising
AE 101,Electrical Wiring Maintenance for Residential and Agricultural Facilities,AE - Agricultural Engineering
AE 102,Electrical Lighting for Residential and Agricultural Facilities,AE - Agricultural Engineering
AE 131,Agricultural Water Resource Management,AE - Agricultural Engineering
AE 143,Application of Precision Agriculture Technologies,AE - Agricultural Engineering
AE 151,Fabrication Technology,AE - Agricultural Engineering
AE 153,Engine and Equipment Technology,AE - Agricultural Engineering
AE 172,Electrical Wiring I,AE - Agricultural Engineering
AE 173,Electrical Occupations,AE - Agricultural Engineering
AE 182,Electrical Wiring II,AE - Agricultural Engineering
AE 185,Electrical Applications,AE - Agricultural Engineering
AE 192,Electrical Wiring III,AE - Agricultural Engineering
AE 194,Electrical Systems Planning,AE - Agricultural Engineering
AE 290,Independent Study,AE - Agricultural Engineering
AESC 110,AES as a Profession,AESC - Applied Engineering Sciences
AESC 210,"Global Systems: Economics, Engineering, Environment",AESC - Applied Engineering Sciences
AESC 290,Independent Study in Applied Engineering Sciences,AESC - Applied Engineering Sciences
AESC 291,Selected Topics in Applied Engineering Sciences,AESC - Applied Engineering Sciences
AESC 310,Sustainable Systems Analysis,AESC - Applied Engineering Sciences
AESC 410,Capstone Project in Applied Engineering Sciences,AESC - Applied Engineering Sciences
AESC 490,Independent Study in Applied Engineering Sciences,AESC - Applied Engineering Sciences
AESC 491,Selected Topics in Applied Engineering Sciences,AESC - Applied Engineering Sciences
AFR 101A,Elementary Swahili I,AFR - African Languages
AFR 101B,Elementary African Language I,AFR - African Languages
AFR 102A,Elementary Swahili II,AFR - African Languages
AFR 102B,Elementary African Language II,AFR - African Languages
AFR 151,Beginning Individualized African Language I,AFR - African Languages
AFR 152,Beginning Individualized African Language II,AFR - African Languages
AFR 201A,Second Year Swahili I,AFR - African Languages
AFR 201B,Second Year African Language I,AFR - African Languages
AFR 202A,Second-Year Swahili II,AFR - African Languages
AFR 202B,Second-Year African Language II,AFR - African Languages
AFR 251,Intermediate Individualized African Language I,AFR - African Languages
AFR 252,Intermediate Individualized African Language II,AFR - African Languages
AFR 290,Independent Study,AFR - African Languages
AFR 301A,Third Year Swahili I,AFR - African Languages
AFR 302A,Third Year Swahili II,AFR - African Languages
AFR 450A,Advanced Swahili,AFR - African Languages
AFR 450B,Advanced African Language,AFR - African Languages
AFR 490,Independent Study,AFR - African Languages
AFRE 100,Decision-making in the Agri-Food System,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 100,Economics and Management for the Bioeconomy (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 130,Farm Management I,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 130,Foundations of Agribusiness Management (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 203,Data Analysis for the Agri-Food System,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 203,Data Analysis for Managerial Decision-Making (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 206,"World Food, Population and Poverty","AFRE - Agricultural, Food, and Resource Economics"
AFRE 206,"World Food, Population and Poverty (Interim Change)","AFRE - Agricultural, Food, and Resource Economics"
AFRE 210,"Professional Seminar in Agricultural, Food, and Resource Economics","AFRE - Agricultural, Food, and Resource Economics"
AFRE 210,"Professional Seminar in Agricultural, Food, and Resource Economics (Interim Change)","AFRE - Agricultural, Food, and Resource Economics"
AFRE 222,Agribusiness and Food Industry Sales,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 222,Sales for the Bioeconomy (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 224,Information and Market Intelligence in the Agri-Food Industry,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 224,Information and Market Intelligence (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 232,Commodity Marketing I,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 232,Commodity Marketing (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 240,Food Product Marketing,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 240,Product Marketing for the Bioeconomy (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 265,Ecological Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 265,Ecological Economics (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 292,Career Leadership in Agriculture,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 300,Public Policy Issues in the Agri-Food System,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 300,Public Policy Analysis (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 303,Managerial Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 303,Managerial Economics (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 315,Labor and Personnel Management in the Agri-Food System,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 315,Labor and Personnel Management (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 322,Organization of the Agri-Food Systems,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 322,Organizational Economics for the Bioeconomy (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 327,Global Agri-Food Industries and Markets,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 327,International Agribusiness and Food Marketing (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 330,Farm Management II,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 330,Advanced Agribusiness Management (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 340,Food Marketing Research and Analytics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 340,Food Marketing Research and Analytics (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 360,Environmental Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 360,Environmental Economics (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 410,Advanced Professional Seminar in Agricultural Food and Resource Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 410,Advanced Professional Seminar in Agricultural Food and Resource Economics (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 435,Financial Management in the Agri-Food System,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 435,Financial Management for the Bioeconomy (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 440,Food Marketing Management,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 440,Food Marketing Management (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 445,Strategic Management for Food and Agribusiness Firms (W),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 445,Strategic Management for the Bioeconomy (W) (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 460,Natural Resource Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 460,Natural Resource Economics (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 465,Corporate Environmental Management (W),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 465,Corporate Environmental Management (W) (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 490,Independent Study in Agricultural Food and Resource Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 493,Professional Internship in Agricultural Food and Resource Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 801,Mathematical Applications in Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 802,"Statistical Methods for Agricultural, Food, and Resource Economists","AFRE - Agricultural, Food, and Resource Economics"
AFRE 805,Microeconomic Analysis,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 810,Institutional and Behavioral Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 811,Proofs Strategies and Analysis for Advanced Microeconomic Theory,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 817,Political Economy of Agricultural and Trade Policy,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 823,Environmental Economics Methods,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 829,Economics of Environmental Resources,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 829,Economics of Environmental Resources (Interim Change),"AFRE - Agricultural, Food, and Resource Economics"
AFRE 835,Introductory Econometrics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 841,Analysis of Food System Organization and Performance,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 851,Agribusiness Operations Management,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 861,Agriculture in Economic Development,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 865,Agricultural Benefit-Cost Analysis,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 874,Empirical Methods for Field Research in Developing Countries,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 890,Independent Study,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 891,"Topics in Agricultural, Food, and Resource Economics","AFRE - Agricultural, Food, and Resource Economics"
AFRE 898,Master's Research,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 899,Master's Thesis Research,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 900,Applied Microeconomics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 923,Advanced Environmental Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 925,Advanced Natural Resource Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 930,Dynamic Analysis in Agriculture and Natural Resources,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 932,Information Economics and Institutions in Agriculture and Natural Resources,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 961,Advanced Agricultural Development Economics,"AFRE - Agricultural, Food, and Resource Economics"
AFRE 991,"Advanced Topics in Agricultural, Food, and Resource Economics","AFRE - Agricultural, Food, and Resource Economics"
AFRE 999,Doctoral Dissertation Research,"AFRE - Agricultural, Food, and Resource Economics"
AIIS 201,Introduction to American Indian and Indigenous Studies,AIIS - American Indian and Indigenous Studies
AIIS 490,Independent Study,AIIS - American Indian and Indigenous Studies
AIIS 491,Topics in American Indian and Indigenous Studies,AIIS - American Indian and Indigenous Studies
AIIS 493,Internship in American Indian and Indigenous Studies,AIIS - American Indian and Indigenous Studies
AIIS 801,Indigenous Theories and Methodologies,AIIS - American Indian and Indigenous Studies
AIIS 890,Independent Study in American Indian and Indigenous Studies,AIIS - American Indian and Indigenous Studies
AIIS 891,Special Topics in American Indian and Indigenous Studies,AIIS - American Indian and Indigenous Studies
AL 101,Arts and Letters Freshman Experience,AL - Arts and Letters
AL 114,Creativity and Innovative Entrepreneurship,AL - Arts and Letters
AL 200,Cultural Difference and Study Abroad,AL - Arts and Letters
AL 240,Interdisciplinary Inquiry for the Humanities,AL - Arts and Letters
AL 250,Career Strategies for Arts and Letters Students,AL - Arts and Letters
AL 270,Citizen Scholars: Creating Meaningful Impact,AL - Arts and Letters
AL 400,Study Abroad in Arts and Letters,AL - Arts and Letters
AL 431,European Fairy Tale Tradition,AL - Arts and Letters
AL 460,Advanced Career Strategies,AL - Arts and Letters
AL 490,Independent Study,AL - Arts and Letters
AL 491,Special Topics,AL - Arts and Letters
AL 492A,Capstone Seminar in Interdisciplinary Humanities (W),AL - Arts and Letters
AL 492B,Capstone Seminar in Humanities and Law (W),AL - Arts and Letters
AL 493A,Arts and Letters Internship,AL - Arts and Letters
AL 493B,Arts and Letters International Internship,AL - Arts and Letters
AL 493C,Museum Internship,AL - Arts and Letters
AL 810,Historiography and Social Science Methods in Chicano/Latino Studies,AL - Arts and Letters
AL 811,Literary and Cultural Theory in Chicano/Latino Studies,AL - Arts and Letters
AL 821,Proseminar in Comparative Literature,AL - Arts and Letters
AL 823,Seminar in Comparative Literary Criticism,AL - Arts and Letters
AL 883,Practicum in Blended and Online Learning,AL - Arts and Letters
AL 890,Independent Study,AL - Arts and Letters
AL 891,Special Topics in Arts and Humanities,AL - Arts and Letters
AL 892,Seminar,AL - Arts and Letters
AL 893B,Internship in Professional Writing,AL - Arts and Letters
AL 893E,Readings in Chicano/Latino Studies,AL - Arts and Letters
AL 894,Fieldwork in Chicano/Latino Studies,AL - Arts and Letters
AL 896,Seminar in Chicano/Latino Studies,AL - Arts and Letters
AL 898,Master's Research,AL - Arts and Letters
AL 899,Master's Thesis Research,AL - Arts and Letters
AL 999,Doctoral Dissertation Research,AL - Arts and Letters
AMS 250,Arts of North America,AMS - American Studies
AMS 999,Doctoral Dissertation Research,AMS - American Studies
ANES 619,Introduction to Anesthesiology - An Anesthesia Primer,ANES - Anesthesia
ANES 620,Chronic Pain Management,ANES - Anesthesia
ANES 621,Concepts in Clinical Anesthesiology I,ANES - Anesthesia
ANES 622,Concepts in Clinical Anesthesiology II,ANES - Anesthesia
ANP 200,Navigating Another Culture,ANP - Anthropology
ANP 201,Introduction to Cultural Anthropology,ANP - Anthropology
ANP 203,Introduction to Archaeology,ANP - Anthropology
ANP 204,Introduction to Medical Anthropology,ANP - Anthropology
ANP 206,Introduction to Physical Anthropology,ANP - Anthropology
ANP 220,Gender Relations in Comparative Perspective,ANP - Anthropology
ANP 236,The Anthropology of Peace and Justice,ANP - Anthropology
ANP 264,Great Discoveries in Archaeology,ANP - Anthropology
ANP 270,Women and Health: Anthropological and International Perspectives,ANP - Anthropology
ANP 320,Social and Cultural Theory,ANP - Anthropology
ANP 321,Anthropology of Social Movements,ANP - Anthropology
ANP 325,Anthropology of the Environment and Development,ANP - Anthropology
ANP 330,"Race, Ethnicity, and Nation: Anthropological Approaches to Collective Identity",ANP - Anthropology
ANP 363,Rise of Civilization,ANP - Anthropology
ANP 364,Fake Archaeology: Pseudoscience and the Past,ANP - Anthropology
ANP 370,"Culture, Health, and Illness",ANP - Anthropology
ANP 410,Anthropology of Latin America,ANP - Anthropology
ANP 411,North American Indian Ethnography,ANP - Anthropology
ANP 412,Method and Practice in Digital Heritage,ANP - Anthropology
ANP 415,China: Culture and Society,ANP - Anthropology
ANP 417,Introduction to Islam in Africa,ANP - Anthropology
ANP 419,Anthropology of the Middle East,ANP - Anthropology
ANP 420,Language and Culture,ANP - Anthropology
ANP 422,Religion and Culture,ANP - Anthropology
ANP 425,Issues in Medical Anthropology,ANP - Anthropology
ANP 426,Urban Anthropology,ANP - Anthropology
ANP 429,Ethnographic Field Methods,ANP - Anthropology
ANP 432,American Indian Women,ANP - Anthropology
ANP 433,Contemporary American Indian Communities,ANP - Anthropology
ANP 436,Globalization and Justice: Issues in Political and Legal Anthropology,ANP - Anthropology
ANP 437,Asian Emigrant Communities: A Global Perspective,ANP - Anthropology
ANP 439,Human Rights: Anthropological Perspectives,ANP - Anthropology
ANP 440,Hominid Fossils,ANP - Anthropology
ANP 441,Osteology and Forensic Anthropology,ANP - Anthropology
ANP 443,Human Adaptability,ANP - Anthropology
ANP 452,North American Archaeology,ANP - Anthropology
ANP 455,Archaeology of Ancient Egypt,ANP - Anthropology
ANP 461,Method and Theory in Historical Archaeology,ANP - Anthropology
ANP 463,Laboratory Methods in Archaeology,ANP - Anthropology
ANP 464,Field Methods in Archaeology,ANP - Anthropology
ANP 465,Field Methods in Digital Heritage,ANP - Anthropology
ANP 476,Internship in Anthropology,ANP - Anthropology
ANP 485,Foundations of Museum Studies,ANP - Anthropology
ANP 486,Environmental Archaeology,ANP - Anthropology
ANP 487,"Museums, Arts and Culture in the Digital Future",ANP - Anthropology
ANP 488,Museum Curatorial Practices,ANP - Anthropology
ANP 489,Anthropology Capstone Course (W),ANP - Anthropology
ANP 490,Independent Study,ANP - Anthropology
ANP 491,Topics in Anthropology,ANP - Anthropology
ANP 492,Special Topics in Museum Studies,ANP - Anthropology
ANP 496,Undergraduate Research in Anthropology,ANP - Anthropology
ANP 810,Anthrohistory: Exploring the Crossroads of Anthropology and History,ANP - Anthropology
ANP 811,"Knowledge, Memory, and Archives",ANP - Anthropology
ANP 812,Violence and the State: Anthropological Approaches,ANP - Anthropology
ANP 815,Transnational Processes and Identities,ANP - Anthropology
ANP 820,Language and Cultural Meaning,ANP - Anthropology
ANP 822,Religion and Ritual,ANP - Anthropology
