courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
AERO 406,Applied Computational Fluid Dynamics,"Application of Computational Fluid Dynamics to study a range of problems relating to applications in aerospace and automotive engineering. Grid generation, sources of errors in CFD studies, boundary conditions, 2D and 3D external flows, and turbulence modeling.","(None, None)",Aerospace Engineering (Aero),,
AERO 407,Reentry Aerodynamics,Near planet environments. Transition from orbital to aero-dynamic motion. Aerodynamic heating and effects on design.,"(None, None)",Aerospace Engineering (Aero),,
AERO 408,Plasma Applications in Aerospace,"Plasma applications in aerospace technology and operations including hypersonics, space weather, shielding, stealth, communications, power, and aerodynamics. Computational modelling of plasma and plasma theory.","(None, None)",Aerospace Engineering (Aero),,
AERO 409,Flight Test,"Overview of flight tests, test equations, and supporting facilities. Principles of team-centered flight testing with applications to performance, stability and control, and avionics systems testing. Test planning, instrumentation, data analysis and reports.","(None, None)",Aerospace Engineering (Aero),,
AERO 420,Aircraft Dynamics and Control,"Newton's 6-degree-of-freedom equations of motion applied to aerospace vehicles. Stability and control derivatives, reference frames, steady-state and perturbed dynamic analyses applied to aerospace vehicles. Stability and control design principles applied to transfer functions, state-space, and modal system dynamics.","(None, None)",Aerospace Engineering (Aero),,
AERO 421,Spacecraft Attitude Dynamics and Control,"Introduction to spacecraft attitude dynamics and control. Momentum exchange devices and bang-bang thruster control. Attitude determination (GPS), maneuvers and station keeping. Fundamentals of guidance and navigation systems. Analysis and design of control systems for aerospace vehicles.","(None, None)",Aerospace Engineering (Aero),,
AERO 425,Aircraft Performance,"Fundamentals of propeller and jet aircraft performance. Steady and accelerated flight. Equations of motion. Level flight, gliding, climbing, driftdown. Takeoff and landing. Federal Aviation Regulations (FARs). Range and endurance. Payload-range diagram. Maneuvering. V-n diagram. Turning and pull-ups. Stall and spin behavior. Energy methods.","(None, None)",Aerospace Engineering (Aero),,
AERO 431,Aerospace Structural Analysis II,Basic equations of elasticity with applications to typical aerospace structures. Concepts studied include analysis of aircraft and aerospace structures; airworthiness and airframe loads; structural constraints; elementary aeroelasticity; structural instability; introduction to modern fatigue; fracture mechanics; and composite structures analysis.,"(None, None)",Aerospace Engineering (Aero),,
AERO 432,Advanced Composite Structures Analysis,Review of isotropic material behavior. Behavior of unidirectional fiber composites. Properties of short-fiber composites and orthotropic lamina. Analysis of laminated composites. Stresses and strains of composites. Strength and hygrothermal behavior of composite materials.,"(None, None)",Aerospace Engineering (Aero),,
AERO 433,Experimental Stress Analysis,Employing the knowledge of stress analysis and aerospace structural analysis in an individual and group design project dealing with aerospace structures.,"(None, None)",Aerospace Engineering (Aero),,
