"code","level","title","credits","college","description"
"RDLGY7320","Graduate Semester","3-D Reconstruction Techniques in Medical Imaging",3,"MD - S. F. E. School of Medicine","The course focuses on the problem of three-dimensional (3D) image reconstruction from line integrals, which constitute a mathematical model of measurements in computed tomography (CT), and particularly x-ray computed tomography. Analytical and iterative reconstruction methods are investigated for various geometries of data acquisition.  A critical goal is to provide the student with the essential tools required to understand papers on tomographic image reconstruction, from x-ray CT to emission CT, and also with a clear understanding of how efficient and accurate reconstruction algorithms are designed, using the Fourier slice theorem and backprojection techniques. MATLAB laboratories and a computer project are given in support of the theory."
"FILM3620","Undergraduate Semester","3D Character Animation",4,"FA - College of Fine Arts","This course is designed for students who seek an understanding of Maya character animation. Beginning with story development and character design, students will learn character modeling, shading, rigging, and animation by using the 3D animation software Maya. Focusing on students' individual projects, this course includes lectures about fundamental concepts of character animation, hands-on lab demonstrations, course discussions about animation theory, and studio critiques. All students are expected to create an animation short independently at the end of the semester."
"GAMES6605","Graduate Semester","3D Character Production",3,"AR - Col of Architecture + Planning","This course is a next step toward learning the character pipeline after GAMES 3600-3D Character Modeling. It is an interdisciplinary project driven course and curriculum is includes topics ranging from computer graphics, anatomy, scripting, design, sculpting, mechanics, and drawing. Students will also learn professional industry techniques and concepts for UV design, multiple texture map creation, character rigging, blend shapes, posing, and rendering."
"GAMES3605","Undergraduate Semester","3D Character Production",3,"AR - Col of Architecture + Planning","This course is a next step toward learning the character pipeline after GAMES 3600-3D Character Modeling. It is an interdisciplinary project driven course and curriculum is includes topics ranging from computer graphics, anatomy, scripting, design, sculpting, mechanics, and drawing. Students will also learn professional industry techniques and concepts for UV design, multiple texture map creation, character rigging, blend shapes, posing, and rendering."
"GAMES3610","Undergraduate Semester","3D Character Production II",3,"AR - Col of Architecture + Planning","Extends GAMES 3605 3D Character Production by continuing the design and production pipeline for 3D digital characters. The emphasis will be on designing and creating female characters. Students will utilize advance graphics software packages that are prominent in the video game industry such as zBrush, Maya, and Photoshop. These software packages will be demonstrated from a user's perspective and explained from the software engineer's point-of-view. This is a project-based class that includes short lectures, project demonstrations and one-on-one training during class hours."
"BIOL5285","Undergraduate Semester","3D Macromolecular Electron Microscopy",3,"SC - College of Science","Theoretical and practical aspects of three-dimensional, cryogenic transmission electron microscopy of biological macromolecules. Practical experience imaging a macromolecule, reconstructing its three-dimensional structure, and writing about the structure of a biological macromolecule."
"ED PS6562","Graduate Semester","3D Modeling and Animation",3,"ED - College of Education","This course provides students with an overview of 3D modeling and animation technology. Students will be introduced to the design and production process involved in developing 3D applications for educational purposes. Students will have an opportunity to learn various techniques via hands-on experience in 3D production."
"GAMES6600","Graduate Semester","3D Modeling for Video Games and Machinima",3,"AR - Col of Architecture + Planning","Introduction to asset design and the production pipeline for 3D game engines focusing on characters for Machinima, video games, and animation. Use of advanced graphics software packages that are prominent in the video game industry, demonstrated from the user's point of view and explained from the software engineer's perspective. Project-based class that include short lectures, project demonstrations, and one-on-one training in the lab."
"GAMES3600","Undergraduate Semester","3D Modeling for Video Games and Machinima",3,"AR - Col of Architecture + Planning","Introduction to asset design and the production pipeline for 3D game engines focusing on characters for Machinima, video games, and animation. Use of advanced graphics software packages that are prominent in the video game industry, demonstrated from the user's point of view and explained from the software engineer's perspective. Project-based class that include short lectures, project demonstrations, and one-on-one training in the lab."
"CMP6457","Graduate Semester","3D Visualization and Urban Simulation",3,"AR - Col of Architecture + Planning","This course is built around visualization and analytical tools that have been developed and applied in different disciplines to facilitate better design, planning process and decision-making process. Through hands-on exercises, students learn to use ArcGIS 3D Analyst, Geodatabase, Sketchup GoogleEarth, and CommunityViz. This tools help explore alternatives, as well as envision and understand their potential impacts."
