"subject","course_code","course_name","description","credits"
"Judaic Studies","JUST 397","Independent Study","Individual research under the supervision of a faculty member. Prerequisites: consent of instructor and approval by the Judaic Studies Director of Undergraduate Studies or the Chair.","Credits: Variable"
"Judaic Studies","JUST 420","Grammar for Writers","Grammar for Writers will renew your confidence in writing and speaking by giving you a new experience with grammar. The course provokes all writers to rethink English grammar from primarily a structural perspective. In a lecture/discussion format with exemplar sentences from Jewish writers as examples, you will explore the formation of phrases, clauses, and sentences,
rhetorical implications of grammatical choices, and modern English usage. You will also write many sentences to demonstrate a wide range of grammatical forms, structures, and rhetorical figures. This lively approach to grammar is especially useful for Judaic Studies students and all students in writing-intensive disciplines. Offered regularly in the Fall.","Credits: 4"
"Judaic Studies","JUST 427","EnvironmentalHistory of Israel","This course focuses the problems and possibilities associated with settling large numbers of people in the contested land of Israel?Palestine with its limited natural resources, and examines the dynamics between environmental issues, politics, technology, and military conflict in the modern Middle East. Pre-requisites: At least one course in Israel Studies or Jewish Studies or Middle East Studies or permission of instructor.","Credits: 4"
"Judaic Studies","JUST 432","Sephardi Diasporas","This course charts emergence of the western and eastern Sephardi diasporas in the wake of the Expulsion of 1492. Topics covered include settlement in port cities, involvement in Mediterranean and Atlantic mercantile networks, the converso experience, mass migration to Ottoman lands, encounter with Islam, the rise of Ladino, the impact of westernization, the rise of nationalism and 21st century Sephardi communities. Offered regularly. 
Note: Students that have taken JUST 332 Sephardi Diasporas will not receive credit for taking the 400 or 500-level version of the course.","Credits: 4"
"Judaic Studies","JUST 441","Holocaust Fiction","Do history and literature collude or collide in reconstructing the concentrationary universe-the death?dominated landscape of the Third Reich? How can the literary imagination convey, much less explain, the unspeakable, unimaginable terrors of the Nazi program of atrocity and extermination? And what place has imaginative literature alongside the fact?bound reconstructions of history? Holocaust fiction puts into words what customarily remains outside the flow of historical narrative: the sufferings, resistances, and aspirations of the individuals ravaged by genocide, survivors whose lives and experiences are left outside of historical accounts. Pre-requisite: sophomore standing. Offered regularly.","Credits: 4"
"Judaic Studies","JUST 451","Jews and the European City","What was city life like for European Jewry once the ghetto walls-figurative or real-came tumbling down? With a few select cities as our focus, this class will consider the urban character of Jewish society in the modern era, from the streets of London to the sea front in Odessa. Contemporary historical material, including literature, theater and song, plays a key role in class study. All material will be in English translation.","Credits: 4"
"Judaic Studies","JUST 457","Sephardi and Mizrahi Memoirs","The course consists of a close study of memoir and autobiographical literature written by authors of Sephardi and Mizrahi descent. The course focuses on questions of genre and the use of
personal narratives as a historical source. Among the geographical areas covered are the Middle East, North Africa, and the Balkans.","Credits: 4"
"Judaic Studies","JUST 470","Research&Rdg in Jewish Am Lit","Research and Reading in Jewish American Literature is a project course designed to produce original research. Using skills for investigating any literature, students use and cite primary and secondary sources (including databases and archives) and collaborate on a project focused in Jewish American literature. The course promotes heavy use of the library. Taught through the lens of a major topic in Jewish American or Jewish literature in translation, it will also be useful for advanced students in any literary field. Grading will be based on short research exercises throughout the course and a major report exploring findings to conclude the course. Restricted to students with junior or senior standing. Offered in Fall.","Credits: 4"
"Judaic Studies","JUST 480E","Adv. Topics in Judaic Studies","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 480J","Adv. Topics in Judaic Studies","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 480R","Adv. Topics in Judaic Studies","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 482A","Topics in Judaic Studies","Topics in Judaic Studies","Credits: 2"
"Judaic Studies","JUST 482B","Topics in Judaic Studies","Topics in Judaic Studies","Credits: 2"
"Judaic Studies","JUST 484A","Adv JewishThought,Culture,Soc.","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 484B","Adv JewishThought,Culture,Soc.","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 484C","Adv JewishThought,Culture,Soc.","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 484D","Adv JewishThought,Culture,Soc.","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 485A","Advanced Topics: The Holocaust","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 485B","Advanced Topics: The Holocaust","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 485C","Advanced Topics: The Holocaust","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 486A","AdvTopics: Israel & Mid East","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 486B","AdvTopics: Israel & Mid East","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 489A","AdvTopics:JewishInst.&Politics","May be repeated for credit as topic changes.","Credits: 4"
"Judaic Studies","JUST 490","Holocaust in Global Perspect","This course positions the Holocaust not solely as a European story but a global one with implications for Jewish communities across the world. In addition to the experiences of central and eastern European Jewries, the course will also emphasize the experiences of Jewish communities in the
Sephardi heartland of the eastern Mediterranean as well in North Africa and Middle East. The course will then study how the Holocaust has been represented in various contexts, most notably the United States and Israel. As an upper?level seminar, the course will consider a diversity of historiographical issues, among them questions of agency, causation, collaboration, and resistance, methodological approaches such as microhistory,
gender history, oral history, public history, and fields of inquiry such as postcolonial and gender studies. Restricted to Junior and Seniors. Offered regularly.","Credits: 4"
"Judaic Studies","JUST 491","Practicum In College Teaching","","Open to juniors or seniors who have taken the course for which they will serve as an Undergraduate Teaching Assistant (UTA) (including Hebrew and Yiddish courses) under the supervision of an instructor of record. May be repeated for a total of no more than eight credits. Credit may not be earned in conjunction with any course in which the student is concurrently enrolled. Does not satisfy Harpur College Distribution requirement. Cannot be applied toward the major or minor in Judaic studies or the minor in Hebrew. Prerequisites: consent of instructor and approval by the Judaic Studies Director of Undergraduate Studies. Pass/Fail only."
"Judaic Studies","JUST 497","Independent Study","Individual research under the supervision of faculty member. Prerequisites: consent of instructor and approval by the Judaic Studies Director of Undergraduate Studies.","Credits: Variable"
"Judaic Studies","JUST 498","Honors - Research Seminar","Research Seminar for students accepted into the Judaic Studies Honor’s Program. This 4-credit course includes workshops on research, thesis development, and writing. At the end of the Fall term students will have produced a precis or abstract, as well as a bibliography. Students will continue in JUST 499 Honors in the Spring to write and submit and Honor’s Thesis or equivalent creative work. Permission of Instructor. Offered regularly.","Credits: 4"
"Judaic Studies","JUST 499","Senior Honors","Prerequisite: Candidacy for honors in Judaic studies.","Credits: Variable"
"Korean","KOR 101","Elementary Korean I","KOR 101 is the first half of the year-long Elementary Korean language curriculum. This course is designed for those with no prior (or very limited) knowledge of the Korean language. The objective of this course is for students to acquire a basic level of communicative competence in all four language skills?listening, speaking, reading, and writing. After mastering the Korean alphabet, essential expressions, and basic grammatical structures, the students will  carry out short and simple conversations on everyday topics in Korean. They will also learn to read and write simple Korean texts on such topics as self, family, and daily activities.  Offered annually.","Credits: 4"
"Korean","KOR 102","Elementary Korean II","KOR 102 is the second half of the year-long Elementary Korean language curriculum. This course is designed for those who have completed KOR 101 successfully or have acquired the knowledge of the Korean alphabet, greetings, and basic conversational patterns utilizing both the present and past tenses. Students will continue to build a basic level of communicative competence in all four language skills-listening, speaking, reading, and writing-along with an understanding of the Korean culture. Specifically, they will learn to comprehend and utilize the linguistic expressions of desires, intentions, possibilities, reasons, suggestions, obligations, etc. in two or more clauses.  Offered annually.","Credits: 4"
"Korean","KOR 203","Intermediate Korean I","KOR 203 is the first half of the year-long Intermediate Korean language curriculum. This course is designed for those who have completed KOR 102 successfully or have acquired the equivalent knowledge and competence. The objective of this course is for students to build an intermediate level of communicative competence in all four language skills?listening, speaking, reading, and writing?along with a proficient understanding of the Korean culture. Specifically, they will learn to comprehend and utilize the linguistic expressions of purposes, conditions, probabilities, decisions, justifications, suggestions, permissions, prohibitions, etc. in complex structures.  Offered annually.","Credits: 4"
"Korean","KOR 204","Intermediate Korean II","KOR 204 is the second half of the year-long Intermediate Korean language curriculum. This course is designed for those who have completed KOR 203 successfully or have acquired the equivalent knowledge and competence. The objective of this course is for students to continue to build an intermediate level of communicative competence in all four language skills?listening, speaking, reading, and writing?along with a proficient understanding of the Korean culture. Specifically, they will learn to comprehend and utilize the linguistic expressions of supposition, subjective assessment, experience, intention, indirect quotation, etc. in complex structures.  Offered annually.","Credits: 4"
