"subject","course_code","course_name","description","credits"
"Communication Sciences and Disorders","CSD 5678","Written Language Disorders","When Offered: Summer Session  A study of the identification, evaluation, and management of written language disorders in individuals from birth to 18 years who are at risk for or who have been identified as having a communication and/or specific language impairment (SLI). A special emphasis is placed on the written language skills of these individuals in a variety of educational contexts (e.g., daycare settings, developmental preschool programs, public schools, etc.). Formal and informal strategies for assessment, alternative service delivery models, and specific strategies for intervention will be covered.  Prerequisites: CSD 5675  and CSD 5676  or permission of the instructor.","3"
"Communication Sciences and Disorders","CSD 5680","Pediatric Dysphagia","When Offered: Fall  This course provides instruction in the clinical process of assessing and treating normal and disordered feeding and swallowing in infants and children. Students will learn about the anatomical and physiological development that contributes to swallowing function, neurodevelopmental skills that impact feeding and swallowing, diagnostic procedures and evidence-based treatment approaches for infant and pediatric populations.  Prerequisite: CSD 5852","3"
"Communication Sciences and Disorders","CSD 5682","Communication Disorders in Diverse Populations","When Offered: On Demand  A seminar on the interrelationship of sociological variables and linguistic performance with special emphasis on communication differences and disorders among culturally and linguistically diverse populations, non-biased assessment of diverse populations, elective intervention approaches, and differing learning styles.","3"
"Communication Sciences and Disorders","CSD 5850","Adult Neurogenic Communication Disorders","When Offered: Spring  Provides requisite knowledge for understanding, assessing, and treating language and cognitive impairments in adults with focal and diffuse brain injury. Students will learn about neural substrates for language and cognition, assessment principles, and treatment for aphasia, right hemisphere disorders, traumatic brain injury, and dementia.","3"
"Communication Sciences and Disorders","CSD 5851","Motor Speech Disorders","When Offered: Fall, Spring  This course provides instruction in the differential diagnosis and management of neurogenic speech disorders, including the dysarthrias and apraxia of speech.","3"
"Communication Sciences and Disorders","CSD 5852","Dysphagia","When Offered: Spring  This course provides instruction in the description, differential diagnosis, and management of swallowing disorders in adults and children. Discussion will include developmental, behavioral, structural, and neurogenic disorders and the cultural influences on eating behaviors.","3"
"Communication Sciences and Disorders","CSD 5900","Internship","When Offered: Fall, Spring  An internship in the area of communication disorders.  Prerequisites: completion of CSD 5566  or its equivalent and permission of the Communication Disorders faculty.  Graded on an S/U basis.","6-12"
"Communication Sciences and Disorders","CSD 5989","Graduate Research","When Offered: Fall, Spring  This course is designed to provide access to University facilities for continuing graduate research at the master’s and specialist’s levels. CSD 5989 does not count toward a degree.  Graded on an S/U basis.","1-9"
"Communication Sciences and Disorders","CSD 5999","Thesis","When Offered: Fall, Spring  Graded on an SP/UP basis until the thesis has been successfully defended and received final approval, at which time all grades will be changed to S.","1-4"
"Community and Regional Planning","PLN 5030","Planning for Climate Resilience","When Offered: Fall  City planners have many tools to address the impacts of local growth, environmental protection, economics and social equity. What is currently lacking are plans that account for climate change and build the capacity for resilience and adaptation in the face of the negative outcomes. In this course, we will gain a better understanding of climate change and the ways in which the cultural and political discourse influences our capability to address the climate change challenge at the local, regional, national and international level.  [Dual-listed with PLN 4030.]","3) [DL]"
"Community and Regional Planning","PLN 5240","Sustainable Transportation Planning","When Offered: Fall  Not all transportation is cars. In order to create a sustainable transportation system planners understand how a transportation network that supports transit, biking, walking and cars in an interconnected and equitable manner can connect the built environment. Major topics include transportation policy and planning, environmental implications of transportation decisions, equity, technology, nonmotorized and group travel modes, active living and active travel, public health and strong communities, and emerging models.  [Dual-listed with PLN 4240.]","3) [DL]"
"Community and Regional Planning","PLN 5400","Planning History, Theory, and Process","When Offered: Spring  Foundations of community and regional planning, including the history of cities and of the planning profession, linkages with planning theory and growth management, comprehensive planning steps, and how practicing planners use various planning aspects and applications to address contemporary urban and regional issues.","3"
"Community and Regional Planning","PLN 5420","Human Settlements and Planning History","When Offered: On Demand  Foundations of community and regional planning relating to the growth and development of cities and historical aspects of planning. Examination of how design and form impact the built environment, to include prominent planners who have influenced planning over time. This course focuses on the American city, but some examples may be from European and Asian countries and colonial practices.","3"
"Community and Regional Planning","PLN 5425","Task-Oriented Group Facilitation Methods","When Offered: Spring  Learn how to maximize the collective power of groups, organizations, and communities by developing facilitation skills that help groups think, talk, and work together. Application opportunities using these skills include community development, organizational planning, education, government, and other occasions when people want to turn ideas into productive action and meaningful accomplishments.  (Same as COM 5425  .)","3) [CL]"
"Community and Regional Planning","PLN 5431","Planning Methods and Techniques","When Offered: Spring  Foundations of community and regional planning relating to skills, knowledge, and abilities that practicing planners use to develop a better understanding of place. Scope of research includes components of plan-making (e.g., public opinion surveying; meeting facilitation; and demographic, economic, social, environmental, housing, land use, circulation, and community facilities studies).","3"
"Community and Regional Planning","PLN 5441","Planning Studio","When Offered: Spring  Application of planning skills and knowledge to a project. Each studio will have a project focus that may vary (but typically will include comprehensive planning, physical design, economic development, or spatial planning). A real location, fieldwork, and problem-solving are integral parts of this course.  Prerequisite: PLN 5431  .","3"
"Community and Regional Planning","PLN 5450","Planning for Sustainable Systems","When Offered: Fall  In this course, we delve into the intricate web of systems, planning practices, and the individuals and organizations that intricately shape the functionality of towns and cities. Sustainable communities are defined by their commitment to fostering healthy environments, promoting social justice and equity, and cultivating robust, diverse economies. Throughout the course, we will conduct in-depth examinations of various systems critical to urban planning, such as water management, energy resources, waste disposal, transportation networks, agricultural practices, architectural design and construction, financial structures, educational systems, and governance models.  [Dual-listed with PLN 4450.]","3) [DL]"
"Community and Regional Planning","PLN 5460","Environmental Policy and Planning","When Offered: Spring  An in-depth look at issues of public participation and involvement, intergovernmental relations, and the tools and practices involved with environmental planning in the United States.  [Dual-listed with PLN 4460.]","3) [DL]"
"Community and Regional Planning","PLN 5470","Community and Economic Development","When Offered: Spring  The landscape of community and economic development is rapidly changing, shifting away from traditional paradigms to embrace sustainability frameworks that transcend temporal and spatial boundaries. These forward-looking approaches comprehensively address environmental, economic, and social equity dimensions. This course explores language, tools, and strategies employed by community development experts, activists, and engaged community members across diverse urban and rural contexts. It delves into critical topics such as poverty and race, housing, fostering economic opportunities, managing revitalization without exacerbating gentrification, promoting environmental justice, navigating the intricacies of local and global perspectives, and fostering meaningful public participation in the planning process.","3"
"Community and Regional Planning","PLN 5530","5549 - Selected Topics","When Offered: On Demand","1-4"
"Community and Regional Planning","PLN 5730","Land Use Controls, Planning Law, and Ethics","When Offered: On Demand  Foundations of community and regional planning relating to plan implementation, including a spectrum of land use controls, the legal and constitutional framework of land use controls, and planning ethics.","3"
"Community and Regional Planning","PLN 5858","Directed Research","When Offered: On Demand  Directed research on a topic selected by the student in consultation with the instructor. The student will write a research paper and present findings orally on the selected topic. Students may not repeat PLN 5858 for credit.  Prerequisite: Approval of the instructor.  (Same as GHY 5858  .)","3) [CL]"
"Computer Information Systems","CIS 5100","Management Information System","When Offered: On Demand  A study of the methods and procedures of computerized information systems and how they should be used to create viable management information systems. Includes administrative uses and limitations of information systems in a company. Measures of information system effectiveness, documentation procedures, data security, legal implications and personnel requirements as well as system configurations and software are included.  Prerequisite: Admission to the MBA Program, MS in Applied Data Analytics, Business Analytics Certificate or permission of the department chair.","3"
"Computer Information Systems","CIS 5250","Issues in E-Business","When Offered: On Demand  This course examines the concepts and issues associated with using the technologies and processes of electronic commerce to facilitate the operational success of a contemporary organization. Through extensive use of the Internet, students will gain direct experience with the promise, problems and potential of using information technology and electronic commerce in individual and organizational endeavors.  Prerequisite: Admission to the MBA Program, MS in Applied Data Analytics, Business Analytics Certificate or permission of the department chair.","3"
"Computer Information Systems","CIS 5280","Systems Management","When Offered: On Demand  Introduction to General Systems Theory and its application to the analysis, design, and operation of information systems. Emphasis will be placed on the design and management of information technology, cybernetics, real-time systems, models and simulations, and man-machine systems.  Prerequisite: Admission to the MBA Program, MS in Applied Data Analytics, Business Analytics Certificate or permission of the department chair.","3"
"Computer Information Systems","CIS 5300","Managing Information Technology","When Offered: On Demand  A seminar course providing a broad overview of the information systems management function. Emphasis on information systems management, with particular attention on planning, organizing, and controlling user services and managing the computer information systems development process.  Prerequisite: Admission to the MBA Program, MS in Applied Data Analytics, Business Analytics Certificate or permission of the department chair.","3"
"Computer Information Systems","CIS 5350","Advanced Database Concepts","When Offered: On Demand  Investigation and application of advanced database concepts including Database Administration, database technology and selection and acquisition of database management systems. In-depth practicum in data modeling and system development in a database environment will be emphasized utilizing both mainframe and micros.  Prerequisite: CIS 4790 (Current Topics in Information Systems) or equivalent.","3"
"Computer Information Systems","CIS 5450","Project Management and Visualization","When Offered: On Demand  This course will focus on the leadership and presentation skills necessary to properly chose, design, lead and communicate an analytics project to senior business leaders, employees and external stakeholders. The course will include determining the business value of an analytics project; prioritizing various analytics projects and choosing the most important ones; communicating the business value of a project to the project team, clients and senior management; learning the art of making persuasive presentations; learning common presentation and reporting pitfalls. The course will also teach students how to create and deliver effective presentations to technical and non-technical audiences.  Prerequisite: Admission to the MBA Program, MS in Applied Data Analytics, Business Analytics Certificate or permission of the program director.","3"
"Computer Information Systems","CIS 5500","Independent Study","When Offered: Fall, Spring","1-4"
"Computer Information Systems","CIS 5530","5549 - Selected Topics","When Offered: Fall, Spring","1-4"
"Computer Information Systems","CIS 5580","Data Communications and Networking","When Offered: Fall, Spring  This course is designed to provide the student with the basic concepts of data communications and networks. Emphasis will be on the technical and the theoretical skills of data communications and networks that will be needed by those who will be involved in the analysis, design and programming of computer information systems. Students will be required to design a network.  Prerequisite: CIS 3250 (Building Information Systems) (CIS 3250 can be taken concurrently).","3"
"Computer Information Systems","CIS 5585","Advanced Data Communications and Networking","When Offered: Fall, Spring  This course is a continuation of CIS 5280  and explores advanced topics in data communications and networking. It encompasses parts 3 and 4 of the CCNA (Cisco Certified Network Associate) certification and, upon successful completion, allows students to take the CCNA certification exam.  Prerequisite: CIS 5280  .","4"
"Computer Information Systems","CIS 5610","Global Information Technologies","When Offered: On Demand  This course presents students with the concepts and issues inherent in global information technology. The course examines the issues associated with using technology in a global environment, how global systems are developed, how culture, language, etc. impact systems and their development, outsourcing, strategies for global systems development and use, and issues facing Far East, European, Latin America, and Third World countries.  Prerequisite: Graduate status.","3"
"Computer Information Systems","CIS 5620","IS Strategy, Policy, and Governance","When Offered: On Demand  This course examines how to effectively lead an information systems organization. Chief Information Officers are tasked to take part in determining corporate strategy based on information technology and its potential role in corporate objectives-while determining the IS (Information System) strategy to most effectively implement the corporate strategy in terms of information technology, IS personnel, data, and telecommunications. That IS strategy focus of this course will be on the ethical and privacy issues related to security enhancement and the growing use of the Internet. IS governance will include personnel issues, legal and financial obligations, data privacy and security, vendor relations, and business unit liaison. This course will also examine how information systems impact both individuals and organizations. Cultural, ethical, moral, human interaction, privacy, security, and relationship issues will be analyzed; ethical and privacy issues related to security enhancement and the growing use of the Internet will be examined.  [Dual-listed with CIS 4620.]","3) [DL]"
