"course_code","course_title","department","credits","description","level"
"ANI 328","ANIMATION FIGURE STUDY I","Animation (ANI)","4 quarter hours","This studio class will focus on the drawing of the figure for use in animation, storyboarding, and character design. Students will gain a solid foundation in posing, gesture, and anatomy, and will learn how to give a character a sense of emotion and purpose. Students will gain experience and improve their drawing technique through weekly assignments and in-class exercises, including drawing from a live model. In addition to the regular meetings with the instructor, this course will include an extra 90 minute figure study lab with model per week, supervised by a graduate assistant. ART 106,ILL 200, orDES 111is a prerequisite for this course. ","(Undergraduate)"
"ANI 329","STORYBOARDING III","Animation (ANI)","4 quarter hours","This course elaborates on the skills fromANI 324Story Development. Students will develop advanced techniques for storyboarding, staging, pre-production, character development and performance to support their original narrative stories. Rigorous exercises will emphasize visually dynamic composition, figure drawing applied to storyboarding, editing, continuity and sophisticated use of camera. Students will complete a final advanced storyboard and animatic edited with sound, which can be used as a portfolio piece for any aspiring storyboard artist. ANI 324is a prerequisite for this course. ","(Undergraduate)"
"ANI 330","3D CHARACTER MODELING","Animation (ANI)","4 quarter hours","This course will instruct students in the process of 3D polygonal based character modeling.  Students will learn professional techniques for building quad-based polygon meshes with an extra emphasis on proper topology to help prepare their model for rigging.  Students will learn complete UV unwrapping for the entire figure as well as effective techniques for advanced texturing. ANI 339is a prerequiste for this class. ","(Undergraduate)"
"ANI 332","3D RIGGING","Animation (ANI)","4 quarter hours","Students will study the processes and techniques for creating professional quality character rigs.  Following a professional production workflow, students will create character skeletons, learn aesthetic and technical considerations for skinning, learn techniques for optimal parameterization, and learn to construct character animation controls. ANI 231is a prerequisite for this class. ","(Undergraduate)"
"ANI 333","ADVANCED 3D RIGGING","Animation (ANI)","4 quarter hours","This course will teach students inorganic rigging of vehicles and machines as well as advanced techniques for characters such as blend shape facial expression setups and squash and stretch. Additional topics will include quadruped rigging and 3D scripting for creating user interfaces and automating complex processes. ANI 230andANI 231are prerequisites for this class. ","(Undergraduate)"
"ANI 334","VIRTUAL CINEMATOGRAPHY","Animation (ANI)","4 quarter hours","This course introduces real world cinematic techniques within a computer graphics environment. Emphasis is placed on camera movement, composition, pacing, lighting, and aesthetics. (VFX 200orVFX 374) andANI 230are prerequisites for this class. ","(Undergraduate)"
"ANI 336","3D MODELING STUDIO","Animation (ANI)","4 quarter hours","Students in this course will broaden and improve their overall skill set by learning a range of modeling techniques.  Students will complete several smaller projects that cover topics including speed modeling, efficient low-poly modeling, hard surface modeling, projection texturing, and advanced UV unwrapping techniques.  The course will culminate in a final project in which the student will propose and complete an advanced model of their own design. ANI 230or GPH 250 is a prerequisite for this class. ","(Undergraduate)"
"ANI 337","ENVIRONMENT MODELING","Animation (ANI)","4 quarter hours","This course covers the planning, production and implementation of environment models for games.  The term ""environment model"" includes landscape, exterior architecture, interior architecture, and both organic and man-made props.  Topics include visual art direction, setting mood, developing narrative and cinematic lighting strategies.  After creating assets in a modeling program, students will implement them in a game engine editor to learn about game engine requirements, limitations and pipeline. Prerequisite:ANI 230. ANI 339is a prerequiste for this class. ","(Undergraduate)"
"ANI 338","3D ORGANIC MODELING","Animation (ANI)","4 quarter hours","In this course students will learn to create highly detailed creatures, characters, and props for both film and games. Students will learn a variety of techniques for working with high density polygon meshes and 3D painting in order to generate detailed texture and normal maps. This course will combine a traditional approach to sculpting and a foundation in human anatomy for quick generation of concepts for 3D models. An emphasis will be placed on developing efficient pipelines to streamline the entire process from modeling to rendering. ANI 339is a prerequiste for this class. ","(Undergraduate)"
"ANI 339","3D MODELING AND SHADING","Animation (ANI)","4 quarter hours","In this course students will study the processes and techniques for creating 3D assets, texturing, and lighting in 3D. The procedures covered in this course include creating and preparing models for texturing, building and manipulating shading networks, laying out UVs, and painting textures. Topics in lighting will be approached from the foundation of traditional cinematography, focusing on driving both mood and story. In addition, students will utilize complementary skills in lighting and texturing to create high-quality renders to showcase their 3D assets and environments. ANI 230is a prerequisite for this class. ","(Undergraduate)"
"ANI 340","2D ANIMATION PRODUCTION","Animation (ANI)","4 quarter hours","Students will create short 2D animated films. Students will be expected to exhibit sophisticated technique, storytelling, and content in their films, and will work to develop as creative artists through multiple critiques throughout the term. Students should show an awareness of how much work and time are required to complete their projects, and the ability to plan accordingly. ANI 220,ANI 240& Junior Standing are prerequisites for this class. ","(Undergraduate)"
"ANI 341","ADVANCED ANIMATION PRODUCTION","Animation (ANI)","4 quarter hours","In this course students will complete an animated short film. Students are expected to demonstrate a high level of technical skill in design and animation, while learning various methods of project planning, management, and finishing techniques for animated projects. ANI 240AND one of the following animation production courses:ANI 340,ANI 342,ANI 358,ANI 360,ANI 371, orANI 382 ","(Undergraduate)"
"ANI 342","3D ANIMATION PRODUCTION","Animation (ANI)","4 quarter hours","In this course, students will build on their skills from Animation Production I to create animated films in 3D.  Students will learn the essentials of 3D production including; creating 3D animatics, setting up production pipelines, and using efficient techniques for modeling, rigging, and animating.  Workflows for both individual and collaborative projects will be introduced.  Students will be expected to exhibit sophisticated technique, storytelling and content, and work to develop as creative artists through self-critique. The successful planning and completion of projects on time will be an essential focus of the course. (ANI 231orANI 240) and (ANI 220orANI 332) are prerequistes for this class. ","(Undergraduate)"
"ANI 343","3D ANIMATION FOR GAMES & CINEMATICS","Animation (ANI)","4 quarter hours","In this course students will learn how to apply their animation skills for real-time interactive game development while simultaneously improving their knowledge of body mechanics and animation techniques.  Students will learn how to develop core playable-character game animations such as run cycles and attacks, as well as how to implement these animations into a game engine and adjust parameters to achieve a finalized performance. Additional focus will be on learning to create cinematic shots centered around driving story and introducing important gameplay concepts. ANI 231is a prerequisite for this class. ","(Undergraduate)"
"ANI 344","VISUAL DESIGN FOR GAMES","Animation (ANI)","4 quarter hours","The stages of development in the visual direction of a video game will be identified and detailed, and students will participate in the creation of the visual art direction of a product, giving special attention to the design of 3D models and animation. Visual Design for Games topics include: creating visual direction, concepting, art bibles, art production, and post-production strategies. Students will create proposals, create concepts, iteratively create artwork, and analyze competitive products. ANI 230and (ANI 105orGD 105orART 105orDES 141) is a prerequisite for this course. ","(Undergraduate)"
"ANI 345","CHARACTER DESIGN","Animation (ANI)","4 quarter hours","Students will be introduced to various methods of creating interesting and original character designs for animated films and games, and then put these approaches into practical use.  Methods of creative concepting will include drawing, collage, sculpture and 3D mock-ups.  Fundamental visual design and color principles will be stressed, along with the basics of caricature.  Students will utilize their character designs in an animated short. ILL 200or (DES 111andDES 141) is a preerquiste for this class. ","(Undergraduate)"
"ANI 346","GAME ART PIPELINE","Animation (ANI)","4 quarter hours","This course is an overview of the game Technical Artist's job, from production to infrastructure roles. Students learn how to design, optimize, and troubleshoot the game art production pipeline. They study a range of game art technologies from particle effects, camera post-processing, physically-based materials, advanced lighting, procedural world creation and more in the Unity game engine. Projects include building a shared game project using Perforce (source control) workflow, analyzing game performance, building and troubleshooting character rigs, and more. ANI 230andANI 231are prerequisites for this class. ","(Undergraduate)"
"ANI 347","ART FOR GAME MODS","Animation (ANI)","4 quarter hours","In this course, students will build on their skills from 3D Design & Modeling and 3D Environment Modeling to take an existing game in Unity and ""re-skin"" or modify it to create a different visual experience when played. They will work on collaborative projects while building good working knowledge of 3d art pipeline, materials, lighting, and game performance. They will be expected to exhibit proficiency in analyzing and understanding how game assets are constructed, breaking down and replacing components of existing art with their own, and debugging visual issues related to the introduction of new game assets. ANI 337orANI 339is a prerequiste for this class. ","(Undergraduate)"
"ANI 348","ANIMATION FIGURE STUDY II","Animation (ANI)","4 quarter hours","This studio course utilizing a live model will build on the solid foundation for use in animation, storyboarding, and character design learned in Animation Figure Study I.  Principles covered will include tilt and twist, flow, and rhythm in figure drawings.  The composition of the poses will also be examined observing the graphic value of the figure in silhouettes. Students will gain a working knowledge of muscular and skeletal anatomy, and apply this in building human forms from both observation and imagination. In addition to the regular meetings with the instructor, this course will include an extra 90 minute figure study lab with model per week, supervised by a graduate assistant. ANI 328is a prerequiste for this class. ","(Undergraduate)"
"ANI 349","ADVANCED CHARACTER DESIGN","Animation (ANI)","4 quarter hours","This course builds upon the fundamental skills learned in Character Design. Students will participate in exercises and group critiques to hone their visual design skills in the creation of original character designs for animated films and games. The course will culminate in the creation of a character pitch bible and character animation that adheres to industry standards. ANI 345is a prerequisite for this class. ","(Undergraduate)"
"ANI 350","ANIMATION PRODUCTION STUDIO","Animation (ANI)","4 quarter hours","This course uses the animation studio model to create a group project from start to finish.  Students learn about the division of labor needed to produce larger projects as they experience working with others on a team. ANI 240is a prerequiste for this class. ","(Undergraduate)"
"ANI 351","ADVANCED MOTION CAPTURE STUDIO","Animation (ANI)","4 quarter hours","This course will enable students with motion capture experience to advance their technical skills and gain experience with practical application in the motion capture studio.  Emphasis will be placed on advanced skinning and mapping techniques as well as complex motion capture sessions involving sets, props, and multiple actors.  Students will be required to plan, arrange, and direct their own sessions in the motion capture studio. ANI 310orANI 450is a prerequiste for this class. ","(Undergraduate)"
"ANI 352","3D SCRIPTING","Animation (ANI)","4 quarter hours","This is an introductory course in scripting for a 3D production environment. Students will learn and apply basic programming concepts in order to improve the productivity of animators and modelers. Using script, we will automate repetitive tasks, customize the interface, and create new tools. Students will gain a fundamental understanding of how a 3D animation package functions behind the interface. ANI 230andANI 231are prerequisites for this class. ","(Undergraduate)"
"ANI 353","ADVANCED 3D SCRIPTING","Animation (ANI)","4 quarter hours","In this course, artists and game designers will learn to use scripting to develop advanced tools and to automate complex processes for animation, modeling, and pipeline development. Through weekly projects students will learn to read, modify, and author scripts in order to bridge the artistic and technical features of a high end 3D software package. ANI 352is a prerequiste for this class. ","(Undergraduate)"
"ANI 354","3D LOOK DEVELOPMENT","Animation (ANI)","4 quarter hours","In this course, students will study the processes and techniques of look development for 3D characters and hard surface assets for production. A look development artist is part of the creative team in a film or game and is responsible for designing and developing the final look of the film or game. The procedures covered in this course include painting procedural and hand-painted texture maps for 3D characters and hard surface assets, various projection techniques for texture painting, and building shaders with procedural and hand-painted texture maps. In addition, students will learn the basics of grooming techniques to create exquisite-quality look development for a 3D character. Finally, this course will cover various modeling, shading, lighting, and rendering techniques to develop an interior space with a storytelling aspect. ","(Undergraduate)"
"ANI 355","STOP MOTION ANIMATION","Animation (ANI)","4 quarter hours","The principles of stop motion character animation in real space are the emphasis of this intermediate level course.  Students are introduced to basic armature building, lighting and scene composition, and the designing and fabrication of characters with a variety of materials.  Contemporary uses of digital technology to enhance stop motion production will be explored. ANI 201(orANI 101) is a prerequisite for this class. ","(Undergraduate)"
"ANI 356","EXPERIMENTAL ANIMATION","Animation (ANI)","4 quarter hours","This course introduces strategies for an experimental approach to animation. Students will study how experimentation relates to both concept and technique, and examine the work of classic experimental animators. This is a production class that requires students to produce a series of short animations in a variety of processes and styles. ANI 201(orANI 101) is a prerequisite for this class. ","(Undergraduate)"
"ANI 357","HYBRID ANIMATION","Animation (ANI)","4 quarter hours","This production course focuses on combining multiple animation techniques. Students will complete the assignments and final project using mixed media with the choice of animation techniques, content and form left to the individual or group. Topics include pixilation, rotoscoping, and creative use of green screen, among others. ANI 201(orANI 101) is a prerequisite for this class. ","(Undergraduate)"
"ANI 358","ADVANCED STOP MOTION ANIMATION","Animation (ANI)","4 quarter hours","In this course, students will build on their skills from Stop Motion Animation to create more ambitious projects. Techniques will cover complex puppets, detailed character performance to dialogue, 3D printing as applied to animation, lighting and motion control operation for camera moves. An emphasis will be placed on craftsmanship and effectively combining elements for stop motion filmmaking. ANI 355is a prerequiste for this class. ","(Undergraduate)"
"ANI 360","3D MOTION GRAPHICS","Animation (ANI)","4 quarter hours","This course builds on motion graphics fundamentals covered in ANI260 Motion Graphics.  In 3D Motion Graphics, students will work to develop a better understanding of how to develop a distinct visual style in both personal work and in work for clients.  The course also focuses on gaining familiarity with contemporary styles and trends in professional motion graphics, and an awareness of Chicago-based motion graphics production. ANI 230or ANI 260 orVFX 200is a prerequisite for this class. ","(Undergraduate)"
"ANI 361","MOTION GRAPHICS","Animation (ANI)","4 quarter hours","This course will introduce the student to effective communication using motion graphics, including its application in the areas of film titles, broadcast and commercial design, interactive media, and gaming.  The combination of music, visuals and typography will be explored following the basic theories of kinetic composition and aesthetics.  Students will study the history of the field, including the work of pioneers such as Norman McLaren, Saul Bass and Len Lye. Sophomore Standing and one of the following:ANI 105,ANI 101,ANI 201,GD 105,ART 105,FILM 101,FILM 102orDES 141is a prerequisite for this class. ","(Undergraduate)"
"ANI 362","TITLE DESIGN","Animation (ANI)","4 quarter hours","This course explores the relationship between film and typography through an analysis of title design production in film, television, animation, and games. By studying examples from film and television history and the creative process behind those productions, students will develop an understanding of how to interpret and use typography to create narrative exposition on screen. Students will gain an appreciation and skill for working with text, image, and sound within time-based media that will add value, clarity, and sophistication to multimedia projects.. ","(Undergraduate)"
"ANI 363","CINEMA AND ART FOR ANIMATORS","Animation (ANI)","4 quarter hours","This course will provide an overview of avant-garde film, video, and installation, and their relation to animation. Students will be introduced to the major styles and themes of alternative and experimental moving image work from the past hundred years. Cinema and Art for Animators places emphasis on moving image work that is not usually included in a survey of mainstream cinema or film history. Topics covered in the class include the avant-garde and kitsch, surrealism, experimental film, abstract animation, video art, camp, and video installation. In addition to readings, lectures and viewing films, videos, and installations, students will produce several animation projects that respond to the works and themes studied during the quarter. ","(Undergraduate)"
"ANI 364","ANIMATION RESEARCH SEMINAR","Animation (ANI)","4 quarter hours","This seminar introduces students to animation in the context of interdisciplinary thinking and creativity. Students will discuss their learning experiences across disciplines in the University, and practice making connections between this learning and their study of animation. PREREQUISITE(S): None. ","(Undergraduate)"
"ANI 365","CINEMA, ANIMATION, AND ART","Animation (ANI)","4 quarter hours","This seminar course focuses on animation and cinema from the standpoint of Modern and Contemporary art.  Students study the major styles and themes of historical experimental film and video, and relate these topics to contemporary animation and independent cinema practices.  Emphasis is placed on theory and criticism, and how it informs experimental work.  Students are expected to discuss work and theory in a seminar setting, and to engage the class material in several research papers. ","(Undergraduate)"
"ANI 366","3D MOVIE PRODUCTION","Animation (ANI)","4 quarter hours","This course provides an introduction to stereoscopy which is the creation of a 3D effect in still images and movies. The course covers the history of stereoscopy, the perceptual theories that make 3D images possible, and the technologies that can be used to create the effect of stereoscopic depth. Designed for both animators and live-action filmmakers, students taking this course will get hands-on experience producing stereoscopic images and movies using a variety of tools. ANI 230orFILM 250(Formerly DC 275) is a prerequisite for this class. ","(Undergraduate)"
"ANI 367","MOTION DESIGN STUDIO","Animation (ANI)","4 quarter hours","This course focuses on advanced motion design projects within a studio based setting. Students will work alone and in small groups on personal and client-based projects. Demonstrations will concentrate on advanced 3D motion graphics with interactive photorealistic rendering. Students will also develop their portfolio sites and get advice on freelancing and finding work with studios. ANI 360is a prerequisite for this class. ","(Undergraduate)"
"ANI 368","ADVANCED CINEMA 4D & REDSHIFT WORKSHOP","Animation (ANI)","2-2.25 quarter hours","This course builds on the 3D motion graphics fundamentals covered inANI 155: Cinema 4D Workshop. This course will include demonstrations and workshops on advanced features and rendering techniques using Maxon Cinema 4D and Redshift, a production render engine used in the motion graphics and VFX industry. Students will follow industry design and production processes to create professional motion design and art. Topics will include: Using Mograph tools to drive Redshift parameters, shader building and compositing, Global Illumination principles and concepts, advanced lighting and texturing, camera attributes, compositing and optimization. ANI 155orANI 230orANI 360 ","(Undergraduate)"
"ANI 370","ACTING FOR ANIMATORS","Animation (ANI)","4 quarter hours","This is acting training designed specifically for the needs of animators, as opposed to stage actors. Utilizing lecture/discussion, examination/deconstruction of animated and live-action film clips, home assignments and a few simple in-class improvisations, this course provides the animator with the skills necessary to deliver dynamic animated character performance. Assessment measures include oral and written reflective analysis, short animated character sketches and class participation. ANI 201(orANI 101) is a prerequisite for this class. ","(Undergraduate)"
"ANI 371","ANIMATED SERIES DEVELOPMENT","Animation (ANI)","4 quarter hours","This course covers the preparation and development of an animated series pitch bible.  Students will explore and critique successful and unsuccessful series pitches, and become familiar with the variety of options.  Topics covered will include the artist-run show, world building, cast character development and design, show visual design, sample stories, and possible venues.  Students will develop their own original show concept, characters, and sample stories.  By the end of the quarter students will produce and pitch a presentable show bible for their series, including character designs, storyboards, and a sample pitch animatic or short that might be presented for an open call by a network. ANI 324is a prerequisite for this course. ","(Undergraduate)"
"ANI 375","PROFESSIONAL PRACTICE FOR ANIMATORS AND GAME ARTISTS","Animation (ANI)","2 quarter hours","Students will learn to prepare for and identify internship, employment, and graduate school opportunities. Students learn how to develop work for and prepare a portfolio/demo reel. The course will also include preparation of job search and promotional materials, including resumes.  (2 quarter hours) ANI 240or GAM 245 orFILM 210is a prerequiste for this class. ","(Undergraduate)"
"ANI 376","POST-PRODUCTION WORKSHOP","Animation (ANI)","2 quarter hours","This 2 credit course guides students through the final stages of post-production and completes the Animation Capstone sequence. Students will work closely with faculty to meet the needs specific to their Capstone projects. This workshop will also focus on distribution for completed films, including film festivals, online forums, and gallery exhibition.  (2 quarter hours) ANI 394is a prerequisite for this class. ","(Undergraduate)"
"ANI 378","3D DYNAMICS","Animation (ANI)","4 quarter hours","This course will provide an introduction to dynamic simulation and effects in 3D animation. Topics to be covered include hair & fur, fluid dynamics, smoke & fire, particles and cloth. An emphasis will be placed on how these effects can enhance an idea or narrative, establish mood, or even be used as a basis for experimental animation. Students will use traditional animation and visual design principles as a basis for creating several small projects. ANI 230andANI 231are prerequisites for this class. ","(Undergraduate)"
"ANI 379","3D COMPOSITING","Animation (ANI)","4 quarter hours","This course is designed to allow advanced compositors and animators to merge the 2D, 3D and/or live-action video worlds, drawing from a combination of techniques such as motion tracking, compositing, rotoscoping, hand-drawn, cut-out and 3D animation.  The goals are to go beyond simply achieving technical proficiency, as we will also focus on learning principles of good animation in preparation for both artistic and commercial endeavors. ANI 231is a prerequisite for this class. ","(Undergraduate)"
"ANI 380","ANIMATION PROJECT BLUELIGHT","Animation (ANI)","4 quarter hours","Production of an animated digital motion picture written by students or faculty within the School of Cinematic Arts. Students will work as crew under supervision of faculty members heading each of the various production areas. The goal is to work towards a completed animated digital motion picture suitable for festivals or distribution. ","(Undergraduate)"
"ANI 382","DIGITAL PUPPET ANIMATION","Animation (ANI)","4 quarter hours","This class will introduce advanced production pipelines and techniques of 2D digital puppeting, with a focus on industry-standard software such as After Effects, Animate, and Harmony. Students will learn the evolution of puppet animation throughout history, the basics of visual design, rigging, and animating specific to 2D puppeted characters. Lectures and creative projects will give students the practical knowledge to create an organized workflow. Resulting in the ability to work independently and collaboratively to create well designed and animated 2D puppet animation. ANI 201(orANI 101) is a prerequisite for this class. ","(Undergraduate)"
"ANI 390","TOPICS IN ANIMATION","Animation (ANI)","4 quarter hours","Advanced study in animation focusing on a specific area each quarter.  May be repeated for credit. ANI 101orANI 201or consent of the instructor is a prerequiste for this class. ","(Undergraduate)"
"ANI 391","TOPICS IN ANIMATION WORKSHOP","Animation (ANI)","2-2.5 quarter hours","Specialized hands-on two-credit workshop instruction focusing on a specific advanced animation topic each quarter.  May be repeated for credit. ANI 201(orANI 101) is a prerequisite for this class. ","(Undergraduate)"
"ANI 392","TOPICS IN 3D ANIMATION WORKSHOP","Animation (ANI)","2-2.5 quarter hours","Specialized hands-on two-credit workshop instruction focusing on a specific advanced 3D animation topic each quarter.  May be repeated for credit. ANI 230is a prerequisite for this class. ","(Undergraduate)"
"ANI 393","TOPICS IN 3D ANIMATION","Animation (ANI)","4 quarter hours","Advanced study in 3D animation focusing on a specific area each quarter.  May be repeated for credit. ANI 230or consent of the instructor is a prerequisite for this class. ","(Undergraduate)"
"ANI 394","ANIMATION PROJECT I","Animation (ANI)","4 quarter hours","This production-based course is the first half of a two-course sequence that provides the student with an Animation capstone experience.  These courses connect the student's Animation coursework with their overall Liberal Studies coursework through three components: class lectures and discussions, independent analysis and reflection, and the creation of a significant animation project.  Students will employ the knowledge they have learned and the skills they have acquired in all their Animation courses to date to produce a significant animation project.  The course sequence is designed to be taken in two consecutive quarters. ANI 341or (ANI 340and a concentration in Storyboarding and Character Design) or (ANI 342and a concentration in Game Art or Visual Effects Animation, or major in CS+ANI ) or (ANI 340orANI 342and a concentration in Motion Graphics) ","(Undergraduate)"
"ANI 395","ANIMATION PROJECT II","Animation (ANI)","4 quarter hours","Continuation ofANI 394.  This production-based course is the second half of a two-course sequence that provides the student with an Animation capstone experience.  These courses connect the student's Animation coursework with their overall Liberal Studies coursework through three components: class lectures and discussions, independent analysis and reflection, and the creation of a significant animation project.  Students will employ the knowledge they have learned and the skills they have acquired in all their Animation courses to date to produce a significant animation project.  The course sequence is designed to be taken in two consecutive quarters. ANI 394is a prerequisite for this class. ","(Undergraduate)"
"ANI 396","ANIMATION CAPSTONE WORKSHOP","Animation (ANI)","2-2.25 quarter hours","This course allows students additional time to work with faculty on their Animation Capstone projects. Students will employ the knowledge they have learned and the skills they have acquired in all their Animation courses to date to produce a significant animation project. The course is only available to students enrolled in Animation Capstone coursesANI 394andANI 395.  PREREQUISITE(S): Must be concurrently enrolled inANI 394orANI 395. ANI 394orANI 395is a co-requisite for this class. ","(Undergraduate)"
"ANI 399","INDEPENDENT STUDY","Animation (ANI)","1-8 quarter hours","Independent study form and consent of instructor required. PREREQUISITE(S): Consent of dean. (Variable credit) ","(Undergraduate)"
"ANI 402","3D AUTO-RIGGING WORKSHOP","Animation (ANI)","2-2.25 quarter hours","In this course students will learn the use of Advanced Skeleton, one of the most comprehensive and advanced auto-riggers available in order to create professional level character rigs quickly and effectively.  Topics covered will include biped, quadruped, and custom rigs as well as custom controls, facial rigging, and blendshapes.  Students who already have completed character models will be able to use the workshop to prepare them for use in 3D production. ANI 423or equivalent experience in Maya is a prerequisite for this course. ","(Graduate)"
"ANI 411","3D PRINTING WORKSHOP","Animation (ANI)","2-2.25 quarter hours","3D printers have become an indispensable tool for artists, manufactures, and designers for quick physical realization of everything from character models to product designs.  In this workshop students will get a complete introduction to 3D printing.  Students will learn the basics of FDM, SLA, and SLS printing including assembly, calibration, slicing, model preparation, and materials.  Various techniques in modeling will be covered from organic sculpting in Zbrush to accurately engineered models in Fusion.  Personal projects and experimentation are encouraged. ANI 423or equivalent 3D modeling experience is a prerequisite for this course. ","(Graduate)"
"ANI 420","HAND-DRAWN ANIMATION","Animation (ANI)","4 quarter hours","This course is devoted to the complex aspects and techniques of classical drawn animation required to create convincing movement, frame to frame consistency, and character acting. Beginning with a review of the fundamentals and progressing to more complicated techniques, students will learn how to create unique and technically accomplished drawn animation as well as methods for its eventual clean-up, inking and coloring.  Contemporary uses of digital technology to enhance production will be emphasized. ANI 421orANI 321is a prerequisite for this course. ","(Graduate)"
"ANI 421","ANIMATION MECHANICS","Animation (ANI)","4 quarter hours","Students in this course will rigorously investigate the foundational aspects of animation through traditional and digital methods.  Basic principles, including timing, spacing and the abstraction of movement, will be analyzed and questioned through experimentation.  Students will experience how the process of making work can be used to generate emergent ideas, and be challenged to push the art form beyond the accepted conventions. PREREQUISITE(S): None. ","(Graduate)"
"ANI 422","ANIMATION HISTORY & PRACTICE","Animation (ANI)","4 quarter hours","The history of animation is explored with a focus on inspiring the students' own work. Students will be involved in an intense study of animation throughout history and around the world, and are required to view a large amount of work outside of class. Animations will be grouped by time period, theme, and/or technique. Through writing and group discussions they will examine the significance of the technique and subject matter. They will put this study into practice by creating short animated films based on their reactions to the films. ANI 321orANI 421orANI 423or equivalent 3D experienceis is a prerequisite for this course. ","(Graduate)"
"ANI 423","3D ANIMATION SURVEY","Animation (ANI)","4 quarter hours","This course is intended as an intensive overview for graduate students with NO prior 3D experience.  Topics include polygonal modeling tools, texturing, principles of 3D animation, basic rigging, camera, lighting and rendering.  Animation graduate students with proof of previous 3D experience should consult their advisor to substitute any Major Elective for this course. PREREQUISITE(S):  None. ","(Graduate)"
"ANI 425","STORYBOARDING I","Animation (ANI)","4 quarter hours","This class focuses on storyboarding and animatics as key pre-production tools for animation, film, and game development projects.  Areas of focus include narrative development, drawing, performance, and editing.  Students will apply these techniques to create an animatic: a comprehensive time-based draft for a short film. ","(Graduate)"
"ANI 426","VISUAL CONCEPT DEVELOPMENT","Animation (ANI)","4 quarter hours","This course focuses on visual development and styles guides for animation, cinema, and game projects. Coursework involves character design, environmental design, prop design, lighting, color, texture and layout. Students will practice visual research, drawing, and an array of digital tools to build the skills necessary to create an immersive world with a cohesive look and feel. PREREQUISITE(S): None. ","(Graduate)"
"ANI 427","HAND-DRAWN CHARACTER ANIMATION","Animation (ANI)","4 quarter hours","In this course, students will be introduced to the traditional art of hand-drawn character performance. Topics covered will include acting, body mechanics, volume, weight, walk cycles, dialogue and facial expression. ANI 421is a prerequisite for this class. ","(Graduate)"
"ANI 428","ANIMATION FIGURE STUDY I","Animation (ANI)","4 quarter hours","This studio class will focus on the drawing of the figure for use in animation, storyboarding, and character design. Students will gain a solid foundation in posing, gesture, and anatomy, and will learn how to give a character a sense of emotion and purpose. Students will gain experience and improve their drawing technique through weekly assignments and in-class exercises, including drawing from a live model.In addition to the regular meetings with the instructor, this course will include an extra 90 minute figure study lab with model per week, supervised by a graduate assistant. ","(Graduate)"
"ANI 429","STORYBOARDING III","Animation (ANI)","4 quarter hours","This course elaborates on the skills from Storyboarding II. Students will develop advanced techniques for storyboarding, staging, pre-production, character development and performance to support their original narrative stories. Rigorous exercises will emphasize visually dynamic composition, figure drawing applied to storyboarding, editing, continuity and sophisticated use of camera. Students will complete a final advanced storyboard and animatic edited with sound, which can be used as a portfolio piece for any aspiring storyboard artist. ANI 465is a prerequisite for this class. ","(Graduate)"
"ANI 430","3D CHARACTER ANIMATION","Animation (ANI)","4 quarter hours","This course explores the art and techniques for character performance in 3D. Students will study and employ fundamental principles for character animation beginning with the essentials of blocking and inbetweening, and continuing with core mechanics including walk cycles, expressions, and lip sync. Students are required to animate weekly shots culminating in a final lip synced character performance. ANI 423orANI 231or equivalent 3D modeling experience is a prerequisite for this course. ","(Graduate)"
"ANI 431","ADVANCED 3D CHARACTER ANIMATION","Animation (ANI)","4 quarter hours","This course introduces advanced concepts in 3D character animation that are necessary for achieving professional quality results.  Students will hone their skills through the study of advanced techniques for animating multiple characters, creating continuity, and building character through performance.  An emphasis will be placed on the exploration of movement for developing personal style. ANI 300orANI 430is a prerequiste for this class. ","(Graduate)"
"ANI 432","3D RIGGING","Animation (ANI)","4 quarter hours","Students will study the processes and techniques for creating professional quality character rigs. Following a professional production workflow, students will create character skeletons, learn aesthetic and technical considerations for skinning, learn techniques for optimal parametrization, and learn to construct character animation controls. ANI 231orANI 423or equivalent 3D experience is a prerequisite for this course. ","(Graduate)"
"ANI 433","ADVANCED 3D RIGGING","Animation (ANI)","4 quarter hours","This course will teach students to rig organic and inorganic objects. Students will learn to rig a ""stretchy spine"" along with a more detailed facial set up for a character. Other topics will include inorganic object rigging, quadruped rigging and the use of 3D scripting in rigging. ANI 231orANI 423or equivalent 3D experience is a prerequisite for this course. ","(Graduate)"
"ANI 434","VIRTUAL CINEMATOGRAPHY","Animation (ANI)","4 quarter hours","This course introduces real world cinematic techniques within a computer graphics environment. Emphasis is placed on camera movement, composition, pacing, lighting, and aesthetics. ANI 423is a prerequisite for this course. ","(Graduate)"
"ANI 435","3D CHARACTER MODELING","Animation (ANI)","4 quarter hours","This course will instruct students in the process of 3D polygonal based character modeling. Students will learn professional techniques for building quad-based polygon meshes with an extra emphasis on proper topology to help prepare their model for rigging. Students will learn complete UV unwrapping for the entire figure as well as effective techniques for advanced texturing. ANI 339orANI 439is a prerequiste for this class. ","(Graduate)"
"ANI 436","3D MODELING STUDIO","Animation (ANI)","4 quarter hours","Students in this course will broaden and improve their overall skill set by learning a range of modeling techniques. Students will complete several smaller projects that cover topics including speed modeling, efficient low-poly modeling, hard surface modeling, projection texturing, and advanced UV unwrapping techniques. The course will culminate in a final project in which the student will propose and complete an advanced model of their own design. ANI 231orANI 423or equivalent 3D experience is a prerequisite for this course. ","(Graduate)"
