"course_code","course_title","department","credits","description","level"
"ACC 312","ADVANCED FINANCIAL ACCOUNTING II","Accountancy (ACC)","4 quarter hours","Advanced Topics in Financial Accounting II is the final course in the financial accounting curriculum in Accountancy.  The course emphasizes financial accounting research using the FASB Accounting Standards Codification to determine the appropriate financial accounting for advanced level transactions and events.  Additionally, the course addresses the standard setting process in financial accounting as well as the role that the Securities and Exchange Commission fills in this process.  Governmental and nonprofit accounting topics are also covered along with fair value measurement, earnings quality and current developments in financial reporting. (A grade of C- or better inACC 305) and a grade of C- or better inACC 380are prerequisites for this class. ","(Undergraduate)"
"ACC 364","CPA REVIEW: REGULATION","Accountancy (ACC)","4 quarter hours","This section reviews knowledge of federal taxation, ethics, professional and legal responsibilities, and business law, and the skills needed to apply that knowledge in preparation for the Illinois CPA Examination. This course will also review the application process, tips for exam preparation, and a database simulation.  IMPORTANT NOTES: 1) This course does not fulfill any degree requirement, 2) there is a fee charged for this course in lieu of tuition, 3) this course is not eligible for financial aid. ","(Undergraduate)"
"ACC 365","CPA REVIEW: AUDIT/ATTESTATION","Accountancy (ACC)","4 quarter hours","This course reviews knowledge of U.S. generally accepted auditing standards (GAAS), risk assessment and response, evidence collection, PCAOB standards, standards related to attest and non-attest engagements, and standards relating to professional responsibilities issued by various bodies. This course will also review the application process, tips for exam preparation, and a database simulation. IMPORTANT NOTES: 1) This course does not fulfill any degree requirement, 2) there is a fee charged for this course in lieu of tuition, 3) this course is not eligible for financial aid. ","(Undergraduate)"
"ACC 366","CPA REVIEW: FINANCIAL ACCOUNTING AND REPORTING","Accountancy (ACC)","4 quarter hours","This course reviews knowledge of U.S. generally accepted accounting principles (GAAP) for business enterprises, not-for-profit organizations, and governmental entities. This course will also review the application process, tips for exam preparation, and a database simulation. IMPORTANT NOTES: 1) This course does not fulfill any degree requirement, 2) there is a fee charged for this course in lieu of tuition, 3) this course is not eligible for financial aid. ","(Undergraduate)"
"ACC 367","CPA REVIEW: BUSINESS ENVIRONMENT AND CONCEPTS","Accountancy (ACC)","4 quarter hours","This section reviews knowledge of the general business environment and business concepts that candidates need to know in order to understand the underlying business reasons for and accounting implications of business transactions, and the skills needed to apply that knowledge in preparation for the Illinois CPA Examination. This course will also review the application process, tips for exam preparation, and a database simulation. IMPORTANT NOTES: 1) This course does not fulfill any degree requirement, 2) there is a fee charged for this course in lieu of tuition, 3) this course is not eligible for financial aid. ","(Undergraduate)"
"ACC 370","PROFESSIONAL RESPONSIBILITIES & BUSINESS LAW","Accountancy (ACC)","4 quarter hours","This course covers the aspects of the legal environment of special concern to accounting practitioners, including: the ethical standards of accounting practice, legal liability of accountants, contract law, property law, tort law, commercial paper, the laws of agency, sales laws, banking, agency, partnerships, corporations, trusts and wills, suretyships, secured transactions, bankruptcy, employment law, securities regulation, antitrust, and public regulation and disclosure laws. A grade of C- or better inACC 102is a prerequisite for this class. ","(Undergraduate)"
"ACC 372","AUDITING I","Accountancy (ACC)","4 quarter hours","Auditing I provides a conceptual introduction to the nature and value of financial statement audits.  The course emphasizes the professional skepticism required of auditors in a changing ethical and legal environment including the Professional Ethics Rules and U.S. Securities laws.  The course focuses on Generally Accepted Auditing Standards (GAAS) that address engagement planning and execution including systems of internal control, audit procedures, evidence, and reporting. A grade of C- or better inACC 305is a prerequisite for this class. ","(Undergraduate)"
"ACC 374","AUDITING II","Accountancy (ACC)","4 quarter hours","Auditing II is a sequel to Auditing I (ACC 372). Auditing II builds upon the understanding and application of the Generally Accepted Auditing Standards (GAAS) Standards of Fieldwork to both analyze and evaluate audit procedures chosen and evidence obtained regarding classes of transactions and account balances. The course highlights common tools and techniques for planning and conducting audits including the use of sampling and data analysis when performing tests of controls and substantive tests. A grade of C- or better inACC 372is a prerequisite for this class. ","(Undergraduate)"
"ACC 375","FRAUD EXAMINATION AND FORENSIC AUDITING","Accountancy (ACC)","4 quarter hours","Fraud Examination and Forensic Accounting covers various aspects of fraud prevention and detection including the elements and costs of fraud, controls to prevent fraud, and methods of fraud detection. Guest speakers with expertise in fraud examination and forensic auditing play a significant role in this course including the presentation and use of an interactive, real-world fraud case. A grade of C- or better inACC 304or ACC 307 is a prerequisite for this class. ","(Undergraduate)"
"ACC 376","INTERNAL AUDITING","Accountancy (ACC)","4 quarter hours","Internal Auditing introduces a risk-based, process, and controls-focused internal audit approach. Topics include International Standards for the Professional Practice of Internal Auditing, internal control, corporate governance, risk assessment, evidence, audit documentation, and fraud risks.  The course highlights the use of systems-based audit techniques and sampling. Professional ethics and emerging issues in the profession are discussed. A grade of C- or better inACC 102is a prerequisite for this class. ","(Undergraduate)"
