course_code,course_title,course_description,course_credits
Introduction to Family Counseling,CJHS425,"This course provides an introduction to family systems theories, therapeutic approaches and counseling skills.  The student will gain a basic knowledge of the theoretical foundations of family counseling and specific family counseling skills.",5
CJ - Human Services Capstone,CJHS480,"A capstone course that focuses on chemical addiction issues and facilitates the integration of the knowledge gained in the program courses.  The course focuses on the application of skills through case study, application of law and ethical rules in a human services context.",4
Introduction to Criminal Justice,CJUS141,"This course surveys three main components of the criminal justice system - law enforcement, the courts and corrections. It includes an overview of the history, structure, functions, opportunities, and challenges faced by the current criminal justice system.",4
Law Enforcement Operations and Report Writing,CJUS201,"This course is an introduction to the role of law enforcement and police processes.  Students will examine organizational structure, supervision and administration of law enforcement agencies as well as the day-to-day field operations, leadership, policies, procedures, communication, information and performance evaluation process.  Special emphasis is placed on writing skills such as report writing.",4
Law Enforcement Operations,CJUS202,"This course is an introduction to the role of law enforcement and police processes. Students will have the opportunity to examine organizational structure, supervision and administration of law enforcement agencies as well as the day-to-day field operations, leadership, policies, procedures, communication, information and performance evaluation process.",4
Introduction to Cybercrime,CJUS240,"This course is designed to provide the student with an understanding of the nature of cybercrime, arguably what is likely to be the 21stcentury’s premier form of criminal activity.  The course will cover cyber economic crimes (including fraud and identity theft in all their major forms), hacktivism, and cyber-espionage (both industrial and governmental).  The course will also address law enforcement tools, policies, and efforts to combat cybercrime.",4
Introduction to Homeland Security,CJUS254,"An introduction to the theory and practice of homeland security in both the public and private sector at the national, regional, state, and local level.  An overview of the administrative, legislative, and operational elements of homeland security programs and processes (including a review of homeland security history, policies, and programs) is provided.  The course will touch on the following sub-disciplines within the enterprise: counterterrorism, emergency management, public health, transportation security, maritime security, border security, and critical infrastructure protection, as well as the agencies, organizations and institutions involved in these fields.",4
Ethics in Criminal Justice,CJUS261,This course explores the ethical and legal issues as they relate to the field of criminal justice. Students will work to develop a foundational understanding of the ethical standards for criminal justice professionals. Students will explore and apply ethical decision-making to various ethical dilemmas that may confront criminal justice professionals.,4.5
American Corrections,CJUS263,"The student will conduct a comprehensive examination of the adult corrections process and the history, sentencing alternatives, and future direction of correction modalities. The course also explores community corrections and the various methods used outside traditional correctional institutions.",4
Victimology,CJUS280,"This course addresses victimology as an emerging area of study in the field of criminal justice, and surveys society's emotionally and politically complex issues as they relate to victims of crime.  Victimology is an objective and scientific approach to the study of victims of various forms of crime, from battered women to auto theft, with special emphasis on victims of domestic violence, sexual assault and child abuse.",4
Juvenile Delinquency,CJUS285,"During this course, the student will survey the area of juvenile delinquency through the study of the theories of juvenile misconduct, the juvenile court system and methods of rehabilitation.",4
Criminal Law,CJUS290,"This course is a study of the general principles of criminal law.  Specifically it includes both the policy and procedure of criminal law, giving students the ability to apply the essential elements of general criminal law principles to specific substantive crimes.",4
Law Enforcement Report Writing,CJUS299,"This course provides an overview into the world of law enforcement reporting. Law enforcement reporting serves several purposes: recall for the individual writing the report, a description of the event for parties not present, and a legal document that serves as a record of the event. Students will explore the history and functionality of law enforcement reports. Students will have the opportunity to produce several types of law enforcement reports.",4
Cybersecurity and Policy,CJUS340,"This course explores cybersecurity law and policy in the United States.  The course surveys existing and emerging cybersecurity laws, institutions, frameworks, and policies.  Topics include policy aspects relating to:  national security and homeland security dimensions, privacy, public-private partnerships, information sharing, and asymmetric challenges of the Internet.",4
Criminology,CJUS343,"Criminology surveys the motivations of the criminal mind using both sociological and cognitive restructuring theories.  It presents an overview of the meaning of crime, crime statistics, theories of causation, criminal thinking and major offense areas, and describes methods for changing criminal behavior.",4
Community Corrections,CJUS350,"This course will provide a review of corrections in the community, including programs such as probation, parole, and other alternatives to incarceration, intermediate sanctions, and diversionary programs.  Emphasis in this course will be placed on alternatives to incarceration, intermediate sanctions and diversionary programs, and offender acceptance into these programs.",4
Community Policing,CJUS352,"Examines the history of community policing as well as challenges, benefits and current,
applications used by law enforcement agencies. Topics include traditional policing versus,
community oriented policing, need for community policing and its benefits, problems,
solving methods such as the SARA model, methods and applications, collaboration,
between police and citizens.",4
Criminal Courts,CJUS354,"What actually goes on in a criminal courtroom?  Who are the players?  What is the process involved in a criminal trial from start to finish?  These questions and others will be answered in this course.  Criminal courts will introduce the student to the issues criminal courts face, as well as the structure of the typical criminal court.  The student will also walk through the entire process of a typical criminal trial from arrest through post-conviction.",4
Loss Prevention,CJUS356,This course focuses on preventing loss and protecting assets in the private sector.  Retail and other losses can drive a business into bankruptcy if not dealt with properly.  This course introduces the student to the realities of business losses due to theft and teaches the student the strategies necessary to develop an effective loss prevention program in a business (to include retail) setting.,4
Legal Elements of Fraud,CJUS360,"This course provides an overview of the legal frameworks for addressing fraud, as well as special topics in evidence and expert witnesses as they pertain to fraud cases. Students will learn to identify different types of fraud, legal concepts relevant to fraud and the rules of evidence specific to fraud investigations.",4
Criminal Procedure,CJUS375,"Criminal Procedure provides an in-depth study of the criminal court system and Constitutional law. The defendantâs Constitutional rights are explored through case-law study and includes the basic underlying concepts of search and seizure, self incrimination, the right to counsel, the exclusionary rule, privacy, probable cause, reasonableness, and the rights guaranteed by the Fourth, Fifth, Sixth, and Eighth Amendments.",4
White Collar and Financial Crimes,CJUS380,This course introduces the student to the nature and scope of white collar and financial crimes.  Students will learn how to identify the various types of financial crimes and the methods and techniques used to investigate and prosecute this type of criminal activity.,4
Family and Domestic Violence,CJUS420,"An examination of the complex phenomenon of family and domestic violence and its impact on individuals, families, our society, and the legal system. Topics include a historical perspective, present-day approaches to combating family/domestic violence, psychological/physical abuse, abuse related to partners, elderly and children, response systems and mechanisms to prevent and treat.",4
Probation and Parole,CJUS422,"This course provides an in-depth evaluation of probation and parole systems in the United States.  Topics include pre-sentence investigations, duties and responsibilities of parole and probation officers, and offender evaluation, supervision, treatment and release.",4
Constitutional Law,CJUS424,"In this course, the student will discuss and analyze concepts of Constitutional Law as they apply to criminal justice.  The student will analyze criminal justice policies in terms of their effects on civil liberties and their impact on law enforcement and correctional practices.",4
Data Analysis in Criminal Justice,CJUS430,This course is designed to introduce students to decision-making based on criminal justice research and data.  Students will explore the use of criminal justice data in crime analysis and justice administration.  Students are introduced to strategic resource and asset allocation decision making based upon statistical analysis and predictive analysis.,4
Terrorism and Organized Crime,CJUS434,"This course is designed to introduce the criminal justice student to terrorism, terrorist organizations and criminal organizations.  Students will learn about the targets and tactics of these organizations.  Students will compare and contrast these organizations and analyze the nexus between terrorism and organized crime. The student will learn how these two types of organizations function, the differences and similarities in how they function, and how law enforcement and homeland security agencies deal with these organizations today.",4
The Laws of Evidence,CJUS440,"In this course, the student will be provided a thorough examination of the laws of evidence for criminal justice professionals. Topics include circumstantial and opinion evidence, hearsay, character evidence, relevancy and materiality, privileged communications, expert witness testimony, objections to and exclusion of evidence, and chain of custody.",4
Criminal Investigation,CJUS448,This course examines the skills needed to become a criminal investigator and the procedures criminal investigators use to manage a criminal investigation and prepare a case for court. The course also introduces the student to interview and interrogation techniques.,4
Forensic Criminology,CJUS450,"This course is designed to help develop an appreciation and understanding of crime scene analysis and management. Students will simulate documenting, collecting, preserving, and processing physical evidence correctly. They will analyze it thoroughly, and understand its relevance to the case with special emphasis on forensic science application and physical evidence recognition and collection.",4
Interview and Interrogation,CJUS460,"This course is designed to provide students with a knowledge base of general issues regarding effective techniques which apply to both accusatory and non-accusatory intake/interviews/interrogations.  The course includes information on the legal aspects of interrogations and the admissibility of confessions.  In addition to methods of achieving successful outcomes, topics include physiological and psychological aspects of interviews and interrogations, detecting deception, non-verbal behavior, and persuasion.  Students will train via recorded practicum of mock interviews and interrogations in an interrogation room setting.",4
Criminal Justice Capstone,CJUS484,"The criminal justice capstone facilitates the integration of the knowledge gained in other courses. The student will focus on the application of skills through case study, interviewing, application of law, and report writing.",4
Cybercrime Capstone,CJUS485,This course focuses on cybercrime issues and facilitates the integration of the knowledge gained throughout the program courses.  The focus of the course will be on cybercrime in the context of the criminal justice discipline with a particular focus on the implications of cyber-criminality and efforts to combat it on the future of law enforcement.,4
Advanced Research and Study,CJUS495,"This course provides the student an opportunity to engage in an independent, in-depth research project. Credits are assigned based on the complexity and depth of the research project that must be pre-approved by the department chair.",1-6
Advanced Review of Criminal Justice,CJUS600,"This course provides a thorough review of the primary components of criminal justice: law enforcement, courts and corrections.  The focus is on analyzing the primary components of the criminal justice system, their relationship to one another, and to the policy-making process.",4
Criminology and Public Policy,CJUS615,"This course examines the current discipline of criminology based on current research and its applications, in a variety of contexts such as Victimology, crime prevention, juvenile justice, and other issues.  Students will analyze crime policy and synthesize existing and emerging criminological theory affecting the development of criminal justice policy.  Students will utilize contemporary criminological theory and research to inform and develop public policy designed to address the causes and concerns of contemporary crime.",4
Court Services Management,CJUS620,"This course will cover the use of effective tools for case management and process analysis in the judicial system.  It includes court performance standards and explores the roles and purposes of courts, the internal and external environments in which they operate and management theory as applied to courses.",4
Issues of Diversity in Criminal Justice,CJUS625,"Regardless of age, race, gender, sexual orientation, political or cultural affinity, crime has an impact on all of our lives.  Todayâs criminal justice practitioner must understand the reality of a globally connected world, and appreciate how our differences can affect the way we deal with crime and criminal justice.  The focus of this course is to analyze how issues of diversity influence all aspects of the criminal justice system, and to develop ways to effectively and ethically address issues of diversity to achieve positive outcomes in a variety of criminal justice settings.",4
Law Enforcement Management,CJUS630,"This course will blend law enforcement theory and practice to create a proactive approach for successful management of personnel, resources, and services to the community.  The student will be involved in an in-depth study of management in law enforcement including operating principles, communication and the future of law enforcement.",4
Corrections Management,CJUS640,"This course provides comprehensive coverage of correctional administration.  It focuses on problem solving with real-life applications of issues for correctional administrators.  Students will develop or revise correctional policies that deal with the management of offenders, the prison setting, the correctional staff, and includes a look to the future of correctional administration.",4
Terrorism and Homeland Security Management,CJUS650,"This course covers security management, including risk assessment, planning and program administration, and explores the intergovernmental system relationships in homeland security.  The course will provide the student with an interdisciplinary approach in defining the various threats facing the U.S. criminal justice system and its strategies for preparedness, response, and recovery.",4
Special Topics in Criminal Justice,CJUS675,"This course addresses topics of current interest in the field of criminal justice, with an emphasis on research, and the application of research results to drive policy.  The course content will vary based on the evolution of the discipline.  The syllabus for a particular session will announce the topics for the course.",4
Graduate Criminal Justice Capstone,CJUS685,"The course is designed to integrate and synthesize all coursework in the Criminal Justice graduate program and related areas allowing the student to demonstrate the professional competencies associated with a broad conceptual and practical understanding of the criminal justice field.  Students will evaluate case studies and other materials to demonstrate written competency in the areas of research, professional responsibility, and management in the criminal justice field.  Students will analyze issues of law, policy, and society, allowing students to incorporate knowledge and experience as they apply ethical principles in developing effective strategies to confront issues facing practitioners within the realm of criminal justice.",4
Ethics and the Criminal Justice Leader,CJUS870,"This course addresses the role of ethics in criminal justice service and policy. The course is designed to prepare Criminal Justice leaders for the ethical issues and conflicts that are likely to arise in the field. Participants will explore various concepts, such as how does morality and realism affect criminal justice policy decision makers, and in what practical situations have ethics become an issue in criminal justice. Students will have the opportunity to evaluate a variety of ethical conflicts in criminal justice, and the results of those implementations.",4
Criminal Justice Organization and Management,CJUS872,"This course addresses various organizational systems in the Criminal Justice field, such as information and communication, policy, politics and accountability.  The course also addresses change management, organizational culture, and organizational development.  The course will also address the principles of budgeting, including cost-benefit analysis, evaluation, and the management and organization of the budgetary process.  Leadership, management, and budgeting challenges and issues facing Criminal Justice leaders will be addressed in the context of the environment in which criminal justice agencies operate and the specific challenges that they face.",4
Collaboration and Cooperation Within and Among Criminal Justice Agencies,CJUS874,"This course will address collaboration and cooperation within the criminal justice sphere.  The course will focus on collaboration and coordination with respect to issues such as interagency cooperation, unified command, and intelligence-sharing.  The course will also address collaboration and coordination in the context of the work that agency managers engage in with elected officials.  Finally, the course will address the challenges and processes involved in public policy development within the criminal justice sphere, to include public outreach, understanding legal and regulatory frameworks, and policy planning.",4
Diversity in Society and Criminal Justice,CJUS876,"This course addresses issues related to how diversity in today’s society impacts the Criminal Justice industry.  Students will gain an understanding the reality of a globally connected world, and appreciate how our differences can affect the way we deal with crime and criminal justice. The focus of this course is to analyze how issues of diversity influence all aspects of the criminal justice system, and to develop ways to effectively and ethically address issues of diversity to achieve positive outcomes in a variety of criminal justice settings.",4
Issues and Trends in Todayâs Criminal Justice Organizations,CJUS878,"The course focuses on the current issues and trends influencing the management challenges facing Criminal Justice leaders. Areas to be examined are contemporary political, managerial, and cultural issues impacting criminal justice organizations. The student will develop a critical understanding of contemporary issues in criminal justice leadership; identify and analyze the major trends impacting organizational function, processes, and accountability; review conceptual and theoretical models and strategies to meet the inherent challenges; and critically examine the leader's role in shaping and guiding organizational response to changing public expectations and demands.",4
Dynamic Interactions and Professional Presence,COMS102,"This course introduces students to the strategies and techniques needed to develop a professional presence. Students will explore how personal and professional development impacts effectiveness in the workplace. Assignments explore the concept of professional presence in relation to interpersonal dynamics and the communication needs of individuals, groups, and organizations.",4.5
Interpersonal Communications,COMS105,"This course explores the importance of effective interpersonal communication.  This course covers: how interpersonal communication impacts an individual, how to recognize the different methods of communication and establishing and maintaining personal and professional relationships through effective communication.",4.5
Technical and Professional Writing,COMS201,"This course covers technical and professional writing.  Students review and will be required to prepare a wide variety of documents including abstracts and/or executive summaries, mechanism and process descriptions, instructions, proposals, and requirement specifications. Special attention is given to adapting writing style to a particular audience, adjusting document mechanics and semantics for a specific purpose, formatting design elements in a consistent manner, and integrating graphics into a document.",4.5
Speech Communications,COMS203,"This course is designed to assist in sharpening students’ skills in oral communication with a focus on presenting in professional settings. Understanding basic communication concepts: brevity, precision and adherence to common delivery methods are hallmarks of clear, consistent and concise communication.",4.5
Communications in Public Sector Management,COMS210,"This course will focus on the development of knowledge and skills in managerial communications for the public sector.  Communication is one of the key areas that public sector managers and employees need to master in order to succeed in the context of rapidly changing environments, advances in communication technologies, and increasing measurement of performance.",4
Critical Interpretation of Documentary Film,COMS220,This course strives to teach students to become keen media consumers by reviewing documentary films critically.  Throughout the course students will review documentary films across various genres in order to understand how this form of media represents American society.  The critique techniques that will be utilized can be applied to other forms of media.,4.5
Problem Solving in Computer Science,CS101,"This course introduces  students to the foundational aspects of Computer Science as a discipline. Students will be provided with an overview of core Computer Science knowledge areas. The course  will discuss the spectrum of computation technologies and their typical applications. Finally, the course will discuss problem-solving techniques and critical thinking methods that are commonly used in Computer Science.",4
Problem Solving Concepts With C++,CS104,This course covers the fundamental problem solving approaches that lead to solutions suitable for implementation with a computer programming language. Solutions will be implemented using the essential elements of a modern programming language.  Students will also be introduced to the techniques of designing and documenting a problem solution.,4
Problem Solving Concepts with Python,CS107,This course covers the fundamental problem solving approaches that lead to solutions suitable for implementation with a computer programming language.  Solutions will be implemented in the modern programming language Python.  Students will be introduced to the techniques of designing and documenting a problem solution.,4
Programming With C++,CS115,"Students are introduced to the C++ programming language in this course.  The course includes the basic concepts of both the structured programming and object-oriented programming models.  Emphasis is on applying sound software engineering principles.  Basic declarations and statements, control structures, data and program design, arrays, text strings, pointers, abstraction, classes and objects are covered.  Students are required to complete several programs.",4
Programming in Python,CS117,"An introduction to the Python programming language -- an interpreted, high-level, dynamic-typed programming language.  Python supports the creation of program Scripts and Programs in the three most prominent programming models; namely, Algorithmic/Structured programming, Object-Oriented programming, and Functional programming.  This course emphasizes the algorithmic and object-oriented script programming concepts and features of Python. A major emphasis is on the built-in simple and composite data types provided in Python.  It also emphasizes the use of Python in developing programs/scripts for fast turnaround solutions for processing both structured and non-structured data.  Students are required to complete several scripting/program-related projects.",4
Principles of Programming Languages,CS118,"This course is designed to provide a comprehensive introduction of programming languages including assembly, scripting, procedural, and Object-Oriented languages. For each type of programming language, construction components and techniques will be presented and the main application suitability will also be discussed with real world examples. Students will also explore and apply common programming language constructs (e.g., data type, function, procedure, linear, branching, iteration, subroutines, etc.) through assignments in which students will be required to use proper language constructs to design programming logic. Students will also explore the process of problem-solving by programming.",4
Introduction of Programming,CS119,"This course introduces students to an introductory programming language which can demonstrate several common types of programming models such as scripting, procedural, and object-oriented programming in one language. The course covers algorithmic logic, basic declarations and statements, control structures, data and program design, basic concepts of object-orientation, and also covers how to organize multiple program components into a single programming project. Students will be required to complete several programming/scripting exercises throughout the course. The course will assist students in building up a practical foundation to study other programming languages.",4
Unix Fundamentals,CS126,"In this course, students explore end user interaction with the UNIX operating system.  This course examines the basic features of the UNIX operating system, UNIX commands, the UNIX file system, the UNIX shells, and shell programming.  It also draws comparisons between UNIX and Linux.",4
Fundamentals of Computer Organization and Architecture,CS141,"This course introduces students to the fundamentals of computer organization and architecture. Topics include basic assembly-level machine organization, memory system organization and architecture, computer interfacing and communication, multiprocessing and alternative architectures, as well as the concepts of performance and the architectural support for performance enhancements.",4
Introduction to UNIX,CS146,"This course introduces the UNIX operating system and examines its basic features.  Students learn common UNIX commands, the UNIX file system, UNIX editors, and the UNIX shells and are introduced to shell script programming.  The course requires the preparation of several exercises using the UNIX environment.",4
Intermediate C++ Programming,CS215,"This course builds upon the fundamental topics covered inCS115. The focus is on the more powerful features of C++ including I/O formatting, file I/O, overloading, inheritance, polymorphism, templates and exceptions. A major emphasis is on object-oriented program design, construction and test. Students are required to complete numerous programs using these advanced features.",4
Intermediate Python Programming,CS217,"This course builds upon the fundamental topics covered inCS117. The focus is on the more powerful features of Python including, I/O formatting; file I/O; handling run-time errors; advanced data structures;  inheritance; polymorphism; packages; graphical user interfaces (GUIs). A major emphasis is on object-oriented program design, construction and test. Students are required to complete numerous Python script programs using these more advanced features both individually and together.",4
Python Programming,CS219,"This course will give students the opportunity to extend their programming skills through use of Python programming language. The foundation of object-oriented and event-driven programming will be discussed and applied in this course. Topics studied will include the use of data structures, the creation of classes and objects, and the application of inheritance and polymorphism, etc. Students need to demonstrate an intermediate level competency of using Python to conduct programming tasks.",4
SQL Programming,CS221,"This course will give students the opportunity to extend their database knowledge and skills through applying the theory from CS252 into practical applications implemented by programming in Structured Query Language (SQL). In a lab setting, students will explore how to analyze a business problem, model data flow, create a conceptual and logical database designs, and implement these designs through programming in SQL. Students will also develop applications to access these databases. Students need to demonstrate an intermediate level competency of using SQL to develop database based applications.",4
Java Programming,CS226,"This course provides students an opportunity to learn Java, another object-oriented programming (OOP) language, through the development of a software application. Students will use various Java language features to create classes and objects, and apply inheritance to construct solutions. In a lab setting, students will use an IDE (Integrated Development Environment) to incrementally implement and test the software application. Students need to demonstrate an intermediate level competency of using Java to conduct programming tasks.",4
Linux Programming,CS227,"This course introduces students to the basic features of the Linux  operating system and the fundamentals of Linux programming. Through several hands-on exercises and projects, students will be exposed to the Linux utility commands, file system and directories, the Linux shells, and the shell script programming. Students need to demonstrate an intermediate level competency in Linux shell programming.",4
C++ Programming,CS228,"This course provides students an opportunity to learn C++, another object-oriented programming (OOP) language, through the development of  a  software application. Students will apply C++ language features to create classes and objects; and  also apply object-oriented features such as inheritance, operator overloading, polymorphism, and templates to construct solutions.  In a lab-oriented setting, students will incrementally implement and test  the software application. Students need to demonstrate an intermediate level competency of using C++ to conduct programming tasks.",4
Data Structures,CS230,"In this course a student learns the principles behind both simple and advanced data structures. Study includes data types, arrays, stacks, queues, lists and trees. Students demonstrate understanding of these principles through the completion of several programs.",4
Fundamentals of Data Structures,CS233,"This course introduces students to the principles and idiosyncrasies behind representatives of some of the different types of data structures. The course includes an examination of arrays, stacks, queues, lists, and trees. Students will study these principles through the completion of several programs.",4
Data Structures with C++,CS235,"In this course a student learns the principles behind both simple and advanced data structures. Study includes data types, arrays, stacks, queues, lists and trees. Students demonstrate understanding of these principles through the completion of several programs in the C++ language system.",4
Fundamentals of Database Systems,CS250,"This course introduces database design, and implementation and database management systems. Topics covered in this course include conceptual and logical database designs for several businesses, implementing these designs using a database management system and developing business applications that access these databases.",4
Structured Query Language,CS246,"This course gives complete coverage of the SQL database programming language and studies the concepts involved in the relational database model.  Storage, retrieval and manipulation of data are emphasized using SQL (Structured Query Language), DDL (Data Definition Language) and DML (Data Manipulation Language).  Students will complete several database projects using SQL.",4
Fundamentals of Database Systems,CS251,"This course introduces database design, and implementation and database management systems. Topics covered in this course include conceptual and logical database designs for several businesses, implementing these designs using a database management system and developing business applications that access these databases.",4
Introduction to Database Systems,CS253,"This course introduces the basic database management system (DBMS) concepts including relational data models, database management system architecture and components, as well as structured query language (SQL), etc. Topics such as conceptual, logical and physical database designs will be covered and applied for several small real-world database application projects.",4
Algorithms,CS265,"Students are introduced to the basic concepts of algorithm design analysis, including searching and sorting, hashing and information retrieval. Average and asymptotic behaviors are discussed.  Complexity issues are explored.",4
Computer Algorithms,CS267,"Students are introduced to classical algorithms, including searching and sorting, hashing and information retrieval, with an emphasis on their applicability to solve real-world problems. Basic techniques to analyze and design algorithms are covered.  Average and asymptotic behaviors are discussed. Complexity algorithms issues, performance characteristics, and estimating their potential effectiveness in applications are explored.",4
Special Topics in Computer Science,CS299,This course addresses issues of current interest in computer science.  Course content will vary as determined by student interest and evolution of the discipline.,1-6
Programming Mobile Apps,CS310,"This course addresses the commonalties and differences between the development process and workflow, application design methodology and principles, as well as the implementation tools for mobile computing as contrasted with those for desktop computing.  A project that considers the development processes and constraints of mobile computing will be undertaken. Each student builds a solution to a problem involving mobile computing, which is then presented to the simulated concerned stakeholders.",4
Mobile Programming,CS311,"As a foundation course for students looking to acquire programming skills in mobile platforms, this course introduces students to application development process for mobile devices. The course illustrates the commonalities and differences between the development process and workflow, application design methodology and principles, as well as the implementation tools for mobile computing as contrasted with those for desktop computing. The design and implementation constraints will be covered and addressed through a hand-on project to build a solution to a problem involving mobile computing.",4
Introduction to Parallel Computing,CS337,"Parallel programming is a  fundamental programming skill to construct high performance solutions for complicated computation tasks. This course introduces the basic concepts of parallel programming including parallel computer architectures, analytical modeling of parallel programs, and principles of parallel algorithm design, as well as effective techniques commonly used in  coding, debugging, and testing parallel software.",4
Operating Systems,CS340,"In this course, analysis of the design of modern operating systems is emphasized. The topics covered include basic capabilities of multi-program operating systems, virtual memory, resource allocation and management, concurrent processes and threads, protection, file systems, batch and interactive subsystems. Completion of the course requires the student to perform several lab exercises that investigate and exercise key operating system features.",4
Principles of Operating Systems,CS341,"In this course, students are introduced to the design and the implementation concepts of modern operating systems. The topics covered include basic capabilities of operating systems, virtual memory, resource allocation and management, concurrent processes and threads, deadlock detection and prevention, protection and security, I/O and file systems, batch and interactive subsystems. Completion of the course requires the student to perform several lab exercises that investigate and exercise key operating system features.",4
UNIX Systems Programming,CS345,"The student is introduced to the basic concepts of UNIX programming, including pipes, filters, concurrency and management of processes and resources. The design and implementation of UNIX Perl programs are discussed. Several programming projects are required.",4
User Interface Design,CS346,"Developing usable software products is vital in today’s competitive marketplace.  This course provides in-depth coverage of the computer human interface, user interface design, user profiling, prototyping and usability testing.  Note: this class does not require programming skills.",4
Web User Interface Design,CS347,"Developing useable software products is vital in todayâs competitive web marketplace. This course provides in-depth coverage of the computer human interface, user interface design, user profiling, prototyping and usability testing with special emphasis to web interface for multiple technologies (example:  mobile web devices, nettops, ipad, ipod, phone, speech recognition and navigation, etc).,
Note: This class does not require programming skills.",4
Software Engineering,CS349,"This course introduces students to the software development processes and methods. The course explains the traditional Software Development Life Cycle (SDLC) encompassing requirements collection and analysis, design, implementation, testing and the maintenance phases.  The course also introduces principles and techniques supporting topics such as software development project management, people management, software requirements, system models, software design, verification and validation, software maintenance and enhancements, and ethical responsibilities.",4
Advanced Database Systems,CS352,"This course continues the study of database design and implementation, emphasizing data warehousing, online analytical processing and distributed databases.",4
Foundations of Big Data Analytics,CS356,"Big data analytics is a critical tool to enable corporations to gain and keep their competitive advantages. To be able to apply various computer technologies to either establish or execute business related data analysis applications is a key skill for any professional with a computer science degree. This course explores the fundamental computer technologies that are required for utilizing a big data analytics applications, including how to store, pre-process, query and visualize big data, as well as how to extract the useful business information through various highly efficient data analysis techniques running on various types of computer platforms connected by various types of communication networks.",4
Principles of User Interface Design,CS361,"This course introduces students to the theories, principles, and practices of user interface design for computer-based systems. Topics such as the human computer interaction, user interface design framework,  platform consideration, user profiling, prototyping and usability testing will be covered.",4
Structured Query Language for Data Management,CS362,"This course gives complete coverage of SQL, with an emphasis on storage, retrieval and manipulation of data.",4
Software Engineering Methods,CS366,"Software Engineering Methods introduces students to the basic concepts of software engineering including lifecycles, methodologies, techniques, and tools.  This course provides an overview of requirements engineering, software design, implementation, testing, and the maintenance of software development products.",4
Streaming Data Analytics,CS367,"This course introduces students to the basic concepts of streaming data, which includes resources of streaming data, the characteristics and properties of various types of streaming data and the principles, models, methods and technologies that can be effectively applied for streaming data analytics. The course will examine the most common challenges of streaming data analytics—data collection, measurement, tracking, analysis, security, query processing and reporting. Students will conduct some case studies of the applications of streaming data analytics.",4
Fundamentals of Software Requirements,CS368,"This course introduces students to various practical techniques for conducting requirements elicitation, specification, analysis, and validation. The additional topics covered during this course include requirements traceability, software quality matrix, and use case scenario development.",4
Fundamentals of Software Design,CS374,"This course introduces students to the fundamentals of software design. Software Design consists of a set of commonly used design principles, design paradigms, design models, and design patterns. Through several working projects, students will learn how to choose proper design principles, design paradigms, design models and design patterns based upon the requirements specification. Also students will explore how to make correct adjustments to a design when some requirements have been changed.",4
Object Oriented Methods,CS377,"Object Oriented Methods introduces the student to the basic concepts of object-oriented analysis and design. Use case modeling, class modeling and state modeling using common notations are covered. Completion of several exercises and a final project are required.",4
NoSQL Databases,CS378,"This course introduces students to the foundation, application background, design and implementation principles of NoSQL databases. The course illustrates the commonalities and differences between NoSQL databases and relational databases.   The course covers how to best use different NoSQL databases in their working environments. The design of NoSQL-based applications in a variety of platforms such as Windows, Linux, and the Cloud is discussed. Students will develop procedures and processes to ensure scalability and availability of a NoSQL database based on the application requirements.",4
Machine Learning,CS379,"This course introduces students to the foundations, commonly used algorithms and techniques, as well as various types of applications of Machine Learning which is a branch of Artificial Intelligence. The course discusses the strengths and weaknesses of different machine learning methodologies  such as decision trees, neural networks, clustering, Naive Bayes, and regression based on the application requirements. Students will complete several small software assignments to implement Machine Learning functionality in a given application.",4
