course_code,course_title,course_description,course_credits
Taxation and Business Decisions,ACCT618,"The course covers the relationship between managerial decision-making and taxes.  Students will explore the taxation of different types of business entities and the individuals involved with the entities. Emphasizes the impact of tax considerations in business decisions such as compensation, mergers, acquisitions, and divestitures.",4
Taxation Research and Business Decisions,ACCT619,This course presents federal tax research strategies focusing on both primary and secondary sources. Students have the opportunity to utilize various research tools to make tax recommendations. The ethical considerations of tax decisions are explored as well as methods for navigating tax situations with the Internal Revenue Service.,4
Financial Reporting,ACCT628,This class focuses on a comprehensive examination of financial statements and accounting reporting standards. Students will gain an understanding of the information provided in corporate annual reports and how to evaluate the financial performance of an entity.,4
Forensic Accounting and Fraud Examination,ACCT635,"The primary objective of this course is for students to evaluate the role of forensic accounting in economic decision-making, financial reporting, and fraud investigations. Students have the opportunity to learn the fundamentals of forensic accounting examination and apply essential forensic accounting industry concepts.",4
Management Control and Auditing,ACCT644,"This course covers advanced auditing procedures and standards, as well as management control systems. Audit objectives, cycles, review, documentation, theory, and professional code of practice are covered. Other topics include risk assessment techniques, management control systems, and organization for control.",4
Advanced Auditing,ACCT645,"This course covers advanced auditing procedures and standards, as well as management control systems. Audit objectives, cycles, review, documentation, theory, and professional code of practice are covered. Other topics include risk assessment techniques, management control systems, and organization for control.",4
MBA Accounting Capstone,ACCT650,"The MBA Accounting Capstone uses the functional skills students have developed in previous core and concentration courses in this program - including accounting, business management and business strategy - to complete an in-depth project. The course requires the student to perform comprehensive research, analysis, and study on either a desired area of interest or a major business problem or issue that impacts the studentâs own company or organization. The student will utilize research methodologies to prepare a formal research report.",4
Artificial Intelligence in Real World Problem Solving,AI870,"This course is designed for students to develop fluency in the history, current status, and future of Artificial Intelligence (AI), as well as the concepts, technologies, and applications of AI. The course also focuses on assessing the impact of AI in solving problems in business and society.  The topics include analyzing the principles of applying AI in real world problem-solving; evaluating the suitability of a business application for a specific AI technique such as machine learning, neural networks and deep learning, gaming, or robotics; and developing a suitable AI strategy and AI ethics for an organization or business to gain competitive advantage.",4
Foundations of Data Management in Information Systems,BADA200,"This course focuses on organizational issues related to understanding information systems (IS), specific to the management of data. Students receive an overview of IS and explore the application, operation, and management of these systems. Students examine topics such as IS formulation and business alignment; data organization and storage; knowledge management; and IS impacts on organizations. Topics include databases and networking and their critical organizational importance, system application, and emerging technologies and trends for the future.",4
Introduction to Data Analytics for Business,BADA320,"This course focuses on the emergence of new data sources, and their influences in shifting the role of analytics from reporting data to explaining data for various stakeholders. Elements of the course will include discussion of the various regulatory organizations governing data sharing. Students examine the concepts of data analysis and how it informs organizational processes. Students are introduced to R programming language, SAS analytics, Key Performance Indicators (KPIs), and Enterprise Resource Planning (ERP).",4
