"subject","course_code","course_name","description","credits"
"African American Studies","AAS 531","African American Leaders and Movements","Study of African American leaders and movements in the United States, with emphasis on the period since World War II. Identical with . Cannot receive credit for both AAS 531 and . Prerequisite: 50 hours. Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 532","History of Ancient Egypt","History of ancient Egypt from its unification in approximately 3200 BCE through 500 CE. Foundation of this course is the political history of ancient Egypt, but special attention is paid to particular social history topics, such as the origins of monotheism during the Amarna Period, interactions with the outside world (especially with the ancient Near East, Nubia, and Classical Greece and Rome) and varied topics relating to daily life (e.g. early medicine and science, education, personal piety). A particular emphasis is placed on primary sources in translation and archaeological evidence. Identical with HST 532. Cannot receive credit for both AAS 532 and HST 532. May be taught concurrently with HST 632. Cannot receive credit for both HST 532 and HST 632. Recommended Prerequisite: HST 103. Lecture contact hours: 3 Typically offered: Demand","3"
"African American Studies","AAS 550","Modern African Politics","A comparative study of the political and economic systems of contemporary Africa with emphasis on sub-Saharan Africa. Ideologies and strategies pursued by selected African governments are covered, including an assessment of contemporary economic, political, and strategic ties within the region and internationally. The class will emphasize such areas as Mauritania, Senegal, Kenya, Somalia, Nigeria, and South Africa. Identical with . Cannot receive credit for both AAS 550 and . Prerequisite: . Recommended Prerequisite: 50 hours Lecture contact hours: 3 Typically offered: Fall","3"
"Accounting","ACC 109","The Accounting Cycle","Introduction to the basic accounting concepts related to the processing of transactions and preparation of an income statement and balance sheet. A student who has received credit for at the time of enrollment in ACC 109 will not receive credit for ACC 109. Lecture contact hours: 1 Typically offered: Demand","1"
"Accounting","ACC 121","Individual Tax Return Preparation","Principles of income tax with emphasis on the preparation of returns for individual taxpayers. Attention will be given to the proper reporting of income and deduction items. Lecture contact hours: 1 Typically offered: Demand","1"
"Accounting","ACC 201","Introduction to Financial Accounting","Methods and procedures employed in financial accounting with emphasis on development and interpretation of financial statements. A B grade or better is required to take or . Prerequisite: completion of 12 hours; and the General Education Focus on Quantitative Literacy requirement with a C grade or better. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 206","Accounting Choices and Methods","Comprehensive and accelerated examination of alternative accounting models, including electronic spreadsheet models, and their uses. Replaces and for Honors College students. Cannot be taken Pass/Not Pass. Prerequisite: . Lecture contact hours: 4 Typically offered: Fall, Spring","4"
"Accounting","ACC 209","Accounting Applications for Microcomputers","Use of the microcomputer and electronic spreadsheets to master the basic accounting cycle. Lecture contact hours: 1 Typically offered: Demand","1"
"Accounting","ACC 211","Introduction to Managerial Accounting","Methods and procedures employed in managerial accounting with emphasis on the use of accounting data for decision making. At least one spreadsheet project will be assigned. Cannot be taken Pass/Not Pass. Prerequisite: . Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 297","Topics in Accounting","A variable content course with topics that can change from semester to semester. Topics are identified by title in the schedule of classes. Typically offered: Demand","1-3"
"Accounting","ACC 300","Professionalism in Accountancy","Cases (including written and oral presentations) will focus on ethical and regulatory issues in accounting. Students will focus on professional behavior appropriate for accounting professionals. Research assignments are required Prerequisite: B- grade or better in and , or B- grade or better in , or B- grade or better in ACC 600; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 301","Intermediate Accounting I","Financial Accounting Theory applications to the accounting process of corporations. Review of financial statements; accounting for current and long-term assets. Cannot be taken Pass/Not Pass. Research assignments are required. May be taught concurrently with ACC 601. Cannot receive credit for both ACC 301 and ACC 601. Prerequisite: C grade or better in or higher or concurrent enrollment with a C grade or better in to progress in the program; and B- grade or better in or or ACC 600; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 302","Intermediate Accounting II","Continuation of intermediate accounting. Accounting for liabilities and equity. Cannot be taken Pass/Not Pass. Research assignments are required. May be taught concurrently with ACC 602. Cannot receive credit for both ACC 302 and ACC 602. Prerequisite: C grade or better in ; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 311","Managerial Cost Accounting","Function of cost accounting; means and methods of its applications in specific accounting situations. May be taught concurrently with ACC 610. Cannot receive credit for both ACC 311 and ACC 610. Prerequisite: C grade or better in or or ACC 600; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 321","Tax Accounting I","Principles of income tax accounting; current laws and income tax problems of individuals. Cannot be taken Pass/Not Pass. Research assignments are required. May be taught concurrently with ACC 620. Cannot receive credit for both ACC 321 and ACC 620. Prerequisite: B- grade or better in or or ACC 600; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
