"code","title","credits","description"
"WS 3391.","History of Women.","",""
"WS 3393.","Feminism of 1960's & 1970's.","",""
"WS 3394.","Gender, Health, & Medicine.","",""
"WS 4307.","Feminist Philosophy.","",""
"WS 4310.","Feminist Theory.","",""
"WS 4314.","Women, Power, & Politics.","",""
"WS 4360.","Jr/Sr Seminar/Women's Studies.","",""
"WS 4362.","Gender, Food, and Society.","",""
"COMM 1301.","Public Speaking.","",""
"COMM 1302.","Business/Profession Comm.","",""
"COMM 1370.","Intro To Communication Studies.","",""
"COMM 1611.","Written and Oral Communication.","",""
"COMM 2201.","Forensic Practicum: Debate.","",""
"COMM 2202.","Forensic Practicum: Ind Events.","",""
"COMM 2310.","Basic Multimedia Writing.","",""
"COMM 2330.","Principles of Advertising.","",""
"COMM 2342.","Intro. to Video Production.","",""
"COMM 2343.","Audio in Media.","",""
"COMM 2344.","Digital Video and Audio Prod.","",""
"COMM 2350.","Interpersonal Communication.","",""
"COMM 2352.","Persuasion  & Social Influence.","",""
"COMM 2372.","Mass Media and Society.","",""
"COMM 2373.","Intermediate Multimedia Writng.","",""
"COMM 3313.","News Gathering & Investigation.","",""
"COMM 3316.","Digital Photography.","",""
"COMM 3320.","Writing for PR & Corp Comm.","",""
"COMM 3321.","Public Relations.","",""
"COMM 3322.","Communication and Conflict.","",""
"COMM 3323.","Comm & Org Leadership.","",""
"COMM 3332.","Ad Design, Graphics & Layout.","",""
"COMM 3333.","Creative Strategy/Copywriting.","",""
"COMM 3336.","International Advertising.","",""
"COMM 3338.","Integrated Marketing Comm.","",""
"COMM 3339.","Consumer Psych & Advertising.","",""
"COMM 3340.","New Media Advertising.","",""
"COMM 3342.","Intermediate Media Production.","",""
"COMM 3343.","Video Editing.","",""
"COMM 3344.","Media Programming for Radio/TV.","",""
"COMM 3345.","Media Scriptwriting.","",""
"COMM 3353.","Intercultural Communication.","",""
"COMM 3354.","Small Group.","",""
"COMM 3355.","Organizational Communication.","",""
"COMM 3357.","New Communication Technologies.","",""
"COMM 3371.","Communication Theory/Analysis.","",""
"COMM 4300.","Communication Internship.","",""
"COMM 4312.","Feature Writing.","",""
"COMM 4313.","SR Capst: Digital News Bureau.","",""
"COMM 4323.","Case Studies -Public Relations.","",""
"COMM 4330.","Media Planning & Buying.","",""
"COMM 4331.","Ad Sales and Management.","",""
"COMM 4335.","Advertising Campaigns.","",""
"COMM 4341.","Media Announcing & Performance.","",""
"COMM 4346.","Documentary Video Practicum.","",""
"COMM 4350.","Selected Topics.","",""
"COMM 4352.","Contemporary Rhetoric.","",""
"COMM 4360.","Environmental Communication.","",""
"COMM 4361.","Environmental Conflict & Comm.","",""
"COMM 4362.","Gender and Communication.","",""
"COMM 4363.","Political Communication.","",""
"COMM 4364.","Communicating Positive Devian.","",""
"COMM 4365.","Comm Healthy Communities.","",""
"COMM 4366.","Communication of Public Herit.","",""
"COMM 4368.","Borderlands Communication.","",""
"COMM 4371.","Communication Law and Society.","",""
"COMM 4372.","Methods of Research in Comm.","",""
"FILM 1390.","Intro-Art of Motion Pict..","",""
"FILM 2396.","Video as Personal Expression.","",""
"FILM 3302.","Chicano Cinema.","",""
"FILM 3303.","The Border Image in Mex. Film.","",""
"FILM 3315.","Screenwriting.","",""
"FILM 3390.","Cinematic Auteurs.","",""
"FILM 3391.","African-American Filmmakers.","",""
"FILM 3394.","Documentary Cinema.","",""
"FILM 3395.","Women and Film.","",""
"FILM 4340.","Selected Topics/ Film Studies.","",""
"FILM 4390.","Film Theory and Criticism.","",""
"CS 1101.","Intro to Computer Science Lab.","",""
"CS 1110.","Intro to Problem Solving.","",""
"CS 1120.","Computational Thinking.","",""
"CS 1190.","Special Topics in Computing.","",""
"CS 1191.","Special Topics in Computing.","",""
"CS 1290.","Special Topics in Computing.","",""
"CS 1291.","Special Topics in Computing.","",""
"CS 1301.","Intro to Computer Science.","",""
"CS 1310.","Intro-Computational Thinking.","",""
"CS 1320.","Computer Programming Sci/Engr.","",""
"CS 1401.","Intro to Computer Science.","",""
"CS 2101.","Discrete Structures I.","",""
"CS 2202.","Discrete Structures II.","",""
"CS 2210.","Algo. Thinking in Prob. Solv..","",""
"CS 2302.","Data Structures.","",""
"CS 2401.","Elem. Data Struct./Algorithms.","",""
"CS 3195.","Junior Professionl Orientation.","",""
"CS 3331.","Adv. Object-Oriented Programng.","",""
"CS 3350.","Automata/Computabi/Formal Lang.","",""
"CS 3360.","Programming Language Concepts.","",""
"CS 3432.","Computer Organization.","",""
"CS 4173.","Computer Science Internship.","",""
"CS 4175.","Parallel Computing.","",""
"CS 4177.","Software Vulnerabilities.","",""
"CS 4273.","Computer Science Internship.","",""
"CS 4310.","Software Eng: Requirements Eng.","",""
"CS 4311.","Software Eng: Design & Implmnt.","",""
"CS 4316.","Computer Networks.","",""
"CS 4317.","Human-Computer Interaction.","",""
"CS 4318.","Wireless Networks.","",""
"CS 4320.","Artificial Intelligence.","",""
"CS 4330.","Mobile Application Development.","",""
"CS 4339.","Secure Web-Based Systems.","",""
"CS 4342.","Database Systems.","",""
"CS 4351.","Computer Security.","",""
"CS 4361.","Machine Learning.","",""
"CS 4362.","Data Mining.","",""
"CS 4363.","Computer Vision.","",""
"CS 4364.","Topics in Data Science.","",""
"CS 4365.","Topics in Soft Computing.","",""
"CS 4371.","Computer Science Problems.","",""
"CS 4373.","Computer Science Internship.","",""
"CS 4374.","Software Construction.","",""
"CS 4375.","Operating Systems Concepts.","",""
"CS 4376.","Comp Dcsn-Mkng & Risk Analysis.","",""
"CS 4379.","Software Reverse Engineering.","",""
"CS 4381.","Topics Software Engineering.","",""
"CS 4387.","Software Integration and V&V.","",""
"CS 4390.","Special Topics in Computer Sci.","",""
"CRW 3362.","Intro to Creative Writing.","",""
"CRW 3363.","Foundational Techniques.","",""
"CRW 3371.","Reading and Writing Fiction.","",""
"CRW 3372.","Reading and Writing Poetry.","",""
"CRW 3373.","Writing in Society.","",""
"CRW 3374.","Narrative Techniques.","",""
"CRW 3375.","Poetics.","",""
"CRW 3376.","Teaching Creative Writing.","",""
"CRW 4301.","Playwriting.","",""
"CRW 4302.","Screenwriting.","",""
"CRW 4303.","Non-Fiction.","",""
"CRW 4304.","Literary Translation.","",""
"CRW 4305.","Senior Seminar.","",""
"CRW 4306.","Honors Seminar.","",""
"CRW 4307.","Poetics and Performance.","",""
"CRW 4308.","Oral Hist Ethnog & Field Tech.","",""
"CRW 4309.","Independent Study.","",""
"CRIJ 1301.","Intro to Criminal Justice I.","",""
"CRIJ 1306.","Courts Systems and Practices.","",""
"CRIJ 1310.","Fundamentals of Criminal Law.","",""
"CRIJ 2313.","Correctional Systems & Practcs.","",""
"CRIJ 2314.","Criminal Investigation.","",""
"CRIJ 2328.","Police Systems and Practices.","",""
"CRIJ 3300.","Applied Research Methods in CJ.","",""
"CRIJ 3308.","Juvenile Justice.","",""
"CRIJ 3309.","Comm Corrections & Corr Cnslng.","",""
"CRIJ 3311.","Crime Control & Prevention.","",""
"CRIJ 3313.","Criminology.","",""
"CRIJ 3321.","Family Violence.","",""
"CRIJ 3351.","Crim Just on US-Mexico Border.","",""
"CRIJ 3389.","Criminal Justice Ethics.","",""
"CRIJ 4300.","Selected Topics - Crim Justice.","",""
"CRIJ 4301.","Readings in Criminal Justice.","",""
"CRIJ 4302.","Cyber Crime.","",""
"CRIJ 4303.","Crime, Criminal Justice & Film.","",""
"CRIJ 4309.","Internship in Crim Just I.","",""
"CRIJ 4310.","Internship in Crim Just II.","",""
"CRIJ 4311.","Immigration Law and Admin.","",""
"CRIJ 4312.","Criminal Procedure.","",""
"CRIJ 4313.","White Collar Crime.","",""
"CRIJ 4314.","Women in Criminal Justice.","",""
"CRIJ 4315.","Homicide.","",""
"CRIJ 4316.","Comp CJS & Transntl Crime.","",""
"CRIJ 4317.","Victimology.","",""
"CRIJ 4318.","Violence in America.","",""
"CRIJ 4319.","Street Gangs:Strctr,Act & Resp.","",""
"CRIJ 4320.","Crim Just Org and Management.","",""
"CRIJ 4321.","Organized Crime.","",""
"CRIJ 4385.","Study Abroad in Crim Justice.","",""
"CRIJ 4390.","Adv Concepts in Crim. Justice.","",""
"CRIJ 4399.","Research Practicum Crim Justic.","",""
"INSS 1301.","History and Security.","",""
"INSS 1302.","Geography and Security.","",""
"INSS 2302.","Security Studies.","",""
"INSS 2303.","Writing for Security Prof..","",""
"INSS 2304.","Statistics for Security Stud..","",""
"INSS 2305.","Modern Strategy.","",""
"INSS 3301.","Historical Dev of Nat'l Sec.","",""
"INSS 3302.","Sem in Intel and Nat'l Sec.","",""
"INSS 3310.","Intel & Counterterrorism.","",""
"INSS 3315.","Intel & Counterproliferation.","",""
"INSS 3320.","Counterintelligence & Security.","",""
"INSS 3340.","Seminar in Homeland Security.","",""
"INSS 3343.","Crime and Border Security.","",""
"INSS 3348.","Cyberspace & National Security.","",""
"INSS 3349.","Security Operations.","",""
"INSS 4301.","Intel Collection & Analysis.","",""
"INSS 4302.","Intel & Transnational Threats.","",""
"INSS 4303.","Ethics and Security.","",""
"INSS 4309.","Technical Intelligence.","",""
"INSS 4347.","Critical Infrastructure Prtctn.","",""
"INSS 4350.","Selected Problems in Intel.","",""
"INSS 4351.","Professional Practices.","",""
"INSS 4366.","Security Studies Internship.","",""
"INSS 4380.","Cybersecurity.","",""
"INSS 4390.","Senior Capstone.","",""
"ECON 2303.","Principles of Macroeconomics.","",""
"ECON 2304.","Principles of Microeconomics.","",""
"ECON 3302.","Intermed Macroeconomic Theory.","",""
"ECON 3303.","Intermed Microeconomic Theory.","",""
"ECON 3310.","Managerial Economics.","",""
"ECON 3320.","Money and Banking.","",""
"ECON 3325.","Public Choice.","",""
"ECON 3335.","Urban Economics.","",""
"ECON 3372.","Mathematical Economics.","",""
"ECON 3373.","Introduction to Econometrics.","",""
"ECON 3380.","History of Economic Thought.","",""
"ECON 4312.","Current Issues in Banking.","",""
"ECON 4320.","U.S.-Mexico Trade and Commerce.","",""
"ECON 4325.","International Economics.","",""
"ECON 4330.","Public Sector Economics.","",""
"ECON 4335.","Economics & Law.","",""
"ECON 4340.","Labor Economics.","",""
"ECON 4369.","Introductory Health Economics.","",""
"ECON 4398.","Independent Study in Economics.","",""
"ECON 4399.","Current Topics in Econ.","",""
"FIN 2350.","Managing Entrepreneur Finance.","",""
"FIN 3310.","Business Finance.","",""
"FIN 3315.","Investments.","",""
"FIN 3317.","Principles of Insurance.","",""
"FIN 3321.","Real Estate Finance & Investmt.","",""
"FIN 3325.","Money & Capital Markets.","",""
"FIN 3330.","Finance for Entrepreneurs.","",""
"FIN 3350.","Personal Financial Planning.","",""
"FIN 4310.","Managerial Finance.","",""
"FIN 4311.","Bank Management.","",""
"FIN 4311A.","Managerial Finance Laboratory.","",""
"FIN 4312.","Current Issues in Banking.","",""
"FIN 4315.","Portfolio Analysis.","",""
"FIN 4315A.","Portfolio Analysis Laboratory.","",""
"FIN 4316.","Analysis of Derivatives.","",""
"FIN 4318.","Fin Anal of Firm & Valuation.","",""
"FIN 4325.","International Finance.","",""
"FIN 4328.","Central Banking.","",""
"FIN 4329.","Bank Lending.","",""
"FIN 4340.","Actuarial Finance.","",""
"FIN 4341.","Actuarial Finance II.","",""
"FIN 4391.","FED Collegiate Adv Brd Resrch.","",""
"FIN 4396.","Internship in Finance.","",""
"FIN 4398.","Independent Study In Finance.","",""
"FIN 4399.","Current Topics in Finance.","",""
"HCMA 4310.","Intro Health Operations Mgmt.","",""
"HCMA 4320.","Fin Perform Mgmt in Healthcare.","",""
"HCMA 4340.","Healthcare Mgmt Practicum.","",""
"EDPC 1301.","Introduction to Ed Psychology.","",""
"EDPC 2300.","Intro to Child & Ad Devel.","",""
"EDPC 2350.","Trauma Inform Practices in Ed.","",""
"EDPC 3300.","Intro to Youth Dev & Spec Ed.","",""
"SPED 3310.","Intro to Inclusive Spec Ed.","",""
"SPED 3327.","Tchg Students with Hi Inc Dis.","",""
"SPED 3340.","Tchg Students with Lo Inc Dis.","",""
"SPED 3345.","Literacy Instruction for SWDs.","",""
"SPED 4330.","Asmt for Ind Instr for SWDs.","",""
"SPED 4340.","Transition Prog for SWDs.","",""
"SPED 4350.","Workshop in Special Education.","",""
"SPED 4360.","Sr Proj: Pedagogy & Community.","",""
"SPED 4365.","Positive Beh Sup for SWD's.","",""
"SPED 4393.","Spec Ed Residency I.","",""
"SPED 4394.","Internship in Spec Ed.","",""
"SPED 4691.","Spec Ed Residency II.","",""
"ECE 1100.","Lab forECE 1300.","",""
"ECE 1300.","Intro to Electr/Comp Eng.","",""
"ECE 2102.","Lab forECE 2302.","",""
"ECE 2103.","Lab forECE 2303.","",""
"ECE 2104.","Lab forECE 2304.","",""
"ECE 2300.","Software Design I.","",""
"ECE 2301.","Electric Circuits I.","",""
"ECE 2302.","Electric Circuits II.","",""
"ECE 2303.","Digital Systems Design I.","",""
"ECE 2304.","Microprocessor Systems I.","",""
"ECE 2331.","Cont. Time Signals & Systems.","",""
"ECE 3100.","Junior Prof. Orientation.","",""
"ECE 3141.","Lab forECE 3341.","",""
"ECE 3170.","Lab forECE 3370.","",""
"ECE 3193.","Undergraduate Service Learning.","",""
"ECE 3194.","Undergraduate Research.","",""
"ECE 3310.","Energy Conversion.","",""
"ECE 3320.","Electromagnetic Field Theory.","",""
"ECE 3331.","Discrete Time Signals & Sys.","",""
"ECE 3332.","Prob with App Elect/Comp Eng.","",""
"ECE 3341.","Electronics I.","",""
"ECE 3342.","Electronics II.","",""
"ECE 3343.","Applied Quantum Mech for EE.","",""
"ECE 3344.","Fund. of Semiconductor Dev.","",""
"ECE 3350.","Software Design II.","",""
"ECE 3351.","Computer Architecture.","",""
"ECE 3352.","Operating System Design.","",""
"ECE 3360.","Intro Robotics and Auto Syst.","",""
"ECE 3370.","Intro to Communication Netwks.","",""
"ECE 4140.","Lab forECE 4340.","",""
"ECE 4145.","Biomedical Instrumentation Lab.","",""
"ECE 4153.","Lab forECE 4353.","",""
"ECE 4154.","Lab forECE 4354.","",""
"ECE 4181.","Co-op Work Experiences.","",""
"ECE 4182.","Co-op Work Experiences.","",""
"ECE 4183.","Co-op Work Experiences.","",""
"ECE 4190.","Special Topics Lab in ECE.","",""
"ECE 4191.","Engineering Problems.","",""
"ECE 4193.","Undergrad Services Learning.","",""
"ECE 4194.","Undergraduate Research.","",""
"ECE 4201.","CpE Capstone Project Lab I.","",""
"ECE 4202.","CpE Capstone Project Lab II.","",""
"ECE 4203.","EE Capstone Project Lab I.","",""
"ECE 4204.","EE Capstone Project Lab II.","",""
"ECE 4301.","Computational Methods In EE.","",""
"ECE 4310.","Applied Photovoltaics.","",""
"ECE 4312.","Transmission Power Flow Cont..","",""
"ECE 4315.","Intro to Power Electronics.","",""
"ECE 4320.","Applied Electromagnetics.","",""
"ECE 4321.","Microwave Engineering.","",""
"ECE 4322.","Antenna Engineering.","",""
"ECE 4323.","High Resolution Radar.","",""
"ECE 4330.","Digital Signal Processing.","",""
"ECE 4332.","Real-Time Digital Signal Proc.","",""
"ECE 4335.","Digital Communications.","",""
"ECE 4336.","Fiber Optic Communication.","",""
"ECE 4338.","Systems and Controls.","",""
"ECE 4340.","VLSI Nanotechnology.","",""
"ECE 4341.","Theory & Appl Contemp Devices.","",""
"ECE 4345.","Biomedical Instrumentation.","",""
"ECE 4353.","Digital Systems Design II.","",""
"ECE 4354.","Microprocessor Systems II.","",""
"ECE 4355.","VLSI Design.","",""
"ECE 4360.","Foundations of Deep Learning.","",""
"ECE 4361.","Fuzzy Logic and Engineering.","",""
"ECE 4362.","Computer Vision.","",""
"ECE 4370.","Introduction to Cybersecurity.","",""
"ECE 4383.","Biomedical Signal & Image Proc.","",""
"ECE 4390.","Special Topics.","",""
"ECE 4391.","Engineering Problems Seminar.","",""
"ECE 4394.","Undergraduate Research.","",""
"ECE 4396.","Practicum in Elect & Comp Eng.","",""
"EL 1301.","Eng Innovation and Leadership.","",""
"EL 1402.","Fund of Lead, Design & Graph.","",""
"EL 2301.","Modeling and Simulation.","",""
"EL 3003.","Professional Practice I.","",""
"EL 3005.","Professional Practice II.","",""
"EL 3302.","Engineering Measurements.","",""
"EL 3303.","Professional Practice I.","",""
"EL 3304.","Engr Design:Products to People.","",""
"EL 3320.","Adv Fin Mgmt for the Engr.","",""
"EL 3330.","Eng Leadership Development.","",""
"EL 3331.","Engr Design:People to Products.","",""
"EL 3332.","Engr Entr: Products to People.","",""
"EL 3373.","Eng Prob. & Statistical Models.","",""
"EL 4171.","Eng Ed and Lead Problems.","",""
"EL 4191.","Independent Studies.","",""
"EL 4271.","Eng Ed and Lead Problems.","",""
"EL 4291.","Independent Studies.","",""
"EL 4330.","Engr Sustain Innov in Tech.","",""
"EL 4331.","Intellectual Property Law.","",""
"EL 4332.","Law and Commercialization.","",""
"EL 4334.","Eng Law & Ethics.","",""
"EL 4371.","Eng Ed and Lead Problems.","",""
"EL 4391.","Independent Studies.","",""
"EL 4393.","Special Topics in Eng and Lead.","",""
"EL 4395.","CD I:Definition & Exploration.","",""
"EL 4396.","CD II: Develop & Evaluation.","",""
"ENGL 0111.","Composition Workshop.","",""
"ENGL 0312.","Integrated Reading & Writing.","",""
"ENGL 1312.","Research & Critical Writ (C).","",""
"ENGL 1313.","Writing About Literature.","",""
"ENGL 2311.","English Literature.","",""
"ENGL 2312.","English Literature.","",""
"ENGL 2313.","Intro to American Fiction.","",""
"ENGL 2314.","Intro to American Drama.","",""
"ENGL 2318.","Intro to American Poetry.","",""
"ENGL 2320.","Introduction to Human Language.","",""
"ENGL 2322.","The Acad. Vocab. of English.","",""
"ENGL 2325.","Language in Culture & Society.","",""
"ENGL 3300.","Intro. to Literary Studies.","",""
"ENGL 3301.","Literary Studies.","",""
"ENGL 3302.","Literature and Film.","",""
"ENGL 3303.","Grammar and Writing.","",""
"ENGL 3304.","Gothic Literature.","",""
"ENGL 3305.","Children's Literature.","",""
"ENGL 3306.","Young Adult Literature.","",""
"ENGL 3307.","English Phonetics & Phonology.","",""
"ENGL 3309.","Detective Fiction.","",""
"ENGL 3310.","Chicana/o Literature.","",""
"ENGL 3311.","American Literature to 1865.","",""
"ENGL 3312.","Am. Literature 1865 to Present.","",""
"ENGL 3315.","African American Literature.","",""
"ENGL 3316.","Native American Literature.","",""
"ENGL 3317.","Postcolonial Literature.","",""
"ENGL 3318.","British Literature Before 1485.","",""
"ENGL 3319.","Sixteenth-Cent. Prose & Poetry.","",""
"ENGL 3320.","Shakespeare.","",""
"ENGL 3321.","Shakespeare's Plays and Poetry.","",""
"ENGL 3323.","17th Century Prose and Poetry.","",""
"ENGL 3325.","Literature of the Bible.","",""
"ENGL 3327.","Jewish American Literature.","",""
"ENGL 3328.","Holocaust Literature and Film.","",""
"ENGL 3329.","Early Modern British Drama.","",""
"ENGL 3330.","Restoration & 18th Century Lit.","",""
"ENGL 3331.","World Literature.","",""
"ENGL 3333.","Romantic Literature.","",""
"ENGL 3337.","Victorian Literature.","",""
"ENGL 3341.","History of Form I.","",""
"ENGL 3344.","Am. Poetry 1900 to Present.","",""
"ENGL 3349.","Multimdl & Hybrid Frms in ELA.","",""
"ENGL 3350.","English Laboratory.","",""
"ENGL 3351.","The Dynamics of Language.","",""
"ENGL 3352.","Reading and Writing Nonfiction.","",""
"ENGL 3353.","Reading/Responding/Literature.","",""
"ENGL 3357.","Computers and Writing.","",""
"ENGL 3358.","Special Topics in Writing.","",""
"ENGL 3360.","Women in Literature.","",""
"ENGL 3371.","Southwestern Literature.","",""
"ENGL 3374.","Folklore Of Mexican American.","",""
"ENGL 4308.","Chaucer.","",""
"ENGL 4309.","Milton.","",""
"ENGL 4314.","Literary Criticism.","",""
"ENGL 4316.","Am. Nonfiction/Poetry To 1900.","",""
"ENGL 4317.","American Fiction To 1900.","",""
"ENGL 4318.","Early 20TH Cent Am. Fiction.","",""
"ENGL 4319.","Am. Fiction 1945 to Present.","",""
"ENGL 4322.","The American Drama.","",""
"ENGL 4325.","British Drama Since 1880.","",""
"ENGL 4340.","Advanced Literary Studies.","",""
"ENGL 4347.","British Novel thru 18th Cent.","",""
"ENGL 4348.","British Novel: 19th Century.","",""
"ENGL 4349.","British Novel: 20th Century.","",""
"ENGL 4350.","Maj Am. Writer(s) through 1900.","",""
"ENGL 4351.","Maj Am Writer(s) since 1900.","",""
"ENGL 4354.","Writing Processes of Children.","",""
"ENGL 4355.","Tch Compos and Lit in Sec Schl.","",""
"ENGL 4357.","Sp Subjects in Engl for Tchers.","",""
"ENGL 4390.","Directed Study.","",""
"FORS 3351.","Toxicology.","",""
"FORS 3357.","DNA Structure and Analysis.","",""
"FORS 3370.","Forensic Science I.","",""
"FORS 3371.","Forensic Biology.","",""
"FORS 3375.","Forensic Pathobiology.","",""
"ESCI 1101.","Environmental Sci. Lab.","",""
"ESCI 1102.","Non-major Lab forESCI 1301.","",""
"ESCI 1202.","Intro to Environment Science 2.","",""
"ESCI 1301.","Intro to Environmental Sci.","",""
"ESCI 1310.","Field Methods in Env Science.","",""
"ESCI 3105.","Research Exp in Envi Science 2.","",""
"ESCI 3106.","Principles of Hydrology Lab.","",""
"ESCI 3192.","Prof. Development in ESCI.","",""
"ESCI 3201.","Environmental Policy & Law.","",""
"ESCI 3204.","Research Exp in Envi Science 1.","",""
"ESCI 3306.","Principles of Hydrology.","",""
"ESCI 3308.","Climate Science.","",""
"ESCI 4166.","Directed Study, Env. Sci..","",""
"ESCI 4266.","Directed Study, Env. Sci..","",""
"ESCI 4301.","Senior Project.","",""
"ESCI 4315.","Topics in Environmental Sci..","",""
"ESCI 4320.","Monitoring Regional Sust.","",""
"ESCI 4398.","Environmental Sci. Internship.","",""
"ESCI 4399.","Senior Thesis.","",""
"GEOG 1106.","Laboratory forGEOG 1306.","",""
"GEOG 1306.","Physical Geography.","",""
"GEOG 1310.","Cultural Geography.","",""
"GEOG 3306.","Weather and Climate.","",""
"GEOG 3308.","Climate Science.","",""
"GEOG 4307.","Geography of Arid Lands.","",""
"GEOL 1101.","GEOL UG seminar.","",""
"GEOL 1103.","Lab forGEOL 1313.","",""
"GEOL 1104.","Lab forGEOL 1314.","",""
"GEOL 1111.","Principles of Earth Sci - Lab.","",""
"GEOL 1112.","Laboratory for Geology 1212.","",""
"GEOL 1211.","Principles of Earth Sciences.","",""
"GEOL 1212.","Principles of Earth Science.","",""
"GEOL 1230.","The Blue Planet.","",""
"GEOL 1231.","Natural Hazards.","",""
"GEOL 1313.","Intro to Physical Geology.","",""
"GEOL 1314.","Intro to Historical Geol.","",""
"GEOL 2109.","Earth Materials Lab.","",""
"GEOL 2309.","Earth Materials.","",""
"GEOL 2358.","Quantitative Earth Sciences.","",""
"GEOL 3112.","Geoscience Processes Lab.","",""
"GEOL 3115.","Earth Materials II Lab.","",""
"GEOL 3123.","Structural Geology Lab.","",""
"GEOL 3126.","Lab for Sedim & Stratigraphy.","",""
"GEOL 3192.","Geosci. Prof. Develop..","",""
"GEOL 3215.","Earth Materials II.","",""
"GEOL 3312.","Geoscience Processes.","",""
"GEOL 3321.","Geology for Engineers.","",""
"GEOL 3323.","Structural Geology.","",""
"GEOL 3326.","Sedimentology & Stratigraphy.","",""
"GEOL 3359.","Resources for Earth & Society.","",""
"GEOL 4166.","Directed Study, Geology.","",""
"GEOL 4189.","Research in Geological Science.","",""
"GEOL 4266.","Directed Study, Geology.","",""
"GEOL 4308.","Paleoclimatology.","",""
"GEOL 4315.","Topics in Geological Sciences.","",""
"GEOL 4316.","Geochemistry.","",""
"GEOL 4321.","Digital Image Processing.","",""
"GEOL 4334.","Machine Learning in Geoscience.","",""
"GEOL 4335.","Soil Properties & Genesis.","",""
"GEOL 4345.","Python in Geosciences.","",""
"GEOL 4366.","Directed Study, Geology.","",""
"GEOL 4373.","Grndwater Contam and Reclam.","",""
"GEOL 4375.","Field Geology I.","",""
"GEOL 4376.","Field Geology II.","",""
"GEOL 4383.","General Hydrogeology.","",""
"GEOL 4384.","Nuclear Fuel Cycle.","",""
"GEOL 4385.","Introduction to GIS.","",""
"GEOL 4389.","Research in Geological Science.","",""
"GEOL 4390.","Intrnshp Geological Sciences.","",""
"GEOL 4399.","Senior's Thesis.","",""
"GEOP 3320A.","Introduction to Geophysics.","",""
"GEOP 4167.","Directed Study, Geophysics.","",""
"GEOP 4267.","Directed Study, Geophysics.","",""
"GEOP 4306.","Meteorology.","",""
"GEOP 4336.","Intro. to Remote Sensing.","",""
"GEOP 4350.","Field Geophysics.","",""
"GEOP 4367.","Directed Study, Geophysics.","",""
"GEOP 4420A.","Applied GeophysicsI-Nonseismic.","",""
"GEOP 4420B.","Applied Geophysics II-Seismic.","",""
"HIST 1301.","History of U.S. to 1865.","",""
"HIST 1302.","History of U.S. Since 1865.","",""
"HIST 2301.","World History to 1500.","",""
"HIST 2302.","World History Since 1500.","",""
"HIST 3301.","Colonial America to 1763.","",""
"HIST 3302.","Amer Revolution/New Nation.","",""
"HIST 3303.","The U.S.-Mexican War.","",""
"HIST 3304.","Antebellum America.","",""
"HIST 3305.","Civil War/Reconstruction Era.","",""
"HIST 3308.","United States Since 1941.","",""
"HIST 3309.","Mexican-American History.","",""
"HIST 3310.","American Legal History.","",""
"HIST 3312.","US in the World Since 1895.","",""
"HIST 3317.","History of Texas.","",""
"HIST 3321.","19th Century American West.","",""
"HIST 3322.","20th Century American West.","",""
"HIST 3323.","Indigenous Peoples of the US.","",""
"HIST 3325.","Hist Immigration/Ethnicity US.","",""
"HIST 3329.","African American History.","",""
"HIST 3334.","History of Premodern East Asia.","",""
"HIST 3335.","History of Modern East Asia.","",""
"HIST 3337.","Modern Africa.","",""
"HIST 3338.","History of Modern China.","",""
"HIST 3339.","Pyramids & Prophets.","",""
"HIST 3342.","The Spanish Borderlands.","",""
"HIST 3343.","US-Mexican Border.","",""
"HIST 3344.","Indigenous US-Mex Borderlands.","",""
"HIST 3345.","Christianity in Latin America.","",""
"HIST 3346.","Central America and Caribbean.","",""
"HIST 3347.","South America Since 1810.","",""
"HIST 3348.","Environmental Hist of Latin Am.","",""
"HIST 3349.","History of Mexico to 1900.","",""
"HIST 3350.","Modern Mexico.","",""
"HIST 3351.","Afro-Mexico.","",""
"HIST 3352.","African Diasporas-Latin Amer.","",""
"HIST 3353.","Asian Diasporas-Latin America.","",""
"HIST 3354.","Black Women of the Americas.","",""
"HIST 3355.","Colonial Latin America.","",""
"HIST 3356.","Modern Latin America.","",""
"HIST 3357.","Latin America and Film.","",""
"HIST 3360.","Ancient Greece.","",""
"HIST 3361.","Hellenism & the Coming of Rome.","",""
"HIST 3362.","The Medieval World.","",""
"HIST 3363.","The Roman Empire.","",""
"HIST 3367.","The Fr. Revol./Napoleonic Eras.","",""
"HIST 3368.","19th Cent. Europe, 1815-1900.","",""
"HIST 3369.","20th Century Europe, 1900-Pres.","",""
"HIST 3370.","Holocaust in Europe, 1933-1945.","",""
"HIST 3382.","Spain as a Global Empire.","",""
"HIST 3390.","History, Special Topics.","",""
"HIST 3391.","Gender and Women's History.","",""
"HIST 3393.","Indigenous Americas.","",""
"HIST 4301.","Internship in Public History.","",""
"HIST 4302.","Intro to Public History.","",""
"HIST 4303.","History and the Senses.","",""
"HIST 4325.","Junior-Senior Seminar.","",""
"HIST 4330.","Teaching History/Soc Studies.","",""
"HIST 4331.","Readings in Social Studies.","",""
"HIST 4390.","Directed Study.","",""
"ISBA 3301.","Intro to Data Process & Prog.","",""
"ISBA 3305.","Foundations of Info Sys & BA.","",""
"ISBA 3315.","Busi Analytics Applications.","",""
"ISBA 3325.","Adv Microcomp Bus Applications.","",""
"ISBA 3330.","Analytic Programming Tools.","",""
"ISBA 3340.","Org Impact-Information Tech.","",""
"ISBA 3342.","Busi Data Analysis & Visuali.","",""
"ISBA 3345.","Management Information Systems.","",""
