Course Code,Course Name,Credits,Level
SEDF 71400,Adol Dev & Lrng,3,Graduate
SEDC 74100,Adolescent Fieldwork (KC),1,Graduate
COMHE 77083,Adolescent Health,3,Graduate
COMHE 77083,Adolescent Health,3,Graduate
SEDC 72000,Adolescent Health and Safety,1,Graduate
SEDC 72050,Adolescent Health and Safety and DASA,-,Graduate
PH 77034,"Adolescent Health, Development and Interventions",3,Graduate
SPED 79902,Adolescents With Asd,3,Graduate
SPED 75600,"(Adsup 756, Cedc 756, Cedf 756) Professional Discourse and Leadership In Gifted Education",3,Graduate
EDESL 78968,Adult Assessment,3,Graduate
EDESL 78960,Adult Based Literacy,3,Graduate
EDESL 77000,Adult ESL Curr Mtrls,4,Graduate
EDESL 70215,Adult ESL Literacy & Beginning Students,2,Graduate
NURS 76700,Adult-Gerontology Clinical Nurse Specialist 2,5,Graduate
NURS 76600,Adult-Gerontology Clinical Nurse Specialist I,5,Graduate
SSW 79753,Adv Admin,3,Graduate
NURS 75800,Adv Beh Pat O Ad:Nu3,3,Graduate
BIOCH 71000,Adv Biochemistry Lec,3,Graduate
EDFDN 71900,Adv Child Developmnt,3,Graduate
COMSC 75400,Adv Clin Prac Audiol,2,Graduate
COMSC 73501,Adv Clin Prac in Slp,2,Graduate
PHYS 851U1,Adv Condensed Matter,4,Graduate
MUS 72600,Adv Counterpnt & Fugue,3,Graduate
SEDC 72500,"Adv Curriculum Development in World History & Global Education for Urban Contexts, Grades 7-12 (KC)",3,Graduate
COMSC 74600,Adv Diag Meth Audiol,4,Graduate
EDFDN 76000,Adv Ed Psych Bi-Ling,3,Graduate
EDFDN 71000,Adv Educ Psychology,3,Graduate
EDUC 73100,Adv Elem Reading,3,Graduate
PSYCH 70106,Adv Exp Psych,6,Graduate
PSYCH 701U4,Adv Exper Psych 1,4,Graduate
PSYCH 702U0,Adv Exper Psych 2,6,Graduate
PSYCH 70204,Adv Exper Psychology,4,Graduate
SPED 70151,Adv Ld: Assessment,3,Graduate
