"subject","course_code","course_name","description","credits"
"African American Studies","AAS 290","Independent Study","College of Arts and Sciences   In-depth exploration of a problem or problems. Individual independent study upon a plan submitted by the student. Admission by consent of supervising instructor or instructors and the department.  Repeatable","1-6 credit(s)"
"African American Studies","AAS 300","Selected Topics","College of Arts and Sciences   Exploration of a topic (to be determined) not covered by the standard curriculum but of interest to faculty and students in a particular semester.  Repeatable","1-6 credit(s)"
"African American Studies","AAS 302","Contemporary African American Theater","College of Arts and Sciences   Themes, images, and aesthetics of contemporary African theater examined through works of contemporary Black playwrights, scholars, and critics. Includes behind-the-scenes study of an African American theater production.  Shared Competencies Communication Skills","3 credit(s)  Every semester"
"African American Studies","AAS 303","Black Women Writers","College of Arts and Sciences   Crosslisted with WGS 303   Literature and scholarship by Black women writers. Analytical reading, writing and discussion of various topics, stylistic questions, strategies generated in autobiography, fiction, drama, poetry, speeches and scholarship: 1960’s to present, and earlier times. Bambara, Davis, Hurston, Jones, Lorde, Morrison, Williams.  Shared Competencies Critical and Creative Thinking ; Ethics, Integrity, and Commitment to Diversity and Inclusion","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 304","Workshop:African American Theater","College of Arts and Sciences   How text of play by Black writer is realized in an on stage production. Introduction to aspects of production (costuming, lighting, sound) and study of play selected and related materials. Production experience by work on full stage production.  Shared Competencies Communication Skills","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 305","African Orature","College of Arts and Sciences   Theory and practice of African orature. Exploration of ethics and aesthetics through study of main genres, selected texts, and film. Discourse on application and linkages with Caribbean and African American orature forms.","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 306","African American Politics","College of Arts and Sciences   Crosslisted with PSC 306   Introduction to the African American experience in the American political system, from the colonial period to the present. Organization/leadership, federal institutions/relations, sociopolitical movements, and electoral politics.  Shared Competencies Ethics, Integrity, and Commitment to Diversity and Inclusion ; Civic and Global Responsibility","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 307","African Women Writers","College of Arts and Sciences   Crosslisted with WGS 307   Literature in English and translation by African women writing from a variety of cultural stances and geographic locations in Africa, Europe and North America. Writing styles and creative modes of expression used by African women writers to convey and envision the life of their work. Adichie, Aidoo, Dangaremba, El Sadaawi, Liking, Mbye d’Ernville, Tadjo.","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 309","Race, Gender and Sexuality in the African Diaspora","College of Arts and Sciences   Crosslisted with SOC 309  , WGS 309   To introduce students to the reality of how institutional racism informs the “common sense” understanding of what is known as Black sexuality.  Shared Competencies Ethics, Integrity, and Commitment to Diversity and Inclusion","3 credit(s)  Every semester"
"African American Studies","AAS 310","Elements of Theater Production","College of Arts and Sciences   A practical look at various steps of production, while accessing factors which contribute to successful theater.  Repeatable 1 time(s), 6 credits maximum","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 312","Pan Africanism","College of Arts and Sciences   Impact of Pan African thought and action in the 20th century. Focus on social movements and ideas reflected in the Pan African movement in the continent and the African diaspora.  Shared Competencies Civic and Global Responsibility ; Critical and Creative Thinking","3 credit(s)  At least 1x fall or spring"
"African American Studies","AAS 327","History of Southern Africa","College of Arts and Sciences   Begins before arrival of Europeans in southern Africa. Economic, geographic, sociological, and political factors contributing to development of this unique, racially based modern state. Includes Afrikaaner diaspora, Euro-African conflict during the nineteenth century, Anglo-Boer War, from union to apartheid, and resistance to European domination.","3 credit(s)  Irregularly"
