"course_code","course_title","department","credits"
"GLY 2010C","PHYSICAL GEOLOGY.","GLY: Geology","4"
"GLY 2160","GEOLOGY OF NATIONAL PARKS.","GLY: Geology","3"
"GLY 2930","SELECTED TOPICS IN GEOLOGY.","GLY: Geology","1-3"
"GRA 1109","HISTORY OF GRAPHIC DESIGN.","GRA: Graphic Arts","3"
"GRA 1142C","GRAPHIC DESIGN ESSENTIALS.","GRA: Graphic Arts","5"
"GRA 1180C","PORTFOLIO PREP.","GRA: Graphic Arts","1"
"GRA 1203C","LAYOUT, DESIGN AND COPY PREPARATION.","GRA: Graphic Arts","3"
"GRA 1206C","FUNDAMENTALS OF TYPOGRAPHY.","GRA: Graphic Arts","3"
"GRA 1413","PROFESSIONAL DEVELOPMENT FOR DESIGNERS.","GRA: Graphic Arts","1"
"GRA 1751","INFORMATION ARCHITECTURE.","GRA: Graphic Arts","2"
"GRA 1920C","LETTERING WORKSHOP.","GRA: Graphic Arts","3"
"GRA 1933C","FUNDAMENTALS OF CREATIVE THINKING.","GRA: Graphic Arts","3"
"GRA 1951C","PORTFOLIO REVIEW.","GRA: Graphic Arts","1"
"GRA 1956C","PHOENIX DESIGN PROJECT.","GRA: Graphic Arts","3"
"GRA 2108C","DESIGN STUDIO.","GRA: Graphic Arts","3"
"GRA 2113C","ADVANCED GRAPHIC DESIGN I.","GRA: Graphic Arts","3"
"GRA 2121C","PUBLICATION DESIGN.","GRA: Graphic Arts","3"
"GRA 2132C","ADVANCED INTERACTIVE DESIGN I.","GRA: Graphic Arts","3"
"GRA 2133C","INTERMEDIATE INTERACTIVE DESIGN.","GRA: Graphic Arts","3"
"GRA 2134C","ADVANCED INTERACTIVE DESIGN II.","GRA: Graphic Arts","3"
"GRA 2141C","WEB DESIGN.","GRA: Graphic Arts","3"
"GRA 2143C","ADVANCED WEB DESIGN.","GRA: Graphic Arts","3"
"GRA 2151C","ILLUSTRATING.","GRA: Graphic Arts","3"
"GRA 2156C","VECTOR ILLUSTRATION.","GRA: Graphic Arts","3"
"GRA 2182C","ADVANCED GRAPHIC DESIGN II.","GRA: Graphic Arts","3"
"GRA 2201C","ELECTRONIC IMAGING.","GRA: Graphic Arts","3"
"GRA 2207C","ADVANCED IMAGE EDITING.","GRA: Graphic Arts","3"
"GRA 2225C","ADVANCED TYPOGRAPHY.","GRA: Graphic Arts","3"
"GRA 2310C","GRAPHIC REPRODUCTION PROCESSES.","GRA: Graphic Arts","3"
"GRA 2425","BUSINESS & ETHICS OF GRAPHIC DESIGN.","GRA: Graphic Arts","3"
"GRA 2585C","USER INTERFACE DESIGN.","GRA: Graphic Arts","3"
"GRA 2723C","CSS DESIGN.","GRA: Graphic Arts","3"
"GRA 2724C","ADVANCED CSS DESIGN.","GRA: Graphic Arts","3"
"GRA 2755C","WEB DEVELOPMENT FOR DESIGNERS.","GRA: Graphic Arts","3"
"GRA 2930","SELECTED TOPICS IN GRAPHIC ARTS.","GRA: Graphic Arts","1-3"
"GRA 2942","INTERNSHIP IN GRAPHICS.","GRA: Graphic Arts","1-4"
"HFT 1000","INTRODUCTION TO HOSPITALITY AND TOURISM INDUSTRY.","HFT: Hospitality Management","3"
"HFT 1300","MANAGING HOUSEKEEPING OPERATIONS.","HFT: Hospitality Management","3"
"HFT 1410","FRONT OFFICE MANAGEMENT.","HFT: Hospitality Management","3"
"HFT 1820","FOOD AND BEVERAGE PURCHASING.","HFT: Hospitality Management","3"
"HFT 2021C","BEER, WINE, AND BEVERAGE ESSENTIALS.","HFT: Hospitality Management","3"
"HFT 2040","CONVENTION SERVICES.","HFT: Hospitality Management","3"
"HFT 2210","HOSPITALITY MANAGEMENT AND LEADERSHIP.","HFT: Hospitality Management","3"
"HFT 2220","HOSPITALITY HUMAN RESOURCES MANAGEMENT.","HFT: Hospitality Management","3"
"HFT 2240","GUEST SERVICE MANAGEMENT.","HFT: Hospitality Management","3"
"HFT 2245","GUEST SERVICE MANAGEMENT.","HFT: Hospitality Management","3"
"HFT 2254","LODGING OPERATIONS.","HFT: Hospitality Management","3"
"HFT 2261","RESTAURANT AND FOODSERVICE MANAGEMENT.","HFT: Hospitality Management","3"
"HFT 2263","RESTAURANT AND FOODSERVICE MANAGEMENT.","HFT: Hospitality Management","3"
"HFT 2390","INTRODUCTION TO THEME PARK AND ATTRACTIONS MANAGEMENT.","HFT: Hospitality Management","3"
"HFT 2401","HOSPITALITY INDUSTRY FINANCIAL ACCOUNTING.","HFT: Hospitality Management","3"
"HFT 2461","HOTEL SALES AND REVENUE MANAGEMENT.","HFT: Hospitality Management","3"
"HFT 2500","MARKETING IN THE HOSPITALITY INDUSTRY.","HFT: Hospitality Management","3"
"HFT 2600","HOSPITALITY LAW.","HFT: Hospitality Management","3"
"HFT 2630","SECURITY ISSUES AND RISK MANAGEMENT IN THE HOSPITALITY INDUSTRY.","HFT: Hospitality Management","3"
"HFT 2750","THE EVENT INDUSTRY.","HFT: Hospitality Management","3"
"HFT 2840","TABLE SERVICE ETIQUETTE.","HFT: Hospitality Management","1"
"HFT 2861C","BEVERAGE MANAGEMENT AND SERVICE.","HFT: Hospitality Management","3"
"HFT 2863C","FINE SPIRITS MANAGEMENT AND MIXOLOGY.","HFT: Hospitality Management","3"
"HFT 2867C","WINE ESSENTIALS.","HFT: Hospitality Management","3"
"HFT 2872C","BEVERAGE MANAGEMENT AND SERVICE.","HFT: Hospitality Management","3"
"HFT 2930","SELECTED TOPICS IN HOSPITALITY MANAGEMENT.","HFT: Hospitality Management","1-3"
"HFT 2941","INTERNSHIP EXPLORATION IN HOSPITALITY AND TOURISM.","HFT: Hospitality Management","1-4"
"HFT 2942","INTERNSHIP IN HOSPITALITY AND TOURISM.","HFT: Hospitality Management","1-4"
"HFT 2943","INTERNSHIP IN RESTAURANT MANAGEMENT.","HFT: Hospitality Management","1-4"
"HFT 2945","HOSPITALITY MANAGEMENT FIELD EXPERIENCE II.","HFT: Hospitality Management","6"
"HFT 2946","HOSPITALITY MANAGEMENT FIELD EXPERIENCE III.","HFT: Hospitality Management","6"
"HIM 1000","INTRODUCTION TO HEALTH INFORMATION MANAGEMENT.","HIM: Health Information Management","2"
"HIM 1012","LEGAL ASPECTS OF HEALTH INFORMATION MANAGEMENT.","HIM: Health Information Management","3"
"HIM 1110","HEALTH DATA CONCEPTS.","HIM: Health Information Management","3"
"HIM 1211","HEALTH INFORMATION TECHNOLOGIES.","HIM: Health Information Management","3"
"HIM 1430","PRINCIPLES OF DISEASE.","HIM: Health Information Management","3"
"HIM 1453","ANATOMY AND PHYSIOLOGY.","HIM: Health Information Management","3"
"HIM 1800L","PROFESSIONAL PRACTICE EXPERIENCE.","HIM: Health Information Management","3"
"HIM 2214","HEALTH CARE STATISTICS AND RESEARCH.","HIM: Health Information Management","2"
"HIM 2222C","BASIC ICD CODING.","HIM: Health Information Management","4"
"HIM 2253","BASIC CPT CODING.","HIM: Health Information Management","3"
"HIM 2500","QUALITY AND PERFORMANCE IMPROVEMENT.","HIM: Health Information Management","2"
"HIM 2512","SUPERVISION, ORGANIZATION, AND MANAGEMENT.","HIM: Health Information Management","2"
"HIM 2729C","ADVANCED ICD CODING AND REIMBURSEMENT.","HIM: Health Information Management","4"
"HIM 2810L","PROFESSIONAL PRACTICE EXPERIENCE II.","HIM: Health Information Management","2"
"HIM 2820L","PROFESSIONAL PRACTICE EXPERIENCE III.","HIM: Health Information Management","3"
"HIM 2960","HEALTH INFORMATION TECHNICIAN REVIEW.","HIM: Health Information Management","3"
"HIS 2935","SELECTED TOPICS IN HISTORY.","HIS: Gen History/Histriography","1-3"
"HIS 2941","INTERNSHIP EXPLORATION IN HISTORY.","HIS: Gen History/Histriography","1-4"
"HLP 1081C","FITNESS AND WELLNESS FOR LIFE I.","HLP: Health, Leisure, & Phys Ed","3"
"HLP 1090","MINDFULNESS BASED STRESS REDUCTION.","HLP: Health, Leisure, & Phys Ed","2"
"HLP 1093","MEDITATION FOR STRESS MANAGEMENT.","HLP: Health, Leisure, & Phys Ed","2"
"HLP 1094C","MEDITATION FOR STRESS MANAGEMENT II.","HLP: Health, Leisure, & Phys Ed","2"
"HLP 2550C","CONCEPTS OF PERSONAL TRAINING.","HLP: Health, Leisure, & Phys Ed","3"
"HLP 2930","SELECTED TOPICS IN HEALTH AND FITNESS.","HLP: Health, Leisure, & Phys Ed","1-3"
"HOS 2005C","PRINCIPLES OF HYDROPONICS.","HOS: Horticultural Sciences","3"
"HOS 2932","SELECTED TOPICS IN HORTICULTURE & LANDSCAPE TECHNOLOGY.","HOS: Horticultural Sciences","1-4"
"HOS 2941","INTERNSHIP EXPLORATION IN LANDSCAPE/HORTICULTURE.","HOS: Horticultural Sciences","1-4"
"HOS 2942","INTERNSHIP IN LANDSCAPE/HORTICULTURE.","HOS: Horticultural Sciences","1-4"
"HSA 1100","HEALTH CARE DELIVERY SYSTEMS.","HSA: Health Services Admin","3"
"HSA 2010","ISSUES AND TRENDS IN PUBLIC HEALTH.","HSA: Health Services Admin","3"
"HSA 2117","HEALTH CARE DELIVERY.","HSA: Health Services Admin","3"
"HSA 2322","HEALTH INSURANCE.","HSA: Health Services Admin","3"
"HSA 2930","SELECTED TOPICS IN HEALTH SERVICES ADMINISTRATION.","HSA: Health Services Admin","1-3"
"HSA 3702","RESEARCH METHODS AND INFORMATION LITERACY.","HSA: Health Services Admin","3"
"HSA 4110","ORGANIZATIONAL BEHAVIOR.","HSA: Health Services Admin","3"
"HSA 4184","LEADERSHIP IN HEALTHCARE.","HSA: Health Services Admin","3"
"HSA 4340","PRINCIPLES OF HUMAN RESOURCES MANAGEMENT.","HSA: Health Services Admin","3"
"HSA 4341","CONFLICT MANAGEMENT IN HEALTH CARE.","HSA: Health Services Admin","3"
"HSA 4502","HEALTH CARE RISK MANAGEMENT.","HSA: Health Services Admin","3"
"HSA 4850","HEALTH CARE LEADERSHIP CAPSTONE.","HSA: Health Services Admin","1"
"HSC 1004","INTRODUCTION TO HEALTH PROFESSIONS.","HSC: Health Sciences","3"
"HSC 1100","PERSONAL HEALTH.","HSC: Health Sciences","3"
"HSC 1149","GENERAL PHARMACOLOGY FOR HEALTH PROFESSIONALS.","HSC: Health Sciences","1"
"HSC 1400C","FIRST AID AND CPR.","HSC: Health Sciences","3"
"HSC 1531","MEDICAL TERMINOLOGY.","HSC: Health Sciences","3"
"HSC 2151","PHARMACOLOGY AND CLINICAL DECISION MAKING.","HSC: Health Sciences","2"
"HSC 2550","PATHOPHYSIOLOGY.","HSC: Health Sciences","4"
"HSC 2561","CARE FOR AN AGING POPULATION.","HSC: Health Sciences","3"
"HSC 2660","HEALTH COMMUNICATION.","HSC: Health Sciences","3"
"HSC 2669","PREVENTION AND COMMUNITY HEALTH.","HSC: Health Sciences","3"
"HSC 2721","ACCESSING AND ANALYZING HEALTH INFORMATION.","HSC: Health Sciences","3"
"HSC 2810","HEALTH NAVIGATOR PRACTICUM.","HSC: Health Sciences","3"
"HSC 2941","INTERNSHIP IN EXPLORATION IN HEALTH.","HSC: Health Sciences","1-4"
"HSC 4500","EPIDEMIOLOGY.","HSC: Health Sciences","3"
"HSC 4555","PATHOPHYSIOLOGIC MECHANISMS.","HSC: Health Sciences","3"
"HSC 4640","INTRODUCTION TO HEALTH LAW.","HSC: Health Sciences","3"
"HSC 4652","ETHICS AND HEALTH CARE IN A PLURALISTIC SOCIETY.","HSC: Health Sciences","3"
"HUM 1020","INTRODUCTION TO HUMANITIES.","HUM: Humanities","3"
"HUM 1020H","INTRODUCTION TO HUMANITIES - HONORS.","HUM: Humanities","3"
"HUM 1380","TECHNOLOGY AND CULTURE.","HUM: Humanities","3"
"HUM 2210","ANCIENT WORLD TO THE RENAISSANCE HUMANITIES.","HUM: Humanities","3"
"HUM 2220","GREEK AND ROMAN HUMANITIES.","HUM: Humanities","3"
"HUM 2220H","GREEK AND ROMAN HUMANITIES-HONORS.","HUM: Humanities","3"
"HUM 2223","MEDIEVAL HUMANITIES.","HUM: Humanities","3"
"HUM 2223H","MEDIEVAL HUMANITIES - HONORS.","HUM: Humanities","3"
"HUM 2230","RENAISSANCE TO MODERN PERIOD.","HUM: Humanities","3"
"HUM 2232","RENAISSANCE AND BAROQUE HUMANITIES.","HUM: Humanities","3"
"HUM 2232H","HUMANITIES - RENAISSANCE AND BAROQUE - HONORS.","HUM: Humanities","3"
"HUM 2234","18TH AND 19TH CENTURY HUMANITIES.","HUM: Humanities","3"
"HUM 2234H","18TH AND 19TH CENTURY HUMANITIES - HONORS.","HUM: Humanities","3"
"HUM 2250","20TH AND 21ST CENTURY HUMANITIES.","HUM: Humanities","3"
"HUM 2250H","20TH AND 21ST CENTURY HUMANITIES - HONORS.","HUM: Humanities","3"
"HUM 2310","MYTHOLOGY.","HUM: Humanities","3"
"HUM 2310H","MYTHOLOGY - HONORS.","HUM: Humanities","3"
"HUM 2403","MIDDLE EASTERN HUMANITIES.","HUM: Humanities","3"
"HUM 2410","ASIAN HUMANITIES.","HUM: Humanities","3"
"HUM 2454","AFRICAN - AMERICAN HUMANITIES.","HUM: Humanities","3"
"HUM 2461","LATIN AMERICAN HUMANITIES.","HUM: Humanities","3"
"HUM 2461H","LATIN AMERICAN HUMANITIES - HONORS.","HUM: Humanities","3"
"HUM 2930","SELECTED TOPICS IN HUMANITIES.","HUM: Humanities","1-3"
"HUM 2941","INTERNSHIP EXPLORATION IN HUMANITIES.","HUM: Humanities","1-4"
"HUN 1001","BASICS OF PERSONAL NUTRITION.","HUN: Human Nutrition","3"
"HUN 1004","HEALTHY CUISINE/ NUTRITION.","HUN: Human Nutrition","3"
"HUN 1010","NUTRITION FOR FITNESS.","HUN: Human Nutrition","3"
"HUN 1201","THE SCIENCE OF NUTRITION.","HUN: Human Nutrition","3"
"HUN 2015","DIET THERAPY FOR HEALTH CARE PROFESSIONALS.","HUN: Human Nutrition","1"
"HUN 2120","CULTURAL NUTRITION AND HEALTH.","HUN: Human Nutrition","3"
"HUN 2202","ESSENTIALS OF NUTRITION WITH DIET THERAPY.","HUN: Human Nutrition","3"
"HUN 2930","SELECTED TOPICS IN NUTRITION.","HUN: Human Nutrition","1-3"
"IDH 2911","HONORS RESEARCH PROCESS.","IDH: Interdisciplinary Honors","2"
"IDH 2912","HONORS PROJECT.","IDH: Interdisciplinary Honors","1"
"IDH 2930","SELECTED TOPICS IN INTERDISCIPLINARY HONORS.","IDH: Interdisciplinary Honors","3"
"IDH 2955","HONORS STUDY ABROAD.","IDH: Interdisciplinary Honors","1"
"INP 1301","PSYCHOLOGY IN BUSINESS AND INDUSTRY.","INP: Industrial/Applied Psych","3"
"INR 2002","INTERNATIONAL POLITICS.","INR: International Relations","3"
"INR 2002H","INTERNATIONAL POLITICS HONORS.","INR: International Relations","3"
"INT 2131","INTRODUCTION TO INTERPRETING.","INT: Interpreting","3"
"INT 2200","INTERACTIVE INTERPRETING I.","INT: Interpreting","2"
"INT 2201","CONSECUTIVE ENGLISH TO ASL INTERPRETING.","INT: Interpreting","3"
"INT 2202","CONSECUTIVE ASL TO ENGLISH INTERPRETING.","INT: Interpreting","3"
"INT 2203","CONSECUTIVE INTERACTIVE INTERPRETING.","INT: Interpreting","2"
"INT 2930","SELECTED TOPICS IN INTERPRETING.","INT: Interpreting","1-3"
"INT 2941","INTERNSHIP EXPLORATION IN SIGN LANGUAGE.","INT: Interpreting","1-4"
"IPM 1301C","PRINCIPLES OF INTEGRATED PEST MANAGEMENT.","IPM: Integrated Pest Management","3"
"IPM 2011C","DIAGNOSTICS TECHNIQUES FOR PLANT PROBLEMS.","IPM: Integrated Pest Management","4"
"ISS 2930","INTERDISCIPLINARY SOCIAL SCIENCE.","ISS: Interdisciplinary Social Scien","1-3"
"JOU 1000","INTRODUCTION TO JOURNALISM.","JOU: Journalism","3"
"JOU 1030L","MEDIA PRODUCTION I.","JOU: Journalism","1"
"JOU 1031L","MEDIA PRODUCTION II.","JOU: Journalism","1"
"JOU 1032L","MEDIA PRODUCTION III.","JOU: Journalism","1"
"JOU 1404L","COLLEGE NEWSPAPER.","JOU: Journalism","1"
"JOU 2041C","FEATURE WRITING.","JOU: Journalism","3"
"JOU 2100C","NEWS REPORTING.","JOU: Journalism","3"
"JOU 2200","EDITING AND DESIGN.","JOU: Journalism","3"
"JOU 2402L","COLLEGE NEWSPAPER.","JOU: Journalism","1"
"JOU 2930","SELECTED TOPICS IN JOURNALISM.","JOU: Journalism","1-3"
"LAE 4314","TEACHING LANGUAGE ARTS.","LAE: Language Arts & English Education","3"
"LAT 1120","ELEMENTARY LATIN I.","LAT: Latin (Language Studies)","4"
"LAT 1121","ELEMENTARY LATIN II.","LAT: Latin (Language Studies)","4"
"LDE 1000C","LANDSCAPE DESIGN AND IMPLEMENTATION.","LDE: Landscape Design","3"
"LDR 3215","CHANGE LEADERSHIP.","LDR: Leadership","3"
"LDR 3363","TEAMWORK, COLLABORATION, AND GROUP DYNAMICS.","LDR: Leadership","3"
"LDR 4365","NEGOTIATING AND NAVIGATING POWER RELATIONSHIPS AND CONFLICT.","LDR: Leadership","3"
"LIS 1001","COMPUTER RESEARCH.","LIS: Library & Info Science","1-3"
"LIS 2930","SELECTED TOPICS IN LIBRARY SCIENCE.","LIS: Library & Info Science","1-3"
"LIS 2941","INTERNSHIP EXPLORATION IN LIBRARY SCIENCE.","LIS: Library & Info Science","1-4"
"LIT 1000","INTRODUCTION TO LITERATURE.","LIT: Literature","3"
"LIT 1000H","INTRODUCTION TO LITERATURE-HONORS.","LIT: Literature","3"
"LIT 2090","CONTEMPORARY LITERATURE.","LIT: Literature","3"
"LIT 2090H","CONTEMPORARY LITERATURE- HONORS.","LIT: Literature","3"
"LIT 2110","SURVEY IN WORLD LITERATURE: BEGINNING THROUGH RENAISSANCE.","LIT: Literature","3"
"LIT 2120","SURVEY IN WORLD LITERATURE: ENLIGHTMENT TO PRESENT.","LIT: Literature","3"
"LIT 2120H","SURVEY IN WORLD LITERATURE: ENLIGHTMENT TO PRESENT.","LIT: Literature","3"
"LIT 2174","MULTIMEDIA LITERATURE AND THE HOLOCAUST.","LIT: Literature","3"
"LIT 2174H","MULTIMEDIA LITERATURE AND THE HOLOCUST-HONORS.","LIT: Literature","3"
"LIT 2190","SURVEY OF CARIBBEAN LITERATURE.","LIT: Literature","3"
"LIT 2955","HOLOCAUST STUDIES TRIP ABROAD.","LIT: Literature","3"
"MAC 1105","COLLEGE ALGEBRA.","MAC: Math: Calc/Pre-Calc","3"
"MAC 1105H","COLLEGE ALGEBRA - HONORS.","MAC: Math: Calc/Pre-Calc","3"
"MAC 1105L","COLLEGE ALGEBRA COREQUISITE SUPPORT LAB.","MAC: Math: Calc/Pre-Calc","0"
"MAC 1114","COLLEGE TRIGONOMETRY.","MAC: Math: Calc/Pre-Calc","3"
"MAC 1114H","COLLEGE TRIGONOMETRY HONORS.","MAC: Math: Calc/Pre-Calc","3"
"MAC 1140","PRECALCULUS ALGEBRA.","MAC: Math: Calc/Pre-Calc","3"
"MAC 1140H","PRECALCULUS ALGEBRA-HONORS.","MAC: Math: Calc/Pre-Calc","3"
"MAC 2233","CALCULUS FOR BUSINESS AND SOCIAL SCIENCE.","MAC: Math: Calc/Pre-Calc","3"
"MAC 2233H","CALCULUS FOR BUSINESS AND SOCIAL SCIENCE.","MAC: Math: Calc/Pre-Calc","3"
"MAC 2311","CALCULUS WITH ANALYTIC GEOMETRY I.","MAC: Math: Calc/Pre-Calc","4"
"MAC 2311H","CALCULUS WITH ANALYTIC GEOMETRY I - HONORS.","MAC: Math: Calc/Pre-Calc","4"
"MAC 2312","CALCULUS WITH ANALYTIC GEOMETRY II.","MAC: Math: Calc/Pre-Calc","4"
"MAC 2312H","CALCULUS WITH ANALYTIC GEOMETRY II - HONORS.","MAC: Math: Calc/Pre-Calc","4"
"MAC 2313","CALCULUS WITH ANALYTICAL GEOMETRY III.","MAC: Math: Calc/Pre-Calc","4"
"MAE 3310","TEACHING MATHEMATICS I.","MAE: Mathematics Education","3"
"MAE 4311","TEACHING MATHEMATICS II.","MAE: Mathematics Education","3"
"MAN 2021","PRINCIPLES OF MANAGEMENT.","MAN: Management","3"
"MAN 2300","INTRODUCTION TO HUMAN RESOURCES MANAGEMENT.","MAN: Management","3"
"MAN 2941","INTERNSHIP EXPLORATION IN BUSINESS (MANAGEMENT).","MAN: Management","1-4"
"MAN 3101","HUMAN RELATIONS IN MANAGEMENT.","MAN: Management","3"
"MAN 3240","PRINCIPLES OF ORGANIZATIONAL BEHAVIOR.","MAN: Management","3"
"MAN 3312","EMPLOYEE RELATIONS AND DEVELOPMENT IN HUMAN RESOURCE MANAGEMENT.","MAN: Management","3"
"MAN 3353","MANAGEMENT THEORY AND PRACTICES.","MAN: Management","3"
"MAN 3361","DIGITAL RECRUITMENT.","MAN: Management","3"
"MAN 4054","MANAGING INNOVATION.","MAN: Management","3"
"MAN 4120","LEADERSHIP CHALLENGES AND SUPERVISION.","MAN: Management","3"
"MAN 4162","CUSTOMER RELATIONS FOR MANAGERS.","MAN: Management","3"
"MAN 4301","HUMAN RESOURCE MANAGEMENT.","MAN: Management","3"
"MAN 4323","APPLIED CONCEPTS IN HUMAN RESOURCES.","MAN: Management","3"
"MAN 4384","STRATEGIC WORKFORCE PLANNING.","MAN: Management","3"
"MAN 4504","OPERATIONAL DECISION MAKING.","MAN: Management","3"
"MAN 4600","INTERNATIONAL MANAGEMENT.","MAN: Management","3"
"MAN 4720","STRATEGIC MANAGEMENT CAPSTONE.","MAN: Management","3"
"MAN 4930","SELECTED TOPICS IN MANAGEMENT.","MAN: Management","3"
"MAP 2302","DIFFERENTIAL EQUATIONS.","MAP: Mathematics Applied","3"
"MAR 2011","PRINCIPLES OF MARKETING.","MAR: Marketing","3"
"MAR 2150","INTERNATIONAL MARKETING.","MAR: Marketing","3"
"MAR 2941","INTERNSHIP EXPLORATION IN BUSINESS (MARKETING).","MAR: Marketing","1-4"
"MAR 2942","INTERNSHIP IN BUSINESS (MARKETING).","MAR: Marketing","1-4"
"MAR 3023","MARKETING MANAGEMENT.","MAR: Marketing","3"
"MAT 0018C","DEVELOPMENTAL MATHEMATICS I.","MAT: Mathematics","3"
"MAT 0022C","DEVELOPMENTAL MATHEMATICS COMBINED.","MAT: Mathematics","4"
"MAT 0028C","DEVELOPMENTAL MATHEMATICS II.","MAT: Mathematics","3"
"MAT 1033C","INTERMEDIATE ALGEBRA.","MAT: Mathematics","3"
"MAT 2930","SELECTED TOPICS IN MATHEMATICS.","MAT: Mathematics","1-3"
"MCB 2010C","MICROBIOLOGY.","MCB: Microbiology","4"
"MCB 2930","SELECTED TOPICS IN MICROBIOLOGY.","MCB: Microbiology","1-3"
"MET 1010","INTRODUCTION TO METEORLOGY.","MET: Meteorology","3"
"MGF 1106","LIBERAL ARTS MATHEMATICS I.","MGF: Mathematical Thinking in Context","3"
"MGF 1106H","LIBERAL ARTS MATHEMATICS I - HONORS.","MGF: Mathematical Thinking in Context","3"
"MGF 1107","LIBERAL ARTS MATHEMATICS II.","MGF: Mathematical Thinking in Context","3"
"MGF 1130","MATHEMATICAL THINKING.","MGF: Mathematical Thinking in Context","3"
"MGF 1130H","MATHEMATICAL THINKING - HONORS.","MGF: Mathematical Thinking in Context","3"
"MGF 1131","MATHEMATICS IN CONTEXT.","MGF: Mathematical Thinking in Context","3"
"MKA 2021","PRINCIPLES OF SELLING.","MKA: Marketing Applications","3"
"MKA 2511","ADVERTISING.","MKA: Marketing Applications","3"
"MMC 2004","MASS MEDIA.","MMC: Mass Media Communications","3"
"MMC 2100","WRITING FOR MASS COMMUNICATION.","MMC: Mass Media Communications","3"
"MMC 2122","MEDIA CONVERGENCE.","MMC: Mass Media Communications","3"
"MMC 2126C","RADIO AND PODCASTING.","MMC: Mass Media Communications","3"
"MMC 2150","WRITING FOR SOCIAL MEDIA.","MMC: Mass Media Communications","3"
"MMC 2212","COMMUNICATIONS LAW AND ETHICS.","MMC: Mass Media Communications","3"
"MMC 2450","DATA LITERACY FOR COMMUNICATORS.","MMC: Mass Media Communications","3"
"MMC 2733","SOCIAL MEDIA CAMPAIGNS-CAPSTONE.","MMC: Mass Media Communications","3"
"MNA 2320","HUMAN RESOURCES RECRUITMENT, SELECTION AND STAFFING.","MNA: Management: Applied","3"
"MNA 2325","COMPENSATION AND BENEFITS SYSTEMS.","MNA: Management: Applied","3"
"MNA 2329","CASE STUDIES IN HUMAN RESOURCES MANAGEMENT.","MNA: Management: Applied","3"
"MNA 2403","HUMAN RESOURCE MANAGEMENT LAW.","MNA: Management: Applied","3"
"MSL 1001C","FOUNDATIONS OF OFFICERSHIP.","MSL: Military Science & Leader","2"
"MSL 1002C","BASIC LEADERSHIP.","MSL: Military Science & Leader","2"
"MSL 2101C","INDIVIDUAL LEADERSHIP STUDIES.","MSL: Military Science & Leader","2"
"MSL 2102C","LEADERSHIP AND TEAMWORK.","MSL: Military Science & Leader","2"
"MTB 1103","BUSINESS MATHEMATICS.","MTB: Math - Tech & Business","3"
"MTB 1329","MATHEMATICS FOR ENGINEERING TECHNOLOGY.","MTB: Math - Tech & Business","3"
"MTB 2321C","TECHNICAL MATH.","MTB: Math - Tech & Business","3"
"MUC 1211","APPLIED MUSIC COMPOSITION.","MUC: Music Composition","2"
"MUC 2000C","COMPOSITION AND SONGWRITING I AND II.","MUC: Music Composition","2"
"MUE 2211","EARLY CHILDHOOD MUSIC AND MOVEMENT.","MUE: Music Education","3"
"MUL 1010","MUSIC APPRECIATION.","MUL: Music-Literature","3"
"MUL 1017","HISTORY AND APPRECIATION OF JAZZ AND ROCK.","MUL: Music-Literature","3"
"MUL 1110","MUSIC LITERATURE.","MUL: Music-Literature","3"
"MUM 1002C","FUNDAMENTALS OF SOUND.","MUM: Music-Commercial","3"
"MUM 1003","DIGITAL AUDIO WORKSTATION FOR PROJECT & HOME STUDIO.","MUM: Music-Commercial","1"
"MUM 1620","PSYCHOACOUSTICS & CRITICAL LISTENING SKILLS.","MUM: Music-Commercial","1"
"MUM 1646C","DIALOGUE EDITING AND VOICE PROCESSING.","MUM: Music-Commercial","2"
"MUM 1648C","FOLEY AND SOUND DESIGN.","MUM: Music-Commercial","1"
"MUM 1660L","LOCATION SOUND.","MUM: Music-Commercial","1"
"MUM 1662C","LIVE SOUND TECHNIQUES.","MUM: Music-Commercial","3"
"MUM 1674C","PROJECT & HOME STUDIO I.","MUM: Music-Commercial","3"
"MUM 1675C","PROJECT & HOME STUDIO TECHNIQUES II.","MUM: Music-Commercial","3"
"MUM 1676C","PROJECT & HOME STUDIO III - CAPSTONE.","MUM: Music-Commercial","1"
"MUM 2601L","SOUND RECORDING LAB I.","MUM: Music-Commercial","1"
"MUM 2602L","SOUND RECORDING LAB II.","MUM: Music-Commercial","1"
"MUM 2623C","MIDI ELECTRONIC MUSIC I.","MUM: Music-Commercial","3"
"MUM 2624C","MIDI AND ELECTRONIC MUSIC II.","MUM: Music-Commercial","3"
"MUM 2630C","SOUND FOR MEDIA.","MUM: Music-Commercial","3"
"MUM 2632C","AUDIO SYSTEMS DESIGN AND MAINTENANCE.","MUM: Music-Commercial","2"
"MUM 2634C","THE DIGITAL AUDIO WORKSTATION.","MUM: Music-Commercial","1"
"MUM 2637C","INTRODUCTION TO VIDEOGAME AND VR SOUND.","MUM: Music-Commercial","2"
"MUM 2640C","SOUNDTRACK RERECORDING MIXING  - CAPSTONE.","MUM: Music-Commercial","3"
"MUM 2645C","MASTERING TECHNIQUES.","MUM: Music-Commercial","1"
"MUM 2661C","SOUND RECORDING I.","MUM: Music-Commercial","3"
"MUM 2666C","SOUND RECORDING II.","MUM: Music-Commercial","3"
"MUM 2670C","AVID PRO TOOLS 101/110 FUNDAMENTALS.","MUM: Music-Commercial","3"
